,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,朱虹,2016-06-01,无,"朱虹女士,固定收益投资部副总监,毕业于东北财经大学,经济学硕士。2007年加入长城人寿保险股份有限公司,任债券投资助理。2009年4月加入天弘基金管理有限公司,任基金经理、固定收益投资总监助理。2012年1月,加入万家基金管理有限公司,任基金经理、固定收益总监。2014年8月加入建信基金管理有限责任公司投资管理部,任部门副总监。",建信鑫丰回报灵活配置混合A,001408,混合型,2019-08-07,至今,1年又66天,15.63%,50.79%,2544|2964
1,,,,,建信鑫丰回报灵活配置混合C,002141,混合型,2019-08-07,至今,1年又66天,15.55%,50.79%,2549|2964
2,,,,,建信双息红利债券A,530017,债券型,2018-04-20,至今,2年又175天,9.41%,13.43%,853|1204
3,,,,,建信双息红利债券C,531017,债券型,2018-04-20,至今,2年又175天,8.52%,13.43%,963|1204
4,,,,,建信恒远一年定开债,003427,定开债券,2016-11-17,至今,3年又329天,15.53%,15.71%,49|106
5,,,,,建信双债增强债券A,000207,债券型,2016-06-01,至今,4年又133天,1.91%,18.26%,602|619
6,,,,,建信双债增强债券C,000208,债券型,2016-06-01,至今,4年又133天,0.16%,18.26%,606|619
7,,,,,建信裕利灵活配置混合,002281,混合型,2016-01-04,2018-08-10,2年又219天,-11.77%,-0.97%,913|1290
8,,,,,建信鑫利灵活配置混合,001858,混合型,2015-10-29,2018-08-10,2年又286天,-9.15%,-0.39%,784|1156
9,,,,,万家新利灵活配置混合,519191,混合型,2014-01-24,2014-05-24,120天,0.94%,-6.30%,87|647
10,,,,,万家市政纯债定开债,519192,定开债券,2013-11-27,2014-05-24,178天,2.27%,3.55%,47|54
11,,,,,万家添利分级债券B,150038,分级杠杆,2013-04-17,2014-05-24,1年又37天,-3.40%,-2.30%,29|44
12,,,,,万家添利债券(LOF),161908,债券型,2013-04-17,2014-05-24,1年又37天,3.43%,0.07%,58|346
13,,,,,万家添利分级债券A,161909,固定收益,2013-04-17,2014-05-24,1年又37天,4.55%,-2.30%,15|44
14,,,,,万家双利债券,519190,债券型,2013-04-17,2014-05-24,1年又37天,1.97%,-0.14%,115|374
15,,,,,万家稳健增利债券A,519186,债券型,2013-03-20,2014-05-24,1年又65天,3.96%,0.44%,61|344
16,,,,,万家稳健增利债券C,519187,债券型,2013-03-20,2014-05-24,1年又65天,3.50%,0.44%,73|344
17,,,,,万家信用恒利债券A,519188,债券型,2012-09-21,2014-05-24,1年又245天,5.94%,6.65%,179|292
18,,,,,万家信用恒利债券C,519189,债券型,2012-09-21,2014-05-24,1年又245天,5.10%,6.65%,196|292
19,,,,,天弘添利分级债券B,150027,分级杠杆,2010-12-03,2011-12-08,1年又5天,-1.70%,-2.53%,5|6
20,,,,,天弘添利债券(LOF)C,164206,债券型,2010-12-03,2011-12-08,1年又5天,1.96%,-2.21%,18|155
21,,,,,天弘添利分级债券A,164207,固定收益,2010-12-03,2011-12-08,1年又5天,4.15%,-2.53%,1|6
22,,,,,天弘永利债券A,420002,债券型,2010-05-19,2011-12-08,1年又203天,2.17%,2.09%,64|124
23,,,,,天弘永利债券B,420102,债券型,2010-05-19,2011-12-08,1年又203天,2.82%,2.09%,57|124
