,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,林渌,2019-07-05,无,"林渌先生:硕士,2011年4月至2014年11月在国金证券股份有限公司研究所担任分析师。2014年12月加入国联安基金管理有限公司,先后担任研究员、基金经理助理。",国联安安泰灵活配置混合,000058,混合型,2019-07-05,至今,1年又99天,23.77%,47.31%,2181|3070
1,,,,,国联安鑫发混合A,004131,混合型,2019-06-21,至今,1年又113天,29.73%,52.10%,1993|3044
2,,,,,国联安鑫发混合C,004132,混合型,2019-06-21,至今,1年又113天,29.26%,52.10%,2015|3044
3,朱靖宇,2019-09-25,无,"朱靖宇女士:中国国籍,硕士2012年8月至2019年7月在广发银行金融市场部先后从事外汇产品研发及固定收益交易及投资工作,2019年8月加入国联安基金管理有限公司固定收益部。2019年9月起任国联安增瑞政策性金融债纯债债券型证券投资基金基金经理。2019年9月起任国联安睿祺灵活配置混合型证券投资基金基金经理。2019年9月起任国联安安泰灵活配置混合型证券投资基金基金经理。2020年1月21日任国联安德盛增利债券证券投资基金基金经理。2020年4月27日担任国联安增富一年定期开放纯债债券型发起式证券投资基金基金经理。2020年4月27日担任国联安增裕一年定期开放纯债债券型发起式证券投资基金基金经理。2020年5月20日担任国联安中债1-3年政策性金融债指数证券投资基金基金经理。",国联安中债1-3年政金融债,008879,债券指数,2020-05-20,至今,144天,-1.50%,0.74%,1779|2236
4,,,,,国联安增富一年定开债,006495,定开债券,2020-04-27,至今,167天,-2.00%,-0.70%,686|841
5,,,,,国联安增裕一年定开债,006508,定开债券,2020-04-27,至今,167天,-1.92%,-0.70%,669|841
6,,,,,国联安增利债券A,253020,债券型,2020-01-21,至今,264天,0.08%,2.53%,1898|2047
7,,,,,国联安增利债券B,253021,债券型,2020-01-21,至今,264天,-0.23%,2.53%,1952|2047
8,,,,,国联安安泰灵活配置混合,000058,混合型,2019-09-25,至今,1年又17天,14.98%,39.34%,2481|3025
9,,,,,国联安睿祺灵活配置混合,001157,混合型,2019-09-25,至今,1年又17天,23.04%,39.34%,2050|3025
10,,,,,国联安增瑞政策性金融债纯债A,007371,债券型,2019-09-25,至今,1年又17天,2.58%,5.10%,1282|1848
11,,,,,国联安增瑞政策性金融债纯债C,007372,债券型,2019-09-25,至今,1年又17天,14.92%,5.10%,112|1848
