,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,李一硕,2015-03-14,无,"李一硕先生:经济学硕士。曾任瑞银证券有限公司研究员,中国国际金融有限公司研究员,易方达基金管理有限公司固定收益研究员、易方达瑞景灵活配置混合型证券投资基金基金经理(自2016年8月6日至2019年7月2日)、易方达新利灵活配置混合型证券投资基金基金经理(自2017年3月7日至2019年7月2日)、易方达新享灵活配置混合型证券投资基金基金经理(自2017年3月7日至2019年7月2日)、易方达富惠纯债债券型证券投资基金基金经理(自2017年2月15日至2019年11月1日)、易方达聚盈分级债券型发起式证券投资基金基金经理(自2019年1月4日至2019年12月17日)、易方达新利灵活配置混合型证券投资基金基金经理助理、易方达新享灵活配置混合型证券投资基金基金经理助理、易方达裕如灵活配置混合型证券投资基金基金经理助理、易方达瑞祥灵活配置混合型证券投资基金基金经理助理、易方达瑞兴灵活配置混合型证券投资基金基金经理助理、易方达瑞智灵活配置混合型证券投资基金基金经理助理、易方达恒益定期开放债券型发起式证券投资基金基金经理助理、易方达瑞祺灵活配置混合型证券投资基金基金经理助理。现任易方达基金管理有限公司易方达永旭添利定期开放债券型证券投资基金基金经理(自2014年7月12日起任职)、易方达纯债1年定期开放债券型证券投资基金基金经理(自2015年3月14日起任职)、易方达裕如灵活配置混合型证券投资基金基金经理(自2017年12月30日起任职)、易方达恒信定期开放债券型发起式证券投资基金基金经理(自2018年3月27日起任职)、易方达恒惠定期开放债券型发起式证券投资基金基金经理(自2018年6月26日起至2020年7月9日任职)、易方达安源中短债债券型证券投资基金基金经理(自2019年5月28日起任职)、易方达年年恒夏纯债一年定期开放债券型发起式证券投资基金基金经理(自2019年7月11日起任职)、易方达恒益定期开放债券型发起式证券投资基金基金经理(自2019年9月18日起任职)、易方达年年恒秋纯债一年定期开放债券型发起式证券投资基金基金经理(自2019年10月31日起任职)、易方达稳健收益债券型证券投资基金基金经理助理、易方达中债新综合债券指数发起式证券投资基金(LOF)基金经理助理、易方达信用债债券型证券投资基金基金经理助理、易方达裕惠回报定期开放式混合型发起式证券投资基金基金经理助理、易方达瑞富灵活配置混合型证券投资基金基金经理助理、易方达丰惠混合型证券投资基金基金经理助理、易方达恒兴3个月定期开放债券型发起式证券投资基金基金经理助理、易方达富惠纯债债券型证券投资基金基金经理助理。2020年4月27日任职易方达年年恒春纯债一年定期开放债券型发起式证券投资基金基金经理,2020年7月27日起李一硕为易方达恒惠定期开放债券型发起式证券投资基金的基金经理助理。",易方达年年恒春定开债A,009292,定开债券,2020-04-27,至今,167天,-1.75%,-0.95%,278|374
1,,,,,易方达年年恒春定开债C,009293,定开债券,2020-04-27,至今,167天,-1.89%,-0.95%,292|374
2,,,,,易方达年年恒秋一年定开债A,007997,定开债券,2019-10-31,至今,346天,3.48%,3.49%,125|294
3,,,,,易方达年年恒秋一年定开债C,007998,定开债券,2019-10-31,至今,346天,3.20%,3.49%,154|294
4,,,,,易方达恒益定开债券发起式,005124,定开债券,2019-09-18,至今,1年又24天,2.81%,3.38%,203|291
5,,,,,易方达年年恒夏一年定开债A,007525,定开债券,2019-07-11,至今,1年又93天,5.18%,4.63%,67|236
6,,,,,易方达年年恒夏一年定开债C,007526,定开债券,2019-07-11,至今,1年又93天,4.79%,4.63%,85|236
7,,,,,易方达安源中短债债券C,110052,债券型,2019-05-28,至今,1年又137天,3.45%,7.65%,1451|1685
8,,,,,易方达安源中短债债券A,110053,债券型,2019-05-28,至今,1年又137天,3.86%,7.65%,1290|1685
9,,,,,易方达聚盈分级债券发起式,000428,债券型,2019-01-04,2019-11-12,312天,-1.00%,4.79%,1499|1531
10,,,,,易方达聚盈分级债券发起式A,000429,固定收益,2019-01-04,2019-11-12,312天,2.73%,15.24%,10|10
11,,,,,易方达聚盈分级债券发起式B,000430,分级杠杆,2019-01-04,2019-11-12,312天,3.47%,15.24%,9|10
12,,,,,易方达恒惠定开债,006112,定开债券,2018-06-26,2020-07-09,2年又14天,11.23%,11.05%,60|156
13,,,,,易方达恒信定期开放债券,005740,定开债券,2018-03-27,至今,2年又199天,11.68%,12.89%,98|172
14,,,,,易方达裕如混合,001136,混合型,2017-12-30,至今,2年又286天,20.09%,46.46%,1801|2249
15,,,,,易方达新利灵活配置混合,001249,混合型,2017-03-07,2019-07-03,2年又118天,19.43%,9.07%,364|1902
16,,,,,易方达新享混合A,001342,混合型,2017-03-07,2019-07-03,2年又118天,16.79%,9.07%,464|1902
17,,,,,易方达新享混合C,001343,混合型,2017-03-07,2019-07-03,2年又118天,16.14%,9.07%,494|1902
18,,,,,易方达富惠纯债债券,003214,债券型,2017-02-15,2019-11-02,2年又260天,14.99%,10.98%,140|935
19,,,,,易方达瑞景混合,001433,混合型,2016-08-06,2019-07-03,2年又331天,28.40%,9.90%,193|1534
20,,,,,易方达纯债1年定开债A,000111,定开债券,2015-03-14,至今,5年又213天,30.73%,29.43%,50|116
21,,,,,易方达纯债1年定开债C,000112,定开债券,2015-03-14,至今,5年又213天,28.38%,29.43%,65|116
22,,,,,易方达永旭定开债,161117,定开债券,2014-07-12,至今,6年又93天,48.88%,43.26%,16|47
