,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,李仆,2018-11-30,无,"李仆先生:中国国籍,硕士研究生。历任宝钢集团及其下属各金融机构投资部门投资经理、副总经理、固收总监,信诚基金管理有限公司投资研究部基金经理,东方基金管理有限责任公司公司固收总监、投资总监、总经理助理,华润元大基金管理有限公司副总经理。现任华润元大基金管理有限公司总经理、深圳华润元大资产管理有限公司执行董事。2018年8月22日至2020年9月17日担任华润元大稳健收益债券型证券投资基金基金经理。2018年11月30日至2020年9月17日担任华润元大润泰双鑫债券型证券投资基金基金经理。2018年11月30日至2020年9月17日担任华润元大润泽债券型证券投资基金基金经理变更。2018年11月30日至2020年9月17日担任华润元大润鑫债券型证券投资基金基金经理。",华润元大现金收益货币A,000324,货币型,2018-11-30,至今,1年又316天,3.73%,4.37%,586|637
1,,,,,华润元大现金收益货币B,000325,货币型,2018-11-30,至今,1年又316天,4.20%,4.37%,439|637
2,,,,,华润元大现金通货币A,002883,货币型,2018-11-30,至今,1年又316天,4.20%,4.37%,439|637
3,,,,,华润元大现金通货币B,002884,货币型,2018-11-30,至今,1年又316天,4.47%,4.37%,280|637
4,,,,,华润元大润鑫债券A,003418,债券型,2018-11-30,2020-09-17,1年又292天,5.09%,10.91%,1226|1421
5,,,,,华润元大双鑫债券A,003680,债券型,2018-11-30,2020-09-17,1年又292天,17.00%,10.91%,214|1421
6,,,,,华润元大双鑫债券C,003723,债券型,2018-11-30,2020-09-17,1年又292天,16.18%,10.91%,236|1421
7,,,,,华润元大润泽债券A,004893,债券型,2018-11-30,2020-09-17,1年又292天,4.66%,10.91%,1284|1421
8,,,,,华润元大润泽债券C,004894,债券型,2018-11-30,2020-09-17,1年又292天,6.13%,10.91%,952|1421
9,,,,,华润元大润鑫债券C,006471,债券型,2018-11-30,2020-09-17,1年又292天,72.57%,10.91%,3|1421
10,,,,,华润元大信息传媒科技混合,000522,混合型,2018-08-22,至今,2年又51天,116.60%,63.31%,304|2598
11,,,,,华润元大稳健债券A,001212,债券型,2018-08-22,2020-09-17,2年又27天,3.63%,12.70%,1211|1251
12,,,,,华润元大稳健债券C,001213,债券型,2018-08-22,2020-09-17,2年又27天,2.86%,12.70%,1217|1251
13,,,,,东方永兴18个月定开债A,003324,定开债券,2016-11-02,2017-03-24,142天,0.21%,-2.10%,13|135
14,,,,,东方永兴18个月定开债C,003325,定开债券,2016-11-02,2017-03-24,142天,0.05%,-2.10%,18|135
15,,,,,东方臻馨债券A,002896,债券型,2016-06-17,2017-03-24,280天,-2.16%,1.11%,737|775
16,,,,,东方臻馨债券C,002897,债券型,2016-06-17,2017-03-24,280天,-0.99%,1.11%,661|775
17,,,,,东方合家保本混合,002648,保本型,2016-06-16,2017-03-24,281天,0.19%,1.61%,9|9
18,,,,,东方荣家保本混合,002480,保本型,2016-03-29,2017-03-24,360天,2.35%,1.83%,3|7
19,,,,,东方稳定增利债券A,001450,债券型,2015-09-30,2017-03-24,1年又176天,7.11%,3.35%,79|612
20,,,,,东方稳定增利债券C,001451,债券型,2015-09-30,2017-03-24,1年又176天,6.48%,3.35%,103|612
21,,,,,东方赢家保本混合,001317,保本型,2015-06-12,2016-12-12,1年又184天,7.89%,1.64%,1|5
22,,,,,东方永润债券A,001160,债券型,2015-05-04,2017-03-24,1年又325天,1.95%,3.67%,445|565
23,,,,,东方永润债券C,001161,债券型,2015-05-04,2017-03-24,1年又325天,1.19%,3.67%,460|565
24,,,,,东方双债添利债券A,400027,债券型,2014-11-25,2017-03-24,2年又120天,40.18%,15.27%,16|535
25,,,,,东方双债添利债券C,400029,债券型,2014-11-25,2017-03-24,2年又120天,38.89%,15.27%,19|535
26,,,,,东方稳健回报债券A,400009,债券型,2014-10-13,2017-03-24,2年又163天,11.74%,21.31%,412|525
27,,,,,信诚优质纯债债券A,550018,债券型,2013-02-07,2014-02-18,1年又11天,-2.70%,-1.35%,240|330
28,,,,,信诚优质纯债债券B,550019,债券型,2013-02-07,2014-02-18,1年又11天,-3.10%,-1.35%,258|330
29,,,,,信诚三得益债券A,550004,债券型,2012-06-18,2014-02-18,1年又245天,3.43%,2.67%,104|243
30,,,,,信诚三得益债券B,550005,债券型,2012-06-18,2014-02-18,1年又245天,2.74%,2.67%,123|243
31,,,,,信诚经典优债债券A,550006,债券型,2011-08-16,2014-02-18,2年又187天,8.75%,7.65%,75|191
32,,,,,信诚经典优债债券B,550007,债券型,2011-08-16,2014-02-18,2年又187天,7.58%,7.65%,104|191
