,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,张翼飞,2016-03-14,无,"张翼飞先生:经济学硕士。历任摩根轧机(上海)有限公司财务部会计、财务主管,上海市国有资产监督管理委员会规划发展处研究员,秦皇岛嘉隆高科实业有限公司财务总监,日盛嘉富证券国际有限公司上海代表处研究部研究员。现任安信基金管理有限责任公司固定收益部基金经理。2014年3月26日至2016年3月13日,任安信现金管理货币市场基金的基金经理;2014年11月24日至2016年3月7日,任安信现金增利货币市场基金的基金经理;2015年5月25日至今,任安信稳健增值灵活配置混合型证券投资基金的基金经理,2016年3月14日至今,任安信目标收益债券型证券投资基金、安信永利信用定期开发债券型证券投资基金的基金经理,2016年9月29日至今,任安信尊享纯债债券型证券投资基金的基金经理;2016年12月9日至今,任安信新趋势灵活配置混合型证券投资基金的基金经理;2017年1月13日至2018年9月11日,任安信永鑫增强债券型证券投资基金(原安信永鑫定期开放债券型证券投资基金)的基金经理;2017年3月16日至2018年3月28日,任安信新起点灵活配置混合型证券投资基金的基金经理;2019年6月26日至今,任安信中短利率债债券型证券投资基金(LOF)的基金经理。2020年1月14日担任安信民稳增长混合型证券投资基金基金经理。2020年3月31日起担任安信稳健增利混合型证券投资基金基金经理。",安信稳健聚申一年持有期混合,009849,混合型,2020-09-30,至今,11天,-0.04%,1.88%,4069|4108
1,,,,,安信稳健增利混合A,009100,混合型,2020-04-01,至今,193天,3.72%,32.01%,3108|3238
2,,,,,安信稳健增利混合C,009101,混合型,2020-04-01,至今,193天,3.56%,32.01%,3116|3238
3,,,,,安信民稳增长混合A,008809,混合型,2020-01-14,至今,271天,1.93%,26.74%,3020|3134
4,,,,,安信民稳增长混合C,008810,混合型,2020-01-14,至今,271天,1.63%,26.74%,3035|3134
5,,,,,安信中短利率债(LOF)A,167504,债券型,2019-06-26,至今,1年又108天,3.14%,7.07%,1434|1712
6,,,,,安信中短利率债(LOF)C,167505,债券型,2019-06-26,至今,1年又108天,3.17%,7.07%,1419|1712
7,,,,,安信量化精选沪深300增强A,003957,股票指数,2017-03-16,2018-03-29,1年又13天,6.25%,5.02%,350|711
8,,,,,安信量化精选沪深300增强C,003958,股票指数,2017-03-16,2018-03-29,1年又13天,5.63%,5.02%,358|711
9,,,,,安信永鑫增强债券A,003637,债券型,2017-01-13,2018-09-12,1年又242天,6.74%,3.66%,228|995
10,,,,,安信永鑫增强债券C,003638,债券型,2017-01-13,2018-09-12,1年又242天,6.90%,3.66%,203|995
11,,,,,安信新趋势混合A,001710,混合型,2016-12-09,至今,3年又307天,27.28%,61.77%,1465|1837
12,,,,,安信新趋势混合C,001711,混合型,2016-12-09,至今,3年又307天,26.22%,61.77%,1489|1837
13,,,,,安信尊享纯债,003395,债券型,2016-09-29,至今,4年又13天,16.07%,15.85%,296|729
14,,,,,安信永利信用A,000310,定开债券,2016-03-14,至今,4年又212天,22.44%,18.64%,20|73
15,,,,,安信永利信用C,000335,定开债券,2016-03-14,至今,4年又212天,20.27%,18.64%,27|73
16,,,,,安信目标收益债券A,750002,债券型,2016-03-14,至今,4年又212天,20.20%,18.36%,195|582
17,,,,,安信目标收益债券C,750003,债券型,2016-03-14,至今,4年又212天,17.83%,18.36%,274|582
18,,,,,安信稳健增值混合A,001316,混合型,2015-05-25,至今,5年又141天,43.85%,34.87%,339|896
19,,,,,安信稳健增值混合C,001338,混合型,2015-05-25,至今,5年又141天,44.17%,34.87%,337|896
20,,,,,安信现金增利货币A,000750,货币型,2014-11-24,2016-03-08,1年又105天,4.81%,4.49%,107|281
21,,,,,安信现金管理货币A,750006,货币型,2014-03-26,2016-03-14,1年又354天,8.12%,7.66%,62|183
22,,,,,安信现金管理货币B,750007,货币型,2014-03-26,2016-03-14,1年又354天,8.63%,7.66%,15|183
23,李君,2017-12-26,无,"李君先生:管理学硕士。历任光大证券研究所研究部行业分析师、国信证券研究所研究部高级行业分析师、上海泽熙投资管理有限公司投资研究部投资研究员、太和先机资产管理有限公司投资研究部研究总监、东方睿德(上海)投资管理有限公司股权投资部投资总监、上海东证橡睿投资管理有限公司投资部总经理。现任安信基金管理有限责任公司固定收益部基金经理。2017年12月26日至今,任安信永利信用定期开放债券型证券投资基金、安信目标收益债券型证券投资基金、安信尊享纯债债券型证券投资基金、安信新趋势灵活配置混合型证券投资基金、安信永鑫增强债券型证券投资基金(原安信永鑫定期开放债券型证券投资基金)、安信稳健增值灵活配置混合型证券投资基金的基金经理。2017年12月26日至2019年9月9日,任安信永鑫增强债券型证券投资基金(原安信永鑫定期开放债券型证券投资基金)的基金经理;2019年6月26日至今,任安信中短利率债债券型证券投资基金(LOF)的基金经理。2020年1月14日担任安信民稳增长混合型证券投资基金基金经理。2020年3月31日起担任安信稳健增利混合型证券投资基金基金经理。",安信稳健聚申一年持有期混合,009849,混合型,2020-09-30,至今,11天,-0.04%,1.88%,4069|4108
24,,,,,安信稳健增利混合A,009100,混合型,2020-04-01,至今,193天,3.72%,32.01%,3108|3238
25,,,,,安信稳健增利混合C,009101,混合型,2020-04-01,至今,193天,3.56%,32.01%,3116|3238
26,,,,,安信民稳增长混合A,008809,混合型,2020-01-14,至今,271天,1.93%,26.74%,3020|3134
27,,,,,安信民稳增长混合C,008810,混合型,2020-01-14,至今,271天,1.63%,26.74%,3035|3134
28,,,,,安信中短利率债(LOF)A,167504,债券型,2019-06-26,至今,1年又108天,3.14%,7.07%,1434|1712
29,,,,,安信中短利率债(LOF)C,167505,债券型,2019-06-26,至今,1年又108天,3.17%,7.07%,1419|1712
30,,,,,安信永利信用A,000310,定开债券,2017-12-26,至今,2年又290天,16.98%,14.41%,92|366
31,,,,,安信永利信用C,000335,定开债券,2017-12-26,至今,2年又290天,15.71%,14.41%,131|366
32,,,,,安信稳健增值混合A,001316,混合型,2017-12-26,至今,2年又290天,21.14%,47.53%,1780|2239
33,,,,,安信稳健增值混合C,001338,混合型,2017-12-26,至今,2年又290天,19.44%,47.53%,1842|2239
34,,,,,安信新趋势混合A,001710,混合型,2017-12-26,至今,2年又290天,18.62%,47.53%,1886|2239
35,,,,,安信新趋势混合C,001711,混合型,2017-12-26,至今,2年又290天,17.96%,47.53%,1911|2239
36,,,,,安信尊享纯债,003395,债券型,2017-12-26,至今,2年又290天,13.42%,15.21%,608|1137
37,,,,,安信永鑫增强债券A,003637,债券型,2017-12-26,2019-09-10,1年又258天,12.86%,9.17%,154|1194
38,,,,,安信永鑫增强债券C,003638,债券型,2017-12-26,2019-09-10,1年又258天,12.34%,9.17%,196|1194
39,,,,,安信目标收益债券A,750002,债券型,2017-12-26,至今,2年又290天,15.76%,15.21%,405|1137
40,,,,,安信目标收益债券C,750003,债券型,2017-12-26,至今,2年又290天,14.41%,15.21%,501|1137
