,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,何秀红,2013-05-22,无,"何秀红女士:中国,硕士,曾任广发证券股份有限公司债券研究员。2009年加入工银瑞信,现任固定收益部副总监;2011年2月10日至今,担任工银四季收益债券型基金基金经理;2011年12月27日至2015年1月19日,担任工银保本混合基金基金经理;2012年11月14日至今,担任工银信用纯债债券基金基金经理;2013年3月29日至今,担任工银瑞信产业债债券基金基金经理;2013年5月22日至今,担任工银信用纯债一年定期开放基金基金经理;2013年6月24日起至2018年2月23日,担任工银信用纯债两年定期开放基金基金经理;2015年10月27日起至今,担任工银丰收回报灵活配置混合型基金基金经理;2016年9月12日起至今,担任工银瑞信瑞享纯债债券型证券投资基金基金经理;2018年7月25日起至今,担任工银瑞信添祥一年定期开放债券型证券投资基金2018年7月27日至2020年6月11日担任工银瑞信银和利混合型证券投资基金基金经理。2012年11月14日至2020年1月9日担任工银瑞信信用纯债债券型证券投资基金基金经理。",工银尊利中短债债券F,009257,债券型,2020-04-07,至今,187天,-0.67%,0.84%,1340|2135
1,,,,,工银瑞信添慧债券A,006738,债券型,2019-06-11,至今,1年又123天,10.29%,7.57%,337|1700
2,,,,,工银瑞信添慧债券C,006739,债券型,2019-06-11,至今,1年又123天,9.68%,7.57%,355|1700
3,,,,,工银尊利中短债债券A,006740,债券型,2019-04-30,至今,1年又165天,5.00%,7.69%,968|1682
4,,,,,工银尊利中短债债券C,006741,债券型,2019-04-30,至今,1年又165天,4.41%,7.69%,1212|1682
5,,,,,工银银和利混合,001722,混合型,2018-07-27,2020-06-11,1年又320天,5.44%,30.69%,2460|2654
6,,,,,工银添祥一年定开债券,006004,定开债券,2018-07-25,至今,2年又79天,10.02%,10.16%,90|182
7,,,,,工银瑞享纯债债券,002997,债券型,2016-09-12,至今,4年又30天,15.39%,16.16%,317|694
8,,,,,工银丰收回报灵活配置混合C,002233,混合型,2015-12-03,至今,4年又314天,47.80%,58.12%,621|1217
9,,,,,工银丰收回报灵活配置混合A,001650,混合型,2015-10-27,至今,4年又351天,48.90%,65.32%,636|1126
10,,,,,工银信用纯债两年定开债A,000078,定开债券,2013-06-24,2018-02-23,4年又245天,19.90%,30.43%,26|28
11,,,,,工银信用纯债两年定开债C,000079,定开债券,2013-06-24,2018-02-23,4年又245天,17.80%,30.43%,28|28
12,,,,,工银信用纯债一年定开债A,000074,定开债券,2013-05-22,至今,7年又144天,53.10%,50.24%,9|18
13,,,,,工银信用纯债一年定开债C,000077,定开债券,2013-05-22,至今,7年又144天,48.60%,50.24%,12|18
14,,,,,工银产业债债券A,000045,债券型,2013-03-29,至今,7年又198天,73.15%,56.34%,64|337
15,,,,,工银产业债债券B,000046,债券型,2013-03-29,至今,7年又198天,67.97%,56.34%,81|337
16,,,,,工银信用纯债债券B,485019,债券型,2012-11-14,2020-01-09,7年又57天,25.98%,59.78%,256|267
17,,,,,工银信用纯债债券A,485119,债券型,2012-11-14,2020-01-09,7年又57天,29.94%,59.78%,243|267
18,,,,,工银瑞信灵活配置混合A,487016,混合型,2011-12-27,2015-01-19,3年又24天,20.30%,50.57%,412|456
19,,,,,工银四季收益债券(LOF),164808,债券型,2011-02-10,至今,9年又246天,90.15%,72.38%,28|147
20,李娜,2019-10-21,无,"李娜女士:中国国籍,硕士。曾在中国工商银行总行担任交易员。2016年加入工银瑞信,现任固定收益部基金经理。2017年1月24日至2018年3月20日,担任工银瑞信恒丰纯债债券型证券投资基金基金经理;2017年1月24日至2018年5月3日,担任工银瑞信恒泰纯债债券型证券投资基金基金经理;2017年4月14日至今,担任工银瑞信瑞丰纯债半年定期开放债券型证券投资基金(自2018年6月1日起,变更为工银瑞信瑞丰定期开放纯债债券型发起式证券投资基金)基金经理;2017年5月27日至今,担任工银瑞信纯债定期开放债券型证券投资基金基金经理;2017年5月27日2020年1月9日,担任工银瑞信目标收益一年定期开放债券型投资基金基金经理;2017年6月8日至今,担任工银瑞信瑞利两年封闭式债券型证券投资基金基金经理;2017年6月27日至今,担任工银瑞信丰实三年定期开放债券型证券投资基金基金经理,2018年6月7日至今,担任工银瑞信瑞景定期开放债券型发起式证券投资基金基金经理;2018年6月11日至今,担任工银瑞信瑞祥定期开放债券型发起式证券投资基金基金经理。",工银信用纯债一年定开债A,000074,定开债券,2019-10-21,至今,356天,3.24%,3.50%,296|665
21,,,,,工银信用纯债一年定开债C,000077,定开债券,2019-10-21,至今,356天,2.84%,3.50%,413|665
22,,,,,工银瑞享纯债债券,002997,债券型,2019-10-21,至今,356天,2.01%,5.03%,1572|1873
23,,,,,工银添祥一年定开债券,006004,定开债券,2019-10-21,至今,356天,3.67%,3.50%,216|665
24,,,,,工银信用纯债债券B,485019,债券型,2019-10-21,至今,356天,3.67%,5.03%,683|1873
25,,,,,工银信用纯债债券A,485119,债券型,2019-10-21,至今,356天,4.06%,5.03%,607|1873
26,,,,,工银瑞福纯债债券A,006169,债券型,2018-11-07,至今,1年又339天,5.65%,11.95%,1156|1341
