,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,李建,2013-09-10,无,"李建先生:中银基金管理有限公司权益投资部总经理,执行董事(ED),经济学硕士。曾任联合证券有限责任公司固定收益研究员,恒泰证券有限责任公司固定收益研究员,上海远东证券有限公司投资经理。2005年加入中银基金管理有限公司,2007年8月至2011年3月任中银货币基金基金经理,2008年11月至2014年3月任中银增利基金基金经理,2010年11月至2012年6月任中银双利基金基金经理,2011年6月至今任中银转债基金基金经理,2012年9月19日至2020年5月25日任中银稳健策略基金(原中银保本)基金经理,2013年9月至今任中银新回报基金(原中银保本二号)基金经理,2014年3月至今任中银多策略混合基金基金经理,2014年6月至2015年6月任中银聚利分级债券基金基金经理,2015年1月至今任中银恒利基金基金经理,2018年9月至今任中银双息回报基金基金经理。具备基金、证券、期货和银行间债券交易员从业资格。2020年6月16日担任中银顺兴回报一年持有期混合型证券投资基金基金经理。",中银多策略混合C,010167,混合型,2020-09-07,至今,34天,-0.08%,1.36%,2859|3677
1,,,,,中银新回报灵活配置混合C,010172,混合型,2020-09-07,至今,34天,-0.06%,1.36%,2842|3677
2,,,,,中银顺兴回报一年持有混合A,009345,混合型,2020-06-16,至今,117天,5.66%,16.45%,2960|3444
3,,,,,中银顺兴回报一年持有混合C,009346,混合型,2020-06-16,至今,117天,5.46%,16.45%,2981|3444
4,,,,,中银双息回报混合,006243,混合型,2018-09-27,至今,2年又15天,71.91%,63.29%,1043|2620
5,,,,,中银恒利半年定开债,001035,定开债券,2015-01-30,至今,5年又256天,50.10%,31.29%,2|113
6,,,,,中银聚利分级债券,000631,定开债券,2014-06-05,2015-06-19,1年又14天,7.60%,15.58%,58|65
7,,,,,中银聚利半年定开债,000632,定开债券,2014-06-05,2015-06-19,1年又14天,5.02%,15.58%,64|65
8,,,,,中银聚利分级债券B,000633,定开债券,2014-06-05,2015-06-19,1年又14天,24.70%,15.58%,7|65
9,,,,,中银多策略混合A,000572,混合型,2014-03-31,至今,6年又196天,89.83%,184.57%,545|649
10,,,,,中银新回报灵活配置混合A,000190,混合型,2013-09-10,至今,7年又33天,113.61%,172.15%,435|593
11,,,,,中银稳健策略混合,163823,混合型,2012-09-19,2020-05-25,7年又250天,107.49%,157.24%,365|520
12,,,,,中银转债增强债券A,163816,债券型,2011-06-29,至今,9年又107天,176.60%,73.42%,3|169
13,,,,,中银转债增强债券B,163817,债券型,2011-06-29,至今,9年又107天,167.20%,73.42%,4|169
14,,,,,中银双利债券A,163811,债券型,2010-11-24,2012-06-27,1年又216天,9.90%,2.97%,9|146
15,,,,,中银双利债券B,163812,债券型,2010-11-24,2012-06-27,1年又216天,9.20%,2.97%,14|146
16,,,,,中银增利债券,163806,债券型,2008-11-13,2014-03-07,5年又115天,26.29%,21.24%,17|70
17,,,,,中银货币A,163802,货币型,2007-08-22,2011-01-24,3年又156天,9.77%,9.04%,15|51
