,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,李文君,2016-04-27,无,"李文君女士:中国人民大学金融学硕士。自2007年至2011年在东方基金管理有限公司交易部担任交易员职务,自2011年5月至2013年8月在方正富邦基金管理有限公司交易部担任交易员职务,自2013年8月至2014年3月在方正富邦基金管理有限公司投资部担任基金经理助理一职,自2014年3月至2016年1月在方正富邦基金管理有限公司担任基金经理一职。2016年1月加入民生加银基金管理有限公司,担任基金经理一职。自2016年4月至今担任民生加银现金增利货币市场基金、民生加银家盈理财月度债券型证券投资基金基金经理;2016年12月至今担任民生加银腾元宝货币市场基金基金经理;自2017年9月至今担任民生加银家盈季度定期宝理财债券型证券投资基金基金经理;自2018年3月至今担任民生加银家盈半年定期宝理财债券型证券投资基金基金经理;自2019年8月至今担任民生加银现金宝货币市场基金、民生加银聚益纯债债券型证券投资基金基金经理;2017年2月至2019年11月担任民生加银鑫升纯债债券型证券投资基金基金经理;自2016年4月至2018年8月担任民生加银和鑫债券型证券投资基金基金经理。自2018年8月至2018年9月担任民生加银和鑫定期开放债券型发起式证券投资基金(由民生加银和鑫债券型证券投资基金转型而来)基金经理;自2017年8月至2018年2月担任民生加银鑫丰债券型证券投资基金基金经理;2017年7月至2018年4月担任民生加银鑫顺债券型证券投资基金基金经理;2016年7月至2018年6月担任民生加银鑫盈债券型证券投资基金基金经理;2017年8月至2018年7月担任民生加银鑫弘债券型证券投资基金基金经理;自2017年9月至2018年7月担任民生加银鑫泰纯债债券型证券投资基金基金经理;自2016年6月至2018年10月担任民生加银现金添利货币市场基金基金经理;自2016年11月至2020年3月担任民生加银家盈理财7天债券型证券投资基金基金经理;自2020年3月至2020年3月担任民生加银丰鑫债券型证券投资基金(由民生加银家盈理财7天债券型证券投资基金转型而来)基金经理。2020年4月15日担任民生加银鑫通债券型证券投资基金基金经理。2020年8月6日担任民生加银嘉盈债券型证券投资基金基金经理。",民生加银现金宝货币B,010288,货币型,2020-09-22,至今,19天,0.09%,0.09%,151|665
1,,,,,民生加银嘉盈债券,007454,债券型,2020-08-06,至今,66天,21.32%,-0.22%,1|2412
2,,,,,民生加银鑫通债券,009256,债券型,2020-04-15,至今,179天,-0.91%,0.70%,1325|2149
3,,,,,民生加银现金宝货币A,000371,货币型,2019-08-12,至今,1年又61天,2.68%,2.49%,154|641
4,,,,,民生加银现金宝货币C,003792,货币型,2019-08-12,至今,1年又61天,2.68%,2.49%,154|641
5,,,,,民生加银聚益纯债,007201,债券型,2019-08-12,至今,1年又61天,2.07%,6.00%,1559|1774
6,,,,,民生加银家盈半年定期宝,000799,定开债券,2018-03-07,至今,2年又219天,1.89%,3.46%,155|177
7,,,,,民生加银家盈季度定期宝,000798,理财型,2017-09-29,至今,3年又13天,6.42%,5.43%,1|5
8,,,,,民生加银鑫泰纯债债券A,004541,债券型,2017-09-01,2018-06-05,277天,1.69%,1.18%,442|1275
9,,,,,民生加银鑫泰纯债债券C,004542,债券型,2017-09-01,2018-06-05,277天,-6.29%,1.52%,1175|1226
10,,,,,民生加银鑫丰债券A,004644,债券型,2017-08-23,2017-12-29,128天,0.27%,0.31%,766|1295
11,,,,,民生加银鑫丰债券C,004645,债券型,2017-08-23,2017-12-29,128天,13.56%,0.47%,14|1265
12,,,,,民生加银鑫弘债券,004184,债券型,2017-08-22,2018-05-29,280天,3.87%,1.84%,135|1200
13,,,,,民生加银鑫顺债券A,004562,债券型,2017-07-21,2018-03-14,236天,1.34%,0.51%,201|1252
14,,,,,民生加银鑫顺债券C,004563,债券型,2017-07-21,2018-03-14,236天,3.43%,1.51%,105|1228
15,,,,,民生加银腾元宝货币B,004589,货币型,2017-04-19,至今,3年又176天,8.15%,10.85%,549|554
16,,,,,民生加银鑫升纯债,004124,债券型,2017-02-17,2019-11-05,2年又261天,13.93%,11.40%,237|1017
17,,,,,民生加银腾元宝货币A,003478,货币型,2016-12-02,至今,3年又314天,10.94%,12.19%,437|488
18,,,,,民生加银丰鑫债券,690012,债券型,2016-11-03,2020-03-18,3年又136天,0.06%,-0.63%,1176|2122
19,,,,,民生加银鑫盈债A,003048,债券型,2016-07-26,2018-04-26,1年又274天,3.99%,2.17%,260|709
20,,,,,民生加银鑫盈债C,003049,债券型,2016-07-26,2018-04-26,1年又274天,5.14%,2.17%,138|709
21,,,,,民生加银现金添利货币,002706,货币型,2016-06-22,2018-08-22,2年又61天,7.52%,7.84%,300|412
22,,,,,民生加银高等级信用债C,000089,债券型,2016-04-27,至今,4年又168天,0.51%,0.39%,699|2428
