,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,王滨,2017-07-13,无,"王滨先生:管理学硕士。历任中国工商银行总行固定收益投资经理、中国民生银行投资经理、民生加银基金管理有限公司基金经理。2016年6月加入新华基金管理股份有限公司,现任固定收益与平衡投资部副总监、新华壹诺宝货币市场基金基金经理、新华精选低波动股票型证券投资基金基金经理、新华活期添利货币市场基金基金经理、新华增盈回报债券型证券投资基金基金经理、新华鑫日享中短债债券型证券投资基金基金经理、新华恒稳添利债券型证券投资基金基金经理。2020年02月26日担任新华鑫利灵活配置混合型证券投资基金基金经理。2020年3月12日起担任新华安享惠泽39个月定期开放债券型证券投资基金基金经理。2020年3月17日担任新华增强债券型证券投资基金基金经理。",新华安享惠融88个月定开债A,009979,定开债券,2020-09-04,至今,37天,,,-|-
1,,,,,新华安享惠融88个月定开债C,009980,定开债券,2020-09-04,至今,37天,,,-|-
2,,,,,新华增强债券A,002421,债券型,2020-03-17,至今,208天,4.72%,1.87%,331|2105
3,,,,,新华增强债券C,002422,债券型,2020-03-17,至今,208天,4.48%,1.87%,349|2105
4,,,,,新华安享惠泽39个月定开债A,004567,定开债券,2020-03-12,至今,213天,1.15%,0.44%,57|348
5,,,,,新华安享惠泽39个月定开债C,008808,定开债券,2020-03-12,至今,213天,0.89%,0.44%,81|348
6,,,,,新华壹诺宝货币E,009099,货币型,2020-03-04,至今,221天,,,-|-
7,,,,,新华鑫利灵活配置混合,519165,混合型,2020-02-26,至今,228天,0.27%,21.62%,3088|3191
8,,,,,新华鑫日享中短债B,007912,债券型,2019-10-11,至今,1年又1天,2.40%,4.92%,1338|1868
9,,,,,新华恒稳添利债券B,006940,债券型,2019-05-24,2019-07-08,45天,6.20%,0.99%,9|1765
10,,,,,新华恒稳添利债券C,002867,债券型,2019-03-05,2019-07-08,125天,0.37%,0.95%,1265|1584
11,,,,,新华恒稳添利债券A,006694,债券型,2019-03-05,2019-07-08,125天,0.00%,0.95%,1333|1584
12,,,,,新华鑫日享中短债A,004981,债券型,2018-12-19,至今,1年又297天,6.45%,11.39%,848|1396
13,,,,,新华鑫日享中短债C,006695,债券型,2018-12-19,至今,1年又297天,5.90%,11.39%,996|1396
14,,,,,新华活期添利货币E,005148,货币型,2017-09-07,至今,3年又35天,10.26%,9.19%,46|615
15,,,,,新华增盈回报债券,000973,债券型,2017-08-16,2019-07-02,1年又320天,12.46%,7.80%,76|1120
16,,,,,新华活期添利货币A,000903,货币型,2017-07-26,至今,3年又78天,10.12%,9.71%,200|587
17,,,,,新华活期添利货币B,003264,货币型,2017-07-26,至今,3年又78天,10.97%,9.71%,29|587
18,,,,,新华壹诺宝货币A,000434,货币型,2017-07-13,至今,3年又91天,9.25%,9.86%,455|585
19,,,,,新华壹诺宝货币B,003267,货币型,2017-07-13,至今,3年又91天,10.10%,9.86%,248|585
20,,,,,新华精选低波动股票,519167,股票型,2017-07-13,2019-03-16,1年又246天,-17.98%,-1.09%,703|757
21,,,,,民生加银和鑫定开债,002452,定开债券,2016-03-23,2016-05-06,44天,0.50%,-0.84%,1|97
22,,,,,民生加银现金增利货币D,001240,货币型,2015-04-20,2016-05-06,1年又17天,3.08%,3.09%,203|320
23,,,,,民生加银高等级信用债C,000089,债券型,2014-11-10,2016-05-06,1年又178天,,14.36%,457|540
24,,,,,民生加银高等级信用债A,000090,债券型,2014-11-10,2016-05-06,1年又178天,,14.36%,449|540
25,,,,,民生加银高等级信用债E,000715,债券型,2014-11-10,2016-05-06,1年又178天,,14.36%,456|540
26,,,,,民生加银现金增利货币A,690010,货币型,2014-11-10,2016-05-06,1年又178天,5.13%,5.12%,166|274
27,,,,,民生加银丰鑫债券,690012,债券型,2014-11-10,2016-04-15,1年又157天,,15.37%,500|547
28,,,,,民生加银现金增利货币B,690210,货币型,2014-11-10,2016-05-06,1年又178天,5.50%,5.12%,82|274
29,李洁,2020-07-13,无,"李洁女士:经济学硕士。历任中债信用业务经理、高级经理。2015年9月加入新华基金管理股份有限公司,先后担任债券研究员、基金经理助理,现任固定收益与平衡投资部基金经理。2020年5月12日任新华增强债券型证券投资基金基金经理。2020年5月12日任新华安享惠泽39个月定期开放债券型证券投资基金基金经理。2020年5月12日任新华活期添利货币市场基金基金经理。2020年7月13日任职新华壹诺宝货币市场基金基金经理。",新华壹诺宝货币A,000434,货币型,2020-07-13,至今,90天,0.43%,0.45%,430|656
30,,,,,新华壹诺宝货币B,003267,货币型,2020-07-13,至今,90天,0.49%,0.45%,164|656
31,,,,,新华壹诺宝货币E,009099,货币型,2020-07-13,至今,90天,,,-|-
32,,,,,新华活期添利货币A,000903,货币型,2020-05-12,至今,152天,0.71%,0.72%,373|649
33,,,,,新华增强债券A,002421,债券型,2020-05-12,至今,152天,2.46%,0.45%,373|2209
34,,,,,新华增强债券C,002422,债券型,2020-05-12,至今,152天,2.30%,0.45%,386|2209
35,,,,,新华活期添利货币B,003264,货币型,2020-05-12,至今,152天,0.81%,0.72%,114|649
36,,,,,新华安享惠泽39个月定开债A,004567,定开债券,2020-05-12,至今,152天,0.92%,-0.44%,136|850
37,,,,,新华活期添利货币E,005148,货币型,2020-05-12,至今,152天,0.80%,0.72%,143|649
38,,,,,新华安享惠泽39个月定开债C,008808,定开债券,2020-05-12,至今,152天,0.74%,-0.44%,158|850
