,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,李祥源,2020-01-22,无,"李祥源先生:国籍中国、硕士学位。澳洲国立大学金融学硕士,2015年6月8日加入泰达宏利基金管理有限公司,任职于固定收益部,先后担任助理研究员、研究员、分析师、基金经理助理,负责债券研究分析工作;2019年10月16日至今担任泰达宏利货币市场基金、泰达宏利京元宝货币市场基金、泰达宏利活期友货币市场基金、泰达宏利集利债券型证券投资基金、泰达宏利年年添利定期开放债券型证券投资基金、泰达宏利鑫利半年定期开放债券型证券投资基金的基金经理。2020年1月22日起任泰达宏利金利3个月定期开放债券型证券投资基金基金经理。2020年1月22日起任泰达宏利淘利债券型证券投资基金基金经理",泰达淘利债券A,000319,债券型,2020-01-22,至今,263天,1.82%,2.44%,853|2044
1,,,,,泰达淘利债券C,000320,债券型,2020-01-22,至今,263天,1.62%,2.44%,984|2044
2,,,,,泰达宏利金利债券,005753,定开债券,2020-01-22,至今,263天,0.89%,1.80%,281|325
3,,,,,泰达宏利货币B,000700,货币型,2019-10-16,至今,361天,2.28%,2.05%,100|642
4,,,,,泰达宏利活期友货币A,001894,货币型,2019-10-16,至今,361天,1.89%,2.05%,506|642
5,,,,,泰达宏利活期友货币B,001895,货币型,2019-10-16,至今,361天,2.09%,2.05%,303|642
6,,,,,泰达宏利京元宝货币A,003711,货币型,2019-10-16,至今,361天,2.14%,2.05%,245|642
7,,,,,泰达宏利京元宝货币B,003712,货币型,2019-10-16,至今,361天,2.38%,2.05%,45|642
8,,,,,泰达宏利添利债券A,006690,定开债券,2019-10-16,2020-02-29,136天,1.56%,2.54%,269|294
9,,,,,泰达宏利添利债券C,006691,定开债券,2019-10-16,2020-02-29,136天,1.43%,2.54%,275|294
10,,,,,泰达宏利鑫利债券A,007641,定开债券,2019-10-16,至今,361天,3.47%,3.33%,100|288
11,,,,,泰达宏利鑫利债券C,007642,定开债券,2019-10-16,至今,361天,3.17%,3.33%,130|288
12,,,,,泰达宏利货币A,162206,货币型,2019-10-16,至今,361天,2.04%,2.05%,354|642
13,,,,,泰达宏利集利债券A,162210,债券型,2019-10-16,至今,361天,2.77%,4.92%,1045|1868
14,,,,,泰达宏利集利债券C,162299,债券型,2019-10-16,至今,361天,2.34%,4.92%,1369|1868
