,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,杜才超,2016-12-09,无,"杜才超先生:中央财经大学金融学硕士,具有基金从业资格。2012年7月加入南方基金,历任债券交易员、债券研究员、信用分析师。2016年3月至2016年12月,任南方润元、南方稳利、南方多利、南方金利的基金经理助理。2016年12月至2018年2月,任南方润元、南方稳利基金经理;2016年12月至今,任南方丰元、南方宣利基金经理;2018年9月至今,任南方泽元基金经理;2018年12月至今,任南方交元基金经理;2019年6月至2020年7月31日任南方旭元债券型发起式证券投资基金基金经理;2019年7月至今,任南方泰元基金经理。2020年1月15日任职南方宁利一年定期开放债券型发起式证券投资基金基金经理。2018年12月13日至2020年2月14日担任南方交元债券型证券投资基金基金经理。2020年3月18日起担任南方乐元中短期利率债债券型证券投资基金基金经理。自2020年4月29日起任南方双元债券型证券投资基金变更基金经理。",南方双元A,000997,债券型,2020-04-29,至今,165天,4.41%,0.27%,233|2206
1,,,,,南方双元C,000998,债券型,2020-04-29,至今,165天,4.21%,0.27%,244|2206
2,,,,,南方乐元中短利率债A,008783,债券型,2020-03-18,至今,207天,-1.83%,1.93%,2064|2117
3,,,,,南方乐元中短利率债C,008784,债券型,2020-03-18,至今,207天,-2.05%,1.93%,2078|2117
4,,,,,南方宁利一年定开债发起式,008780,定开债券,2020-01-15,至今,270天,0.72%,1.98%,312|335
5,,,,,南方泰元债券A,007510,债券型,2019-07-11,至今,1年又93天,4.60%,6.79%,720|1735
6,,,,,南方泰元债券C,007511,债券型,2019-07-11,至今,1年又93天,4.08%,6.79%,890|1735
7,,,,,南方旭元债券A,007440,债券型,2019-06-24,2020-07-31,1年又38天,2.76%,7.01%,1540|1725
8,,,,,南方旭元债券C,007441,债券型,2019-06-24,2020-07-31,1年又38天,2.76%,7.01%,1540|1725
9,,,,,南方交元债券,006151,债券型,2018-12-13,2020-02-14,1年又63天,5.92%,8.52%,752|1399
10,,,,,南方泽元,006183,债券型,2018-09-14,至今,2年又28天,8.27%,12.87%,827|1329
11,,,,,南方宣利定开债A,003776,定开债券,2016-12-28,至今,3年又288天,16.69%,16.52%,117|256
12,,,,,南方宣利定开债C,003777,定开债券,2016-12-28,至今,3年又288天,14.99%,16.52%,156|256
13,,,,,南方稳利1年定开债A,000086,定开债券,2016-12-09,2018-02-02,1年又55天,-0.79%,1.35%,264|313
14,,,,,南方丰元信用增强债券A,000355,债券型,2016-12-09,至今,3年又307天,17.05%,16.51%,338|897
15,,,,,南方丰元信用增强债券C,000356,债券型,2016-12-09,至今,3年又307天,15.19%,16.51%,465|897
16,,,,,南方稳利1年定开债C,000720,定开债券,2016-12-09,2018-02-02,1年又55天,-1.10%,1.35%,273|313
17,,,,,南方润元纯债债券A/B,202108,债券型,2016-12-09,2018-02-02,1年又55天,-2.37%,1.89%,925|1008
18,,,,,南方润元纯债债券C,202110,债券型,2016-12-09,2018-02-02,1年又55天,-2.75%,1.89%,944|1008
