,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,林龙军,2018-05-17,无,"林龙军先生:硕士,曾任兴全基金管理有限公司产品经理、研究员、基金经理助理、投资经理兼固收投委会委员等职务。2018年3月加入金鹰基金管理有限公司。2018年5月起担任金鹰持久增利债券型证券投资基金(LOF)、金鹰鑫益灵活配置混合型证券投资基金、金鹰元安混合型证券投资基金、金鹰元丰债券型证券投资基金基金经理。2018年6月起任金鹰元祺信用债债券型证券投资基金、金鹰民丰回报定期开放混合型证券投资基金基金经理。2018年5月17日至2020年6月4日担任金鹰添裕纯债债券型证券投资基金基金经理。",金鹰民安回报定开A,006972,混合型,2019-08-29,至今,1年又44天,23.47%,42.66%,2069|2989
1,,,,,金鹰民安回报定开C,007735,混合型,2019-08-29,至今,1年又44天,22.91%,42.66%,2088|2989
2,,,,,金鹰鑫益混合E,007233,混合型,2019-04-10,至今,1年又185天,11.19%,43.55%,2537|2807
3,,,,,金鹰元祺信用债,002490,债券型,2018-06-02,至今,2年又132天,19.09%,13.82%,183|1200
4,,,,,金鹰民丰回报定期开放混合,004265,混合型,2018-06-02,至今,2年又132天,27.28%,49.10%,1796|2641
5,,,,,金鹰元安混合A,000110,混合型,2018-05-17,至今,2年又148天,34.19%,48.22%,1454|2494
6,,,,,金鹰元安混合C,002513,混合型,2018-05-17,至今,2年又148天,38.35%,48.22%,1344|2494
7,,,,,金鹰鑫益混合A,003484,混合型,2018-05-17,至今,2年又148天,14.15%,48.22%,2247|2494
8,,,,,金鹰鑫益混合C,003485,混合型,2018-05-17,至今,2年又148天,14.17%,48.22%,2246|2494
9,,,,,金鹰添裕纯债债券,003733,债券型,2018-05-17,2020-06-04,2年又19天,10.04%,11.28%,729|1209
10,,,,,金鹰持久增利债券(LOF)E,004267,债券型,2018-05-17,至今,2年又148天,28.80%,13.48%,58|1191
11,,,,,金鹰持久增利债券(LOF)C,162105,债券型,2018-05-17,至今,2年又148天,26.63%,13.48%,79|1191
12,,,,,金鹰元丰债券,210014,债券型,2018-05-17,至今,2年又148天,32.69%,13.48%,42|1191
13,杨晓斌,2019-06-26,无,"杨晓斌先生:硕士,曾任银华基金管理股份有限公司研究员、首席宏观分析师、投资经理等职务。2018年2月加入金鹰基金管理有限公司。现任金鹰灵活配置混合型证券投资基金基金经理。",金鹰元安混合A,000110,混合型,2019-06-26,至今,1年又108天,20.39%,52.90%,2268|2909
14,,,,,金鹰元禧混合C,002425,混合型,2019-06-26,至今,1年又108天,17.59%,52.90%,2444|2909
15,,,,,金鹰元安混合C,002513,混合型,2019-06-26,至今,1年又108天,20.25%,52.90%,2275|2909
16,,,,,金鹰元禧混合A,210006,混合型,2019-06-26,至今,1年又108天,17.75%,52.90%,2437|2909
17,,,,,金鹰产业整合混合,001366,混合型,2019-03-14,至今,1年又212天,88.87%,52.55%,441|2780
18,,,,,金鹰灵活配置混合A,210010,混合型,2018-04-03,至今,2年又192天,34.93%,49.09%,1399|2422
19,,,,,金鹰灵活配置混合C,210011,混合型,2018-04-03,至今,2年又192天,32.69%,49.09%,1467|2422
