,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,唐瑭,2016-05-27,无,"唐瑭女士:英国爱丁堡大学硕士,2008年2月至2010年4月任JPMorgan(EMEA)分析师,2011年3月加入上投摩根基金管理有限公司,先后担任研究员、基金经理助理、基金经理,自2015年5月至2019年1月担任上投摩根岁岁盈定期开放债券型证券投资基金基金经理,自2015年12月11日至2020年5月13日担任上投摩根强化回报债券型证券投资基金基金经理,自2015年12月至2018年11月担任上投摩根轮动添利债券型证券投资基金基金经理,自2016年5月起同时担任上投摩根双债增利债券型证券投资基金基金经理,自2016年6月起同时担任上投摩根分红添利债券型证券投资基金及上投摩根纯债添利债券型证券投资基金基金经理,2016年8月至2018年12月担任上投摩根岁岁丰定期开放债券型证券投资基金基金经理,自2017年1月起同时担任上投摩根安丰回报混合型证券投资基金基金经理,2017年1月至2018年12月担任上投摩根安泽回报混合型证券投资基金基金经理,自2018年2月8日至2020年5月13日担任上投摩根安隆回报混合型证券投资基金基金经理,2018年2月至9月担任上投摩根安腾回报混合型证券投资基金基金经理,自2019年4月起同时担任上投摩根优信增利债券型证券投资基金和上投摩根安鑫回报混合型证券投资基金基金经理。",上投摩根瑞利纯债A,007503,债券型,2019-08-28,至今,1年又45天,4.09%,5.50%,646|1801
1,,,,,上投摩根瑞利纯债C,007504,债券型,2019-08-28,至今,1年又45天,2.83%,5.50%,1171|1801
2,,,,,上投摩根优信增利债券A,000616,债券型,2019-04-12,2020-09-25,1年又167天,3.18%,6.81%,1482|1648
3,,,,,上投摩根优信增利债券C,000617,债券型,2019-04-12,2020-09-25,1年又167天,2.62%,6.81%,1544|1648
4,,,,,上投摩根安鑫回报A,001947,混合型,2019-04-12,至今,1年又183天,5.34%,45.78%,2843|2946
5,,,,,上投摩根安鑫回报C,002845,混合型,2019-04-12,至今,1年又183天,4.55%,45.78%,2869|2946
6,,,,,上投安腾回报混合A,004778,混合型,2018-02-27,2018-07-19,142天,1.13%,-4.58%,335|2586
7,,,,,上投安腾回报混合C,004779,混合型,2018-02-27,2018-07-19,142天,0.68%,-4.58%,429|2586
8,,,,,上投摩根安隆回报A,004738,混合型,2018-02-08,2020-05-13,2年又95天,17.38%,25.43%,1282|2339
9,,,,,上投摩根安隆回报C,004739,混合型,2018-02-08,2020-05-13,2年又95天,16.49%,25.43%,1348|2339
