,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,林忠晶,2015-05-26,无,"林忠晶先生:经济学博士,曾任安信期货有限责任公司高级分析师,中海石油气电集团有限责任公司贸易部研究员,长安基金管理有限公司产品经理、战略及产品部副总经理、量化投资部(筹)总经理等职,现任长安基金管理有限公司基金投资部副总经理,长安沪深300非周期行业指数证券投资基金、长安产业精选灵活配置混合型发起式证券投资基金、长安鑫利优选灵活配置混合型证券投资基金、长安鑫富领先灵活配置混合型证券投资基金、长安鑫垚主题轮动混合型证券投资基金、长安鑫恒回报混合型证券投资基金、长安鑫旺价值灵活配置混合型证券投资基金、长安宏观策略混合型证券投资基金及长安鑫兴灵活配置混合型证券投资基金的基金经理。2020年7月14日担任长安宏观策略混合型证券投资基金基金经理。2020年7月14日担任长安产业精选灵活配置混合型发起式证券投资基金基金经理。",长安产业精选混合A,000496,混合型,2020-07-14,至今,89天,-4.94%,1.67%,3217|3519
1,,,,,长安产业精选混合C,002071,混合型,2020-07-14,至今,89天,-5.05%,1.67%,3222|3519
2,,,,,长安宏观策略混合,740001,混合型,2020-07-14,至今,89天,-2.46%,1.67%,2961|3519
3,,,,,长安鑫盈混合A,006371,混合型,2019-07-18,至今,1年又86天,85.70%,50.50%,455|2929
4,,,,,长安鑫盈混合C,006372,混合型,2019-07-18,至今,1年又86天,85.13%,50.50%,466|2929
5,,,,,长安鑫禧灵活配置混合A,005477,混合型,2018-02-07,至今,2年又247天,-12.84%,51.67%,2318|2327
6,,,,,长安鑫禧灵活配置混合C,005478,混合型,2018-02-07,至今,2年又247天,-13.27%,51.67%,2319|2327
7,,,,,长安鑫兴混合A,005186,混合型,2017-11-29,至今,2年又317天,53.62%,48.33%,790|2211
8,,,,,长安鑫兴混合C,005187,混合型,2017-11-29,至今,2年又317天,52.81%,48.33%,806|2211
9,,,,,长安宏观策略混合,740001,混合型,2017-11-13,2019-01-10,1年又58天,-30.83%,-15.25%,1950|2241
10,,,,,长安鑫旺价值混合A,005049,混合型,2017-09-21,2019-01-10,1年又111天,-7.34%,-11.38%,862|2198
11,,,,,长安鑫旺价值混合C,005050,混合型,2017-09-21,2019-01-10,1年又111天,-7.35%,-11.38%,863|2198
12,,,,,长安泓源纯债债券A,004897,债券型,2017-08-30,2019-05-10,1年又253天,-0.81%,6.77%,1034|1127
13,,,,,长安泓源纯债债券C,004898,债券型,2017-08-30,2019-05-10,1年又253天,0.11%,6.77%,1017|1127
14,,,,,长安泓沣中短债债券A,004907,债券型,2017-08-09,2019-05-10,1年又274天,9.26%,6.85%,294|1118
15,,,,,长安泓沣中短债债券C,004908,债券型,2017-08-09,2019-05-10,1年又274天,8.90%,6.85%,351|1118
16,,,,,长安鑫富领先混合,001657,混合型,2017-02-22,至今,3年又232天,145.20%,62.47%,99|1876
17,,,,,长安鑫利优选混合C,002072,混合型,2015-11-17,至今,4年又330天,112.67%,58.18%,140|1167
18,,,,,长安产业精选混合C,002071,混合型,2015-11-16,2019-01-10,3年又56天,3.90%,-13.80%,279|1160
19,,,,,长安产业精选混合A,000496,混合型,2015-05-26,2019-01-10,3年又230天,10.78%,-28.65%,98|905
20,,,,,长安鑫利优选混合A,001281,混合型,2015-05-18,至今,5年又148天,134.37%,44.01%,34|867
21,,,,,长安沪深300非周期,740101,股票指数,2015-01-27,至今,5年又259天,65.76%,65.54%,110|293
