,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,林森,2018-03-24,无,"林森先生:中国国籍,研究生、硕士。自2007年1月至2012年4月任道富银行风险管理部风险管理经理、外汇利率交易部利率交易员;自2012年4月至2015年2月任太平洋资产管理公司基金管理部基金经理。2015年4月加入易方达基金管理有限公司,曾任投资经理、易方达安心回馈混合型证券投资基金的基金经理助理(自2015年6月11日至2015年11月27日)、易方达瑞通灵活配置混合型证券投资基金基金经理助理(自2016年12月10日至2017年3月6日)、易方达裕祥回报债券型证券投资基金基金经理助理(自2017年4月21日至2017年7月27日)。现任易方达基金管理有限公司易方达安心回馈混合型证券投资基金基金经理、易方达新益灵活配置混合型证券投资基金基金经理、易方达瑞程灵活配置混合型证券投资基金基金经理、易方达瑞通灵活配置混合型证券投资基金基金经理、易方达瑞弘灵活配置混合型证券投资基金基金经理、易方达新收益灵活配置混合型证券投资基金基金经理助理、易方达裕景添利6个月定期开放债券型证券投资基金基金经理助理、易方达高等级信用债债券型证券投资基金基金经理助理,兼任易方达资产管理(香港)有限公司基金经理。易方达瑞选灵活配置混合型证券投资基金基金经理(自2017年12月30日至2020年03月21日)。",易方达高等级信用债债券A,000147,债券型,2018-03-24,至今,2年又202天,14.17%,14.21%,424|1170
1,,,,,易方达高等级信用债债券C,000148,债券型,2018-03-24,至今,2年又202天,13.13%,14.21%,504|1170
2,,,,,易方达裕景添利6个月定开债,002600,定开债券,2018-02-10,至今,2年又244天,23.61%,13.84%,6|148
3,,,,,易方达新收益混合A,001216,混合型,2017-12-30,2019-01-08,1年又9天,3.35%,-14.16%,163|2315
4,,,,,易方达新收益混合C,001217,混合型,2017-12-30,2019-01-08,1年又9天,3.07%,-14.16%,189|2315
5,,,,,易方达瑞选灵活配置混合I,001443,混合型,2017-12-30,2020-03-21,2年又82天,30.18%,11.75%,255|2272
6,,,,,易方达瑞选灵活配置混合E,001444,混合型,2017-12-30,2020-03-21,2年又82天,30.21%,11.75%,254|2272
7,,,,,易方达裕祥回报债券,002351,债券型,2017-07-28,至今,3年又76天,44.89%,15.58%,14|1100
8,,,,,易方达瑞通灵活配置混合A,003839,混合型,2017-03-07,至今,3年又219天,66.09%,61.51%,703|1898
9,,,,,易方达瑞通灵活配置混合C,003840,混合型,2017-03-07,至今,3年又219天,65.18%,61.51%,717|1898
10,,,,,易方达瑞弘混合A,003882,混合型,2017-03-07,至今,3年又219天,66.71%,61.25%,735|2018
11,,,,,易方达瑞弘混合C,003883,混合型,2017-03-07,至今,3年又219天,65.98%,61.25%,743|2018
12,,,,,易方达瑞程灵活配置混合A,003961,混合型,2017-01-26,至今,3年又259天,182.96%,65.12%,37|1963
13,,,,,易方达瑞程灵活配置混合C,003962,混合型,2017-01-26,至今,3年又259天,185.11%,65.12%,34|1963
14,,,,,易方达新益混合I,001314,混合型,2016-03-15,2019-09-28,3年又197天,35.94%,26.43%,373|1328
15,,,,,易方达新益混合E,001315,混合型,2016-03-15,2019-09-28,3年又197天,35.68%,26.43%,377|1328
16,,,,,易方达安心回馈混合,001182,混合型,2015-11-28,至今,4年又319天,116.04%,59.14%,140|1208
