,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,林洪钧,2018-09-14,无,"林洪钧先生:复旦大学工商管理硕士、复旦大学力学与工程科学本科。曾就职于国泰君安证券公司(上海分公司)机构客户部、华安基金管理有限公司债券交易员,Financial Engineering Source Inc.金融研究员,先后担任交银施罗德基金管理有限公司固定收益部债券研究员、专户投资部投资经理、固定收益部助理总经理/基金经理,光大保德信基金管理有限公司固定收益部固定收益投资总监,兴证证券资产管理有限公司固定收益投资三部固收总监。2018年8月加入财通基金管理有限公司固定收益部,现任公司固定收益投资总监兼固定收益部总监。2018年9月15日至2019年10月30日任财通财通宝货币市场基金基金经理。2018年9月26日至2019年10月30日担任财通聚利纯债债券型证券投资基金基金经理。2019年12月14日任财通兴利纯债12个月定期开放债券型发起式证券投资基金基金经理。2019年12月24日起任财通兴利纯债12个月定期开放债券型发起式证券基金经理。曾任财通安瑞短债债券型证券投资基金基金经理。2020年9月9日起担任财通多利纯债债券型证券投资基金基金经理。",财通多利纯债,008746,债券型,2020-09-09,至今,32天,0.02%,0.36%,2184|2471
1,,,,,财通兴利纯债12个月定开债,008678,定开债券,2019-12-24,至今,292天,-2.62%,2.38%,316|316
2,,,,,财通久利三个月定开债发起式,007756,定开债券,2019-09-06,至今,1年又36天,2.72%,3.67%,480|647
3,,,,,财通恒利纯债,007554,债券型,2019-09-02,至今,1年又40天,1.39%,5.46%,1704|1809
4,,,,,财通景利纯债,007087,债券型,2019-07-19,至今,1年又85天,2.84%,6.57%,1472|1787
5,,,,,财通安瑞短债债券A,006965,债券型,2019-03-20,2020-07-31,1年又134天,4.88%,7.58%,903|1586
6,,,,,财通安瑞短债债券C,006966,债券型,2019-03-20,2020-07-31,1年又134天,4.30%,7.58%,1121|1586
7,,,,,财通聚利纯债债券,005853,债券型,2018-09-26,2019-10-30,1年又34天,4.34%,6.35%,952|1332
8,,,,,财通纯债债券A,000497,债券型,2018-09-14,至今,2年又28天,7.17%,12.87%,1033|1329
9,,,,,财通财通宝货币A,002957,货币型,2018-09-14,2019-10-30,1年又46天,2.73%,2.96%,506|640
10,,,,,财通财通宝货币B,002958,货币型,2018-09-14,2019-10-30,1年又46天,3.01%,2.96%,303|640
11,,,,,财通收益增强债券C,003204,债券型,2018-09-14,至今,2年又28天,18.54%,12.87%,213|1329
12,,,,,财通多策略稳健增长债券C,003205,债券型,2018-09-14,至今,2年又28天,16.74%,12.87%,257|1329
13,,,,,财通纯债债券C,003542,债券型,2018-09-14,至今,2年又28天,6.26%,12.87%,1173|1329
14,,,,,财通汇利纯债,005854,债券型,2018-09-14,至今,2年又28天,9.21%,12.87%,704|1329
15,,,,,财通多策略稳健增长债券A,720002,债券型,2018-09-14,至今,2年又28天,18.00%,12.87%,225|1329
16,,,,,财通收益增强债券A,720003,债券型,2018-09-14,至今,2年又28天,19.33%,12.87%,196|1329
17,,,,,交银现金宝货币A,000710,货币型,2014-09-12,2015-06-01,262天,2.85%,3.10%,223|257
18,,,,,交银增利债券A/B,519680,债券型,2014-08-04,2015-06-01,301天,16.29%,29.05%,297|516
19,,,,,交银增利债券C,519682,债券型,2014-08-04,2015-06-01,301天,15.88%,29.05%,302|516
20,,,,,交银纯债债券发起A,519718,债券型,2014-03-31,2015-06-01,1年又62天,13.45%,36.40%,385|494
21,,,,,交银纯债债券发起C,519720,债券型,2014-03-31,2015-06-01,1年又62天,12.74%,36.40%,403|494
22,,,,,交银施罗德中高等级信用债,519717,债券型,2013-01-09,2015-06-01,2年又143天,,42.09%,288|306
23,,,,,交银理财21天债券A,519716,理财型,2012-11-05,2015-06-01,2年又208天,11.92%,12.67%,18|23
24,,,,,交银货币A,519588,货币型,2011-06-09,2015-06-01,3年又358天,16.28%,17.75%,64|74
25,,,,,交银货币B,519589,货币型,2011-06-09,2015-06-01,3年又358天,17.40%,17.75%,52|74
26,,,,,交银信用添利债券(LOF),164902,债券型,2011-01-27,2015-06-01,4年又126天,43.89%,46.81%,68|156
