,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,柳万军,2017-09-08,无,"柳万军先生:中国人民银行研究生部金融学硕士。曾任中国人民银行上海总部副主任科员、泰康资产固定收益部投资经理、交银施罗德基金固定收益部基金经理助理等。2013年6月加入华夏基金管理有限公司,曾任固定收益部研究员、华夏货币市场基金基金经理(2013年12月31日至2017年8月7日期间)、华夏薪金宝货币市场基金基金经理(2014年5月26日至2017年8月7日期间)、华夏恒利6个月定期开放债券型证券投资基金基金经理(2016年3月29日至2018年6月28日期间)、华夏新活力灵活配置混合型证券投资基金基金经理(2016年2月23日至2018年12月17日期间)、华夏鼎旺三个月定期开放债券型发起式证券投资基金基金经理(2018年4月24日至2019年7月29日期间)、华夏新机遇灵活配置混合型证券投资基金基金经理(2016年3月30日至2019年11月29日期间)、华夏恒利3个月定期开放债券型证券投资基金基金经理(2018年6月29日至2019年11月29日期间)、华夏鼎诺三个月定期开放债券型发起式证券投资基金基金经理(2018年12月17日至2020年1月6日期间)、亚债中国债券指数基金基金经理(2015年7月16日至2020年1月6日期间)等,现任固定收益部总监,华夏安康信用优选债券型证券投资基金基金经理(2014年5月5日起任职)、华夏双债增强债券型证券投资基金基金经理(2015年7月16日起任职)、华夏纯债债券型证券投资基金基金经理(2017年9月8日起任职)、华夏鼎泰六个月定期开放债券型发起式证券投资基金基金经理(2018年4月13日起任职)、华夏鼎沛债券型证券投资基金基金经理(2018年6月26日起任职)、华夏恒融一年定期开放债券型证券投资基金基金经理(2019年4月25日起任职)、华夏永康添福混合型证券投资基金基金经理(2019年7月15日起任职)、华夏鼎康债券型证券投资基金基金经理(2019年8月12日至2020年8月25日任职)、华夏鼎淳债券型证券投资基金基金经理(2019年8月21日至2020年8月25日任职)。2020年5月20日担任华夏鼎源债券型证券投资基金基金经理。",华夏鼎源债券A,008947,债券型,2020-05-20,至今,144天,2.56%,0.74%,418|2236
1,,,,,华夏鼎源债券C,008948,债券型,2020-05-20,至今,144天,2.40%,0.74%,427|2236
2,,,,,华夏新机遇混合C,008212,混合型,2019-11-15,2019-11-29,14天,-0.87%,-0.73%,2093|3333
3,,,,,华夏鼎淳债券A,007282,债券型,2019-08-21,2020-08-25,1年又5天,8.55%,5.84%,345|1789
4,,,,,华夏鼎淳债券C,007283,债券型,2019-08-21,2020-08-25,1年又5天,8.11%,5.84%,367|1789
5,,,,,华夏鼎康债券A,006665,债券型,2019-08-12,2020-08-25,1年又14天,2.41%,6.22%,1405|1775
6,,,,,华夏鼎康债券C,006666,债券型,2019-08-12,2020-08-25,1年又14天,2.31%,6.22%,1463|1775
7,,,,,华夏永康添福混合,005128,混合型,2019-07-15,至今,1年又89天,14.74%,48.74%,2575|2927
8,,,,,华夏恒融一年定开债,004063,定开债券,2019-04-25,至今,1年又170天,7.41%,5.95%,43|234
9,,,,,华夏鼎诺三个月定开债A,004979,定开债券,2018-12-17,2020-01-06,1年又20天,-0.20%,5.10%,538|542
10,,,,,华夏鼎诺三个月定开债C,004980,定开债券,2018-12-17,2020-01-06,1年又20天,,,-|-
11,,,,,华夏鼎沛债券A,005886,债券型,2018-06-26,至今,2年又108天,42.12%,14.42%,31|1224
12,,,,,华夏鼎沛债券C,005887,债券型,2018-06-26,至今,2年又108天,40.83%,14.42%,34|1224
13,,,,,华夏鼎旺三个月定开债A,005213,定开债券,2018-04-24,2019-07-29,1年又96天,8.01%,6.81%,41|140
14,,,,,华夏鼎旺三个月定开债C,005214,定开债券,2018-04-24,2019-07-29,1年又96天,,,-|-
15,,,,,华夏鼎泰六个月定开债A,005407,定开债券,2018-04-13,至今,2年又182天,13.11%,12.07%,144|431
16,,,,,华夏鼎泰六个月定开债C,005408,定开债券,2018-04-13,至今,2年又182天,0.00%,0.00%,1|530
17,,,,,华夏纯债债券A,000015,债券型,2017-09-08,至今,3年又34天,14.75%,15.13%,502|1137
18,,,,,华夏纯债债券C,000016,债券型,2017-09-08,至今,3年又34天,13.23%,15.13%,652|1137
19,,,,,华夏新机遇混合A,002411,混合型,2016-03-30,2019-11-29,3年又244天,26.45%,21.38%,472|1350
20,,,,,华夏恒利定开债,002552,定开债券,2016-03-29,2019-11-29,3年又245天,12.79%,14.31%,46|77
21,,,,,华夏新活力混合A,002409,混合型,2016-02-23,2018-12-17,2年又298天,10.90%,-2.82%,274|1316
22,,,,,华夏新活力混合C,002410,混合型,2016-02-23,2018-12-17,2年又298天,8.50%,-2.82%,351|1316
23,,,,,华夏双债债券A,000047,债券型,2015-07-16,至今,5年又89天,43.00%,22.05%,21|513
24,,,,,华夏双债债券C,000048,债券型,2015-07-16,至今,5年又89天,40.96%,22.05%,26|513
25,,,,,华夏亚债中国指数A,001021,债券指数,2015-07-16,2020-01-06,4年又175天,18.28%,16.97%,260|520
26,,,,,华夏亚债中国指数C,001023,债券指数,2015-07-16,2020-01-06,4年又175天,16.30%,16.97%,319|520
27,,,,,华夏薪金宝货币,000645,货币型,2014-05-26,2017-08-07,3年又74天,12.12%,11.10%,43|203
28,,,,,华夏安康债券A,001031,债券型,2014-05-05,至今,6年又161天,65.47%,55.36%,108|438
29,,,,,华夏安康债券C,001033,债券型,2014-05-05,至今,6年又161天,62.34%,55.36%,129|438
30,,,,,华夏货币A,288101,货币型,2013-12-31,2017-08-07,3年又220天,13.73%,13.43%,79|163
31,,,,,华夏货币B,288201,货币型,2013-12-31,2017-08-07,3年又220天,14.71%,13.43%,25|163
