,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,柴文婷,2017-06-03,无,"柴文婷女士:中国,北京大学金融学硕士学位,2011年7月-2012年9月嘉实基金管理有限公司行业研究员;2012年10月入职天弘基金管理有限公司,历任交易员、研究员。现任天弘稳利定期开放债券型证券投资基金基金经理、天弘弘新混合型发起式证券投资基金基金经理、天弘策略精选灵活配置混合型发起式证券投资基金基金经理。自2019年11月29日担任天弘鑫利三年定期开放债券型证券投资基金基金经理。2019年12月17日担任天弘季季兴三个月定期开放债券型发起式证券投资基金基金经理。2017年4月10日至2020年2月26日担任天弘丰利债券型证券投资基金(LOF)基金经理。2020年3月25日起担任天弘纯享一年定期开放债券型发起式证券投资基金基金经理。2020年5月22日起任天弘兴享一年定期开放债券型发起式证券投资基金基金经理。2020年6月6日至2020年6月9日起担任天弘成享一年定期开放债券型证券投资基金基金经理。2020年7月2日起担任天弘鑫意39个月定期开放债券型证券投资基金基金经理。",天弘鑫意39个月定开债,008478,定开债券,2020-07-02,至今,101天,0.76%,0.10%,43|402
1,,,,,天弘兴享一年定开,008738,定开债券,2020-05-22,至今,142天,-0.99%,-0.41%,513|852
2,,,,,天弘同利债券(LOF)E,009510,债券型,2020-05-22,至今,142天,-0.81%,0.84%,1379|2308
3,,,,,天弘纯享一年定开,008730,定开债券,2020-03-25,至今,200天,-0.74%,0.39%,327|353
4,,,,,天弘季季兴三个月定开A,008644,定开债券,2019-12-17,至今,299天,2.14%,2.53%,192|310
5,,,,,天弘季季兴三个月定开C,008645,定开债券,2019-12-17,至今,299天,2.06%,2.53%,201|310
6,,,,,天弘鑫利三年定开,008014,定开债券,2019-11-29,至今,317天,2.81%,3.07%,313|700
7,,,,,天弘策略精选混合A,004694,混合型,2019-09-19,至今,1年又23天,15.31%,38.52%,2432|3018
8,,,,,天弘策略精选混合C,004748,混合型,2019-09-19,至今,1年又23天,14.95%,38.52%,2459|3018
9,,,,,天弘弘新混合发起式,007781,混合型,2019-08-21,至今,1年又52天,16.28%,44.15%,2428|2984
10,,,,,天弘优选债券,000606,债券型,2018-11-05,至今,1年又341天,6.14%,12.02%,1066|1330
11,,,,,天弘同利债券(LOF)C,164210,债券型,2018-11-05,至今,1年又341天,10.28%,12.02%,491|1330
12,,,,,天弘债券发起式A,420008,债券型,2018-11-05,至今,1年又341天,10.66%,12.02%,468|1330
13,,,,,天弘债券发起式B,420108,债券型,2018-11-05,至今,1年又341天,9.57%,12.02%,538|1330
14,,,,,天弘稳利定期开放A,000244,定开债券,2017-06-03,至今,3年又131天,21.13%,16.73%,20|133
15,,,,,天弘稳利定期开放B,000245,定开债券,2017-06-03,至今,3年又131天,19.53%,16.73%,32|133
16,,,,,天弘丰利债券(LOF),164208,债券型,2017-04-10,2020-02-26,2年又322天,16.72%,15.21%,298|1021
