,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,桑迎,2018-03-27,无,"桑迎先生:硕士研究生。2002年7月至2003年8月,任职于交通银行北京分行,担任交易员;2004年11月至2008年1月,任职于华夏银行总行资金部,担任交易员;2008年2月至2013年12月,任职于嘉实基金,历任交易员、基金经理。2013年12月加入国寿安保基金管理有限公司,现任国寿安保薪金宝货币市场基金、国寿安保鑫钱包货币市场基金及国寿安保添利货币市场基金基金经理。历任国寿安保聚宝盆货币市场基金、国寿安保场内实时申赎货币市场基金基金经理。",国寿安保聚宝盆货币B,009485,货币型,2020-05-18,2020-08-20,94天,0.48%,0.40%,71|649
1,,,,,国寿安保货币A,000505,货币型,2018-03-27,至今,2年又199天,6.33%,6.79%,496|637
2,,,,,国寿安保货币B,000506,货币型,2018-03-27,至今,2年又199天,6.97%,6.79%,280|637
3,,,,,国寿安保货币E,511970,货币型,2018-03-27,至今,2年又199天,4.94%,6.79%,629|637
4,,,,,国寿安保添利货币A,003422,货币型,2016-12-27,至今,3年又289天,12.19%,12.00%,224|505
5,,,,,国寿安保添利货币B,003423,货币型,2016-12-27,至今,3年又289天,13.21%,12.00%,45|505
6,,,,,国寿安保鑫钱包货币,001931,货币型,2015-10-21,2020-08-20,4年又305天,15.75%,15.14%,114|339
7,,,,,国寿安保聚宝盆货币A,001096,货币型,2015-03-02,2020-08-20,5年又173天,19.50%,17.73%,34|303
8,,,,,国寿安保薪金宝货币,000895,货币型,2014-11-20,至今,5年又327天,21.54%,19.51%,26|268
9,,,,,国寿安保场内实时申赎货币A,519878,货币型,2014-10-20,2020-08-20,5年又306天,16.67%,19.61%,244|257
10,,,,,国寿安保场内实时申赎货币B,519879,货币型,2014-10-20,2020-08-20,5年又306天,20.17%,19.61%,104|257
11,,,,,嘉实理财宝7天债券A,070035,理财型,2012-08-29,2013-12-19,1年又112天,4.22%,5.33%,9|9
12,,,,,嘉实理财宝7天债券B,070036,理财型,2012-08-29,2013-12-19,1年又112天,4.62%,5.33%,8|9
13,,,,,嘉实安心货币A,070028,货币型,2011-12-28,2013-12-19,1年又357天,5.75%,7.87%,77|79
14,,,,,嘉实安心货币B,070029,货币型,2011-12-28,2013-12-19,1年又357天,6.26%,7.87%,74|79
