,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,樊利安,2014-10-21,无,"樊利安先生:硕士研究生。曾任职上海鑫地投资管理有限公司、天治基金管理有限公司等。2010年7月加入国泰基金管理有限公司,历任研究员、基金经理助理。2014年10月起任国泰民益灵活配置混合型证券投资基金(LOF)(原国泰淘新灵活配置混合型证券投资基金)和国泰浓益灵活配置混合型证券投资基金的基金经理,2015年1月起兼任国泰结构转型灵活配置混合型证券投资基金的基金经理,2015年3月起兼任国泰国策驱动灵活配置混合型证券投资基金的基金经理,2015年5月14日-2020年5月22日任国泰兴益灵活配置混合型证券投资基金的基金经理,2015年6月起兼任国泰生益灵活配置混合型证券投资基金,2015年6月至2019年12月6日担任国泰睿吉灵活配置混合型证券投资基金的基金经理,2015年6月至2017年1月任国泰金泰平衡混合型证券投资基金(由金泰证券投资基金转型而来)的基金经理,2016年5月起兼任国泰融丰定增灵活配置混合型证券投资基金的基金经理,2016年8月起兼任国泰添益灵活配置混合型证券投资基金的基金经理,2016年10月起兼任国泰福益灵活配置混合型证券投资基金的基金经理,2016年11月起兼任国泰鸿益灵活配置混合型证券投资基金的基金经理,2016年12月起兼任国泰丰益灵活配置混合型证券投资基金、国泰景益灵活配置混合型证券投资基金(2016年12月23日-2019年12月5日)、国泰鑫益灵活配置混合型证券投资基金、国泰泽益灵活配置混合型证券投资基金、国泰信益灵活配置混合型证券投资基金、国泰普益灵活配置混合型证券投资基金、国泰安益灵活配置混合型证券投资基金的基金经理(2016年12月23日-2020年5月22日),2017年3月起兼任国泰嘉益灵活配置混合型证券投资基金、国泰众益灵活配置混合型证券投资基金和国泰融信定增灵活配置混合型证券投资基金的基金经理,2017年7月起兼任国泰融安多策略灵活配置混合型证券投资基金和国泰稳益定期开放灵活配置混合型证券投资基金的基金经理,2017年8月起兼任国泰宁益定期开放灵活配置混合型证券投资基金的基金经理。2015年5月至2016年1月任研究部副总监,2016年1月起任研究部副总监(主持工作)。2020年6月1日起担任国泰宏益一年持有期混合型证券投资基金基金经理。2019年5月31日至2020年6月5日担任国泰多策略收益灵活配置混合型证券投资基金基金经理。2019年5月31日至2020年6月5日担任国泰民福策略价值灵活配置混合型证券投资基金基金经理。2020年08月11日担任国泰浩益18个月封闭运作混合型证券投资基金基金经理。2020年8月21日起不在担任国泰融信灵活配置混合型证券投资基金(LOF)基金经理。",国泰浩益18个月封闭运作混合A,009691,混合型,2020-08-11,至今,61天,-0.26%,1.01%,2607|3584
1,,,,,国泰浩益18个月封闭运作混合C,009692,混合型,2020-08-11,至今,61天,-0.36%,1.01%,2651|3584
2,,,,,国泰宏益一年持有期混合A,009481,混合型,2020-06-01,至今,132天,8.73%,18.99%,2637|3403
3,,,,,国泰宏益一年持有期混合C,009482,混合型,2020-06-01,至今,132天,8.50%,18.99%,2665|3403
4,,,,,国泰民利策略收益混合,002458,混合型,2019-08-16,至今,1年又57天,27.15%,45.88%,2057|3100
5,,,,,国泰多策略收益混合,001922,混合型,2019-05-31,2020-06-05,1年又6天,18.97%,30.40%,1819|3097
6,,,,,国泰民福策略价值混合,002489,混合型,2019-05-31,2020-06-05,1年又6天,18.43%,30.40%,1855|3097
7,,,,,国泰瑞益灵活配置混合A,004622,混合型,2018-01-25,2018-05-25,120天,1.12%,-3.81%,302|2594
8,,,,,国泰瑞益灵活配置混合C,004623,混合型,2018-01-25,2018-05-25,120天,0.21%,-3.81%,524|2594
9,,,,,国泰恒益灵活配置混合A,004620,混合型,2018-01-19,2018-08-22,215天,2.31%,-9.97%,125|2558
10,,,,,国泰恒益灵活配置混合C,004621,混合型,2018-01-19,2018-08-22,215天,2.29%,-9.97%,127|2558
11,,,,,国泰中证500指数增强A,003760,股票指数,2017-08-01,2018-09-18,1年又48天,-12.74%,-14.91%,323|763
12,,,,,国泰中证500指数增强C,003761,股票指数,2017-08-01,2018-09-18,1年又48天,-12.85%,-14.91%,329|763
13,,,,,国泰稳益定开灵活配置混合A,003758,混合型,2017-07-26,2018-09-15,1年又51天,-19.06%,-5.33%,1998|2221
14,,,,,国泰稳益定开灵活配置混合C,003759,混合型,2017-07-26,2018-09-15,1年又51天,-19.20%,-5.33%,2003|2221
15,,,,,国泰融安多策略灵活配置混合,003516,混合型,2017-07-03,2018-11-15,1年又135天,-3.17%,-5.31%,969|2148
16,,,,,国泰融信(LOF),501027,混合型,2017-03-02,2020-08-21,3年又173天,11.33%,61.78%,1810|1900
17,,,,,国泰嘉益灵活配置混合A,003756,混合型,2017-03-01,2018-05-30,1年又90天,4.08%,6.25%,1196|2077
18,,,,,国泰嘉益灵活配置混合C,003757,混合型,2017-03-01,2018-05-30,1年又90天,4.05%,6.25%,1198|2077
19,,,,,国泰众益灵活配置混合A,003945,混合型,2017-03-01,2018-05-16,1年又76天,3.70%,8.83%,1415|2087
20,,,,,国泰众益灵活配置混合C,003946,混合型,2017-03-01,2018-05-16,1年又76天,3.76%,8.83%,1411|2087
21,,,,,国泰安益灵活配置混合C,004252,混合型,2017-02-24,2020-05-22,3年又88天,25.41%,30.72%,949|1988
22,,,,,国泰安益灵活配置混合A,001850,混合型,2016-12-23,2020-05-22,3年又151天,28.13%,33.46%,891|1884
23,,,,,国泰普益混合A,003754,混合型,2016-12-23,2019-12-05,2年又347天,21.96%,20.41%,731|1866
24,,,,,国泰普益混合C,003755,混合型,2016-12-23,2019-12-05,2年又347天,21.22%,20.41%,768|1866
25,,,,,国泰信益灵活配置混合,001786,混合型,2016-12-16,2018-08-30,1年又257天,17.07%,1.75%,149|1945
26,,,,,国泰丰益灵活配置混合A,003686,混合型,2016-12-09,2018-09-06,1年又271天,10.09%,-1.74%,240|1914
27,,,,,国泰丰益灵活配置混合C,003687,混合型,2016-12-09,2018-09-06,1年又271天,9.95%,-1.74%,245|1914
28,,,,,国泰景益灵活配置混合A,003694,混合型,2016-12-09,2018-06-13,1年又186天,10.79%,6.82%,549|1958
29,,,,,国泰景益灵活配置混合C,003695,混合型,2016-12-09,2018-06-13,1年又186天,10.68%,6.82%,558|1958
30,,,,,国泰鑫益灵活配置混合A,003941,混合型,2016-12-09,2018-03-20,1年又101天,20.41%,9.51%,316|1990
31,,,,,国泰鑫益灵活配置混合C,003942,混合型,2016-12-09,2018-03-20,1年又101天,19.85%,9.51%,336|1990
32,,,,,国泰泽益灵活配置混合A,003943,混合型,2016-12-09,2018-05-11,1年又153天,8.48%,7.80%,793|2008
33,,,,,国泰泽益灵活配置混合C,003944,混合型,2016-12-09,2018-05-11,1年又153天,9.41%,7.80%,720|2008
