,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,武志骁,2020-03-20,无,"武志骁先生:硕士研究生,曾就职于中国华新投资有限公司投资部任中央交易员、投资分析员、中邮创业基金管理股份有限公司国际业务部任投资经理。现就职于中邮创业基金管理股份有限公司固定收益部。2020年3月20日起任中邮定期开放债券型证券投资基金、中邮增力债券型证券投资基金、中邮货币市场基金、中邮纯债恒利债券型证券投资基金、中邮稳健合赢基金债券型证券投资基金、中邮纯债聚利债券型证券投资基金、中邮现金驿站货币市场基金基金经理。2020年9月2日担任中邮纯债裕利三个月定期开放债券型发起式证券投资基金基金经理。2019年5月14日至2020年9月2日担任中邮沪港深精选混合型证券投资基金基金经理。",中邮纯债丰利债券A,010086,债券型,2020-09-15,至今,26天,,,-|-
1,,,,,中邮纯债丰利债券C,010087,债券型,2020-09-15,至今,26天,,,-|-
2,,,,,中邮纯债裕利三个月定开债,007286,定开债券,2020-09-02,至今,39天,0.35%,0.22%,221|976
3,,,,,中邮定开债A,000271,定开债券,2020-03-20,至今,205天,0.85%,0.78%,314|812
4,,,,,中邮定开债C,000272,定开债券,2020-03-20,至今,205天,0.57%,0.78%,389|812
5,,,,,中邮货币A,000576,货币型,2020-03-20,至今,205天,0.90%,0.99%,503|647
6,,,,,中邮货币B,000580,货币型,2020-03-20,至今,205天,1.01%,0.99%,299|647
7,,,,,中邮现金驿站货币A,000921,货币型,2020-03-20,至今,205天,0.85%,0.99%,559|647
8,,,,,中邮现金驿站货币B,000922,货币型,2020-03-20,至今,205天,0.88%,0.99%,524|647
9,,,,,中邮现金驿站货币C,000923,货币型,2020-03-20,至今,205天,0.91%,0.99%,480|647
10,,,,,中邮纯债聚利债券A,002274,债券型,2020-03-20,至今,205天,0.19%,1.70%,1373|2170
11,,,,,中邮纯债聚利债券C,002275,债券型,2020-03-20,至今,205天,-0.01%,1.70%,1536|2170
12,,,,,中邮纯债恒利债券A,002276,债券型,2020-03-20,至今,205天,1.02%,1.70%,756|2170
13,,,,,中邮纯债恒利债券C,002277,债券型,2020-03-20,至今,205天,0.83%,1.70%,867|2170
14,,,,,中邮稳健合赢债券,002278,债券型,2020-03-20,2020-09-30,194天,-0.66%,1.48%,1908|2170
15,,,,,中邮增力债券,002397,债券型,2020-03-20,2020-09-30,194天,2.69%,1.48%,416|2170
16,,,,,中邮沪港深精选混合,006477,混合型,2019-05-14,2020-09-02,1年又112天,13.99%,57.29%,2659|2897
