,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,段鹏,2014-10-24,无,"段鹏先生:中央财经大学经济学硕士。曾在中信银行股份有限公司从事人民币货币市场交易、债券投资及流动性管理等工作。2013年12月加入长盛基金管理有限公司,自2014年4月10日起任长盛货币市场基金基金经理,自2014年10月24日起兼任长盛年年收益定期开放债券型证券投资基金基金经理,自2016年7月5日起兼任长盛盛和纯债债券型证券投资基金基金经理,自2016年8月4日起兼任长盛盛景纯债债券型证券投资基金基金经理,自2016年8月4日起兼任长盛盛裕纯债债券型证券投资基金基金经理。拟任长盛盛通纯债债券型证券投资基金基金经理,长盛添利宝货币市场基金基金经理,长盛积极配置债券型证券投资基金基金经理。拟任长盛稳益6个月定期开放债券型证券投资基金基金经理。曾任长盛盛裕纯债债券型证券投资基金的基金经理。",长盛稳益6个月A,007653,定开债券,2019-07-26,至今,1年又78天,2.79%,4.51%,549|618
1,,,,,长盛稳益6个月C,007654,定开债券,2019-07-26,至今,1年又78天,2.35%,4.51%,579|618
2,,,,,长盛添利宝货币A,000424,货币型,2018-06-22,至今,2年又112天,5.20%,5.81%,537|636
3,,,,,长盛添利宝货币B,000425,货币型,2018-06-22,至今,2年又112天,5.78%,5.81%,347|636
4,,,,,长盛积极配置债券,080003,债券型,2018-06-22,2019-09-03,1年又73天,6.59%,7.76%,700|1273
5,,,,,长盛货币B,005230,货币型,2017-10-10,至今,3年又2天,9.31%,8.81%,197|629
6,,,,,长盛盛通纯债A,004528,债券型,2017-05-23,2018-05-03,345天,29.80%,4.07%,4|1142
7,,,,,长盛盛通纯债C,004529,债券型,2017-05-23,2018-05-03,345天,39.41%,4.07%,2|1142
8,,,,,长盛盛景纯债A,003099,债券型,2016-08-04,至今,4年又69天,9.63%,16.38%,547|660
9,,,,,长盛盛景纯债C,003100,债券型,2016-08-04,至今,4年又69天,10.74%,16.38%,514|660
10,,,,,长盛盛裕纯债A,003102,债券型,2016-08-04,2020-09-29,4年又57天,9.41%,15.86%,547|660
11,,,,,长盛盛裕纯债C,003103,债券型,2016-08-04,2020-09-29,4年又57天,8.95%,15.86%,555|660
12,,,,,长盛盛和纯债A,002927,债券型,2016-07-05,至今,4年又99天,8.24%,16.98%,572|641
13,,,,,长盛盛和纯债C,002928,债券型,2016-07-05,至今,4年又99天,7.66%,16.98%,581|641
14,,,,,长盛年年收益定期债券A,000225,定开债券,2014-10-24,至今,5年又354天,13.55%,35.70%,108|109
15,,,,,长盛年年收益定期债券C,000226,定开债券,2014-10-24,至今,5年又354天,11.43%,35.70%,109|109
16,,,,,长盛货币A,080011,货币型,2014-04-10,至今,6年又186天,23.49%,22.56%,61|182
17,,,,,长盛添利30天理财债券A,080016,理财型,2014-04-10,2015-04-15,1年又5天,3.41%,4.70%,38|40
18,,,,,长盛添利30天理财债券B,080017,理财型,2014-04-10,2015-04-15,1年又5天,3.13%,4.24%,37|41
19,,,,,长盛添利60天理财发起式A,080018,理财型,2014-04-10,2015-04-15,1年又5天,3.33%,4.70%,39|40
20,,,,,长盛添利60天理财发起式B,080019,理财型,2014-04-10,2015-04-15,1年又5天,3.61%,4.70%,36|40
