,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,江科宏,2015-05-28,无,"江科宏先生:硕士。2007年7月至2010年12月担任景顺长城基金管理有限公司风险管理经理职务。2011年2月重新加入景顺长城基金管理有限公司,担任研究员、基金经理等职务。",景顺中证TMT150ETF联接,001361,联接基金,2017-07-12,2018-08-24,1年又43天,-15.48%,-10.12%,490|748
1,,,,,景顺中证800食品饮料ETF,512210,ETF-场内,2017-07-12,2018-03-07,238天,26.33%,5.85%,11|775
2,,,,,景顺中证TMT150ETF,512220,ETF-场内,2017-07-12,2018-08-24,1年又43天,-16.24%,-10.12%,509|748
3,,,,,景顺长城中证医药卫生ETF,512230,ETF-场内,2017-07-12,2018-03-07,238天,7.46%,5.85%,364|775
4,,,,,景顺长城优势企业混合,000532,混合型,2015-05-28,至今,5年又138天,49.04%,36.55%,304|897
5,,,,,景顺长城公司治理混合,260111,混合型,2015-01-27,2018-09-04,3年又221天,8.84%,16.26%,440|766
6,,,,,景顺长城研究精选股票,000688,股票型,2014-08-12,2018-09-04,4年又24天,38.36%,44.31%,154|264
7,,,,,景顺中证800食品饮料ETF,512210,ETF-场内,2014-07-18,2016-02-29,1年又226天,9.59%,30.86%,267|280
8,,,,,景顺中证TMT150ETF,512220,ETF-场内,2014-07-18,2016-02-29,1年又226天,23.56%,30.86%,207|280
9,,,,,景顺长城中证医药卫生ETF,512230,ETF-场内,2014-07-18,2016-02-29,1年又226天,8.21%,30.86%,270|280
10,,,,,景顺长城中证500ETF,159935,ETF-场内,2013-12-26,2015-01-26,1年又31天,50.73%,49.02%,130|250
11,,,,,景顺沪深300等权ETF,159924,ETF-场内,2013-05-07,2015-01-26,1年又264天,43.20%,41.67%,112|220
12,,,,,景顺上证180等权联接,263001,联接基金,2012-06-25,2014-04-18,1年又297天,-2.70%,-0.54%,83|180
13,,,,,景顺长城上证180等权ETF,510420,ETF-场内,2012-06-12,2014-04-18,1年又310天,-5.50%,-3.03%,83|177
