,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,温开强,2019-01-25,无,"温开强先生:国籍:中国,学历:天津大学管理学硕士,相关业务资格:证券投资基金从业资格、CFA。从业经历:曾任长城基金债券交易员、中金基金交易主管,高级经理,2016年8月加入汇添富基金管理股份有限公司,2016年8月30日至今任汇添富现金宝货币、汇添富添富通货币、汇添富货币、汇添富理财14天债券、汇添富理财60天债券基金的基金经理助理,2016年8月30日至2018年8月7日任汇添富理财30天债券的基金经理助理,2018年8月7日至今任汇添富理财30天债券的基金经理。2020年2月26日起任汇添富理财60天债券型证券投资基金基金经理。2020年2月26日起任汇添富收益快钱货币市场基金的基金经理。",汇添富理财60天债券E,005503,债券型,2020-02-26,至今,228天,1.16%,1.27%,715|2085
1,,,,,汇添富收益快钱货币A,159005,货币型,2020-02-26,至今,228天,0.50%,1.14%,644|647
2,,,,,汇添富收益快钱货币B,159006,货币型,2020-02-26,至今,228天,0.55%,1.14%,640|647
3,,,,,汇添富理财60天债券A,470060,债券型,2020-02-26,至今,228天,1.07%,1.27%,776|2085
4,,,,,汇添富理财60天债券B,471060,债券型,2020-02-26,至今,228天,0.92%,1.35%,749|2090
5,,,,,汇添富添富通货币A,000366,货币型,2019-01-25,至今,1年又260天,3.81%,3.90%,402|636
6,,,,,汇添富货币C,000642,货币型,2019-01-25,至今,1年又260天,4.09%,3.90%,239|636
7,,,,,汇添富货币D,000650,货币型,2019-01-25,至今,1年又260天,4.08%,3.90%,230|636
8,,,,,汇添富添富通货币B,000980,货币型,2019-01-25,至今,1年又260天,4.23%,3.90%,133|636
9,,,,,汇添富理财7天债券A,471007,债券型,2019-01-25,至今,1年又260天,0.91%,3.27%,1730|2003
10,,,,,汇添富理财7天债券B,472007,债券型,2019-01-25,至今,1年又260天,1.19%,3.27%,1527|2006
11,,,,,汇添富添富通货币E,511980,货币型,2019-01-25,至今,1年又260天,3.77%,3.90%,424|636
12,,,,,汇添富货币B,519517,货币型,2019-01-25,至今,1年又260天,4.51%,3.90%,34|636
13,,,,,汇添富货币A,519518,货币型,2019-01-25,至今,1年又260天,4.08%,3.90%,230|636
14,,,,,汇添富鑫禧债券,470030,债券型,2018-08-07,至今,2年又66天,0.34%,-0.23%,183|2439
15,,,,,汇添富理财30天债券B,471030,理财型,2018-08-07,2020-08-19,2年又13天,6.48%,5.75%,2|29
