,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,温秀娟,2013-06-20,无,"温秀娟女士:中国籍,经济学学士,持有中国证券投资基金业从业证书,2000年7月至2004年10月任职于广发证券股份有限公司江门营业部,2004年10月至2008年8月在广发证券股份有限公司固定收益部工作,2008年8月11日至今在广发基金管理有限公司固定收益部工作,广发理财7天债券型证券投资基金基金经理(自2013年6月20日至2020年4月21日)。现任广发基金管理有限公司现金投资部总经理、广发货币市场基金基金经理(自2010年4月29日起任职)、广发理财30天债券型证券投资基金基金经理(自2013年1月14日至2020年9月25日)、广发现金宝场内实时申赎货币市场基金基金经理(自2013年12月2日起任职)、广发活期宝货币市场基金基金经理(自2014年8月28日起任职)、广发添利交易型货币市场基金基金经理(自2016年11月22日起任职)、广发天天红发起式货币市场基金基金经理(自2017年10月31日起任职)、广发景宁纯债债券型证券投资基金基金经理(自2020年4月22日起任职)。",广发天天红货币A,000389,货币型,2017-10-31,至今,2年又346天,8.77%,8.57%,289|634
1,,,,,广发天天红货币B,002183,货币型,2017-10-31,至今,2年又346天,9.54%,8.57%,61|634
2,,,,,广发添利货币ETFB,005107,货币型,2017-08-22,至今,3年又51天,8.85%,9.34%,461|617
3,,,,,广发货币C,005092,货币型,2017-08-16,至今,3年又57天,9.25%,9.45%,389|604
4,,,,,广发添利货币ETFA,511950,货币型,2016-11-22,至今,3年又324天,9.93%,12.24%,468|476
5,,,,,广发活期宝货币B,003281,货币型,2016-09-02,至今,4年又40天,14.82%,12.85%,9|436
6,,,,,广发货币E,511920,货币型,2016-03-14,至今,4年又212天,13.22%,14.16%,314|386
7,,,,,广发活期宝货币A,000748,货币型,2014-08-28,至今,6年又46天,21.43%,20.65%,87|236
8,,,,,广发现金宝场内货币A,519858,货币型,2013-12-02,至今,6年又315天,22.08%,24.48%,137|153
9,,,,,广发现金宝场内货币B,519859,货币型,2013-12-02,至今,6年又315天,27.30%,24.48%,11|153
10,,,,,广发景宁债券,000037,债券型,2013-06-20,至今,7年又115天,0.06%,0.38%,1133|2177
11,,,,,广发景荣纯债,270046,债券型,2013-01-14,2020-09-25,7年又256天,-0.05%,0.00%,1|2532
12,,,,,广发理财30天债券B,270047,理财型,2013-01-14,2020-09-24,7年又255天,35.90%,33.37%,3|13
13,,,,,广发货币A,270004,货币型,2010-04-29,至今,10年又168天,42.65%,40.78%,18|60
14,,,,,广发货币B,270014,货币型,2010-04-29,至今,10年又168天,46.27%,40.78%,2|60
