,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,牛兴华,2018-04-20,无,"牛兴华先生:硕士,2008年毕业于英国卡迪夫大学国际经济、银行与金融学专业,同年进入神州数码中国有限公司,任投资专员;2010年9月,加入中诚信国际信用评级有限责任公司,担任高级分析师;2013年4月加入建信基金管理有限责任公司,历任债券研究员、基金经理。2014年12月2日至2017年6月30日任建信稳定得利债券型证券投资基金的基金经理;2015年4月17日起任建信稳健回报灵活配置混合型证券投资基金的基金经理;2015年5月13日起任建信回报灵活配置混合型证券投资基金的基金经理;2015年5月14日起任建信鑫安回报灵活配置混合型证券投资基金的基金经理;2015年6月16日至2018年1月23日任建信鑫丰回报灵活配置混合型证券投资基金的基金经理;2015年7月2日至2015年11月25日任建信鑫裕回报灵活配置混合型证券投资基金的基金经理;2015年10月29日至2017年7月12日任建信安心保本二号混合型证券投资基金的基金经理;2016年2月22日至2018年1月23日任建信目标收益一年期债券型证券投资基金的基金经理;2016年10月25日至2017年12月6日任建信瑞盛添利混合型证券投资基金的基金经理;2016年12月2日至2018年4月2日任建信鑫悦回报灵活配置混合型证券投资基金的基金经理;2016年12月23日至2017年12月29日任建信鑫荣回报灵活配置混合型证券投资基金的基金经理;2017年3月1日起任建信鑫瑞回报灵活配置混合型证券投资基金的基金经理;2018年4月20日起任建信安心保本混合型证券投资基金的基金经理。2020年4月10日起担任建信兴利灵活配置混合型证券投资基金基金经理。",建信兴利灵活配置混合,002585,混合型,2020-04-10,至今,184天,25.92%,28.12%,1973|3453
1,,,,,建信稳定添利债券A,000435,债券型,2019-08-06,至今,1年又67天,6.78%,6.27%,439|1766
2,,,,,建信稳定添利债券C,000723,债券型,2019-08-06,至今,1年又67天,6.33%,6.27%,467|1766
3,,,,,建信瑞丰添利混合A,003319,混合型,2019-08-06,至今,1年又67天,4.49%,50.55%,2887|2961
4,,,,,建信瑞丰添利混合C,003320,混合型,2019-08-06,至今,1年又67天,4.24%,50.55%,2890|2961
5,,,,,建信润利增强债券A,006500,债券型,2019-03-26,至今,1年又200天,1.91%,7.59%,1512|1576
6,,,,,建信润利增强债券C,006501,债券型,2019-03-26,至今,1年又200天,1.25%,7.59%,1530|1576
7,,,,,建信灵活配置混合,000270,混合型,2018-04-20,至今,2年又175天,5.38%,50.73%,2508|2580
8,,,,,建信鑫瑞回报灵活配置混合,003831,混合型,2017-03-01,至今,3年又225天,42.24%,62.34%,1122|1904
9,,,,,建信鑫荣回报灵活配置混合,001498,混合型,2016-12-23,2017-12-29,1年又6天,16.17%,10.85%,514|2095
10,,,,,建信鑫悦回报灵活配置混合,003830,混合型,2016-12-02,2018-04-03,1年又122天,16.86%,7.55%,325|1948
11,,,,,建信瑞盛添利混合A,003057,混合型,2016-10-25,2017-12-07,1年又43天,5.50%,6.37%,847|1780
12,,,,,建信瑞盛添利混合C,003058,混合型,2016-10-25,2017-12-07,1年又43天,5.05%,6.37%,893|1780
13,,,,,建信睿怡纯债,002377,债券型,2016-02-22,2018-01-23,1年又336天,4.30%,3.31%,238|630
14,,,,,建信鑫丰回报灵活配置混合C,002141,混合型,2015-11-19,2018-01-23,2年又66天,10.40%,7.84%,553|1231
15,,,,,建信鑫利灵活配置混合,001858,混合型,2015-10-29,2017-07-12,1年又257天,3.00%,2.22%,626|1172
16,,,,,建信鑫裕回报灵活配置混合,001519,混合型,2015-07-02,2015-11-09,130天,4.10%,1.10%,256|1044
17,,,,,建信鑫丰回报灵活配置混合A,001408,混合型,2015-06-16,2018-01-23,2年又222天,14.18%,-8.73%,201|983
18,,,,,建信鑫安回报灵活配置混合,001304,混合型,2015-05-14,至今,5年又152天,28.32%,46.89%,558|868
19,,,,,建信回报灵活配置混合,001253,混合型,2015-05-13,2019-01-22,3年又255天,14.10%,-20.65%,84|862
20,,,,,建信稳健回报灵活配置混合,001205,混合型,2015-04-17,2020-08-07,5年又114天,20.49%,64.25%,708|852
21,,,,,建信稳定得利债券A,000875,债券型,2014-12-02,2017-06-30,2年又211天,15.90%,14.47%,210|533
22,,,,,建信稳定得利债券C,000876,债券型,2014-12-02,2017-06-30,2年又211天,14.70%,14.47%,251|533
