,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,王亚洲,2015-07-09,无,"王亚洲先生:硕士,曾任国泰基金管理有限公司债券研究员,2014年6月加入嘉实基金管理有限公司固定收益部任研究员。具有基金从业资格,中国国籍。2015年7月9日至今任嘉实中证中期企业债指数(LOF)、嘉实中证中期国债ETF和嘉实中证中期国债ETF联接基金基金经理。2016年11月4日起任嘉实稳祥纯债债券型证券投资基金基金经理。2016年12月29日起任嘉实丰安6个月定期开放债券型证券投资基金基金经理。2017年3月28日起任嘉实稳泰债券型证券投资基金基金经理。2017年3月28日至2018年4月10日任嘉实稳泰债券债券型证券投资基金基金经理。2017年6月13日至2018年1月11日任嘉实稳康纯债债券型证券投资基金基金经理。2017年7月12日至2018年4月10日任嘉实稳愉债券型证券投资基金基金经理。2015年7月9日起任嘉实中证金边中期国债交易型开放式指数证券投资基金、嘉实中证金边中期国债交易型开放式指数证券投资基金联接基金、嘉实中证中期企业债指数证券投资基金(LOF)基金经理。2016年11月4日起任嘉实稳祥纯债债券型证券投资基金基金经理。2016年12月29日至今任嘉实丰安6个月定期债券基金基金经理。2017年6月14日至今任嘉实稳华纯债债券型证券投资基金基金经理。2017年10月17日至今任嘉实稳怡债券型证券投资基金基金经理。2019年1月28日至今任嘉实致享纯债债券型证券投资基金基金经理。2016年9月20日至2020年3月13日任嘉实稳盛债券型证券投资基金基金经理。历任嘉实中债1-3年政策性金融债指数证券投资基金基金经理。",嘉实中债1-3政金债指数A,007021,债券指数,2019-04-25,2020-09-23,1年又152天,3.86%,7.56%,1389|1631
1,,,,,嘉实中债1-3政金债指数C,007022,债券指数,2019-04-25,2020-09-23,1年又152天,3.63%,7.56%,1445|1631
2,,,,,嘉实致享纯债债券,006841,债券型,2019-01-28,至今,1年又257天,3.74%,9.83%,1322|1481
3,,,,,嘉实稳怡债券,004486,债券型,2017-10-17,至今,2年又360天,13.15%,14.80%,612|1115
4,,,,,嘉实稳愉债券,004487,债券型,2017-07-12,2017-12-19,160天,-0.19%,0.78%,929|1223
5,,,,,嘉实稳华纯债债券,004544,债券型,2017-06-14,至今,3年又120天,18.34%,17.44%,336|1053
6,,,,,嘉实稳康纯债债券,004029,债券型,2017-06-13,2017-10-20,129天,0.68%,2.15%,1101|1219
7,,,,,嘉实稳泰债券,002551,债券型,2017-03-28,2017-12-19,266天,7.03%,1.68%,32|1133
8,,,,,嘉实丰安6个月定期债券,004030,定开债券,2016-12-29,至今,3年又287天,15.74%,17.05%,70|124
9,,,,,嘉实稳祥纯债债券A,002549,债券型,2016-11-04,至今,3年又342天,19.08%,15.16%,185|818
10,,,,,嘉实稳祥纯债债券C,003357,债券型,2016-11-04,至今,3年又342天,16.98%,15.16%,261|818
11,,,,,嘉实稳盛债券,002749,债券型,2016-09-20,2020-03-13,3年又175天,11.58%,13.16%,442|712
12,,,,,嘉实中证金边国债ETF联接A,000087,联接基金,2015-07-09,至今,5年又96天,-2.54%,22.74%,495|510
13,,,,,嘉实中证金边国债ETF联接C,000088,联接基金,2015-07-09,至今,5年又96天,-2.67%,22.74%,496|510
14,,,,,嘉实中证中期国债ETF,159926,ETF-场内,2015-07-09,至今,5年又96天,6.97%,22.74%,474|510
