,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,王刚,2017-07-28,无,"王刚先生:硕士。2011年7月加入中国人保资产管理股份有限公司,曾任助理组合经理、产品经理;2014年5月加入泰康资产管理有限责任公司,曾任资产管理部高级经理;2015年7月加入招商基金管理有限公司,曾任固定收益投资部研究员、现任招商可转债分级债券型证券投资基金基金经理(管理时间:2017年3月11日至今)、招商丰泽灵活配置混合型证券投资基金基金经理(管理时间:2017年7月28日至今)、招商丰美灵活配置混合型证券投资基金基金经理(管理时间:2017年7月28日至今)、招商瑞丰灵活配置混合型发起式证券投资基金基金经理(管理时间:2017年7月28日至今)、招商安荣灵活配置混合型证券投资基金基金经理(管理时间:2019年2月22日至今)、招商安德灵活配置混合型证券投资基金基金经理(管理时间:2019年7月30日至今)、招商添瑞1年定期开放债券型发起式证券投资基金基金经理(管理时间:2020年4月26日至今)。招商添盛78个月定期开放债券型证券投资基金基金经理(2020年7月23日至今)。",招商添盛78个月定开债,009711,定开债券,2020-07-23,至今,80天,0.65%,0.28%,46|407
1,,,,,招商添瑞1年定开债A,008463,定开债券,2020-04-26,至今,168天,0.46%,-0.70%,175|841
2,,,,,招商添瑞1年定开债C,008464,定开债券,2020-04-26,至今,168天,0.00%,,-|-
3,,,,,招商安德灵活配置混合A,002389,混合型,2019-07-30,至今,1年又74天,21.65%,45.80%,2130|2949
4,,,,,招商安德灵活配置混合C,002390,混合型,2019-07-30,至今,1年又74天,20.93%,45.80%,2159|2949
5,,,,,招商安荣混合A,002776,混合型,2019-02-22,至今,1年又232天,21.44%,58.62%,2316|2881
6,,,,,招商安荣混合C,002777,混合型,2019-02-22,至今,1年又232天,19.87%,58.62%,2389|2881
7,,,,,招商瑞丰灵活配置混合发起式A,000314,混合型,2017-07-28,至今,3年又76天,21.15%,55.85%,1840|2176
8,,,,,招商丰泽混合A,001427,混合型,2017-07-28,至今,3年又76天,21.07%,55.85%,1842|2176
9,,,,,招商丰泽混合C,001446,混合型,2017-07-28,至今,3年又76天,19.51%,55.85%,1884|2176
10,,,,,招商丰融混合A,001597,混合型,2017-07-28,2018-08-09,1年又12天,2.96%,-3.48%,582|2325
11,,,,,招商丰融混合C,001598,混合型,2017-07-28,2018-08-09,1年又12天,2.60%,-3.48%,632|2325
12,,,,,招商瑞丰灵活配置混合发起式C,002017,混合型,2017-07-28,至今,3年又76天,19.21%,55.85%,1896|2176
13,,,,,招商丰嘉混合A,002538,混合型,2017-07-28,2018-05-16,292天,31.80%,5.53%,24|2412
14,,,,,招商丰嘉混合C,002539,混合型,2017-07-28,2018-05-16,292天,26.34%,5.53%,46|2412
15,,,,,招商丰美混合A,002819,混合型,2017-07-28,至今,3年又76天,28.48%,55.85%,1591|2176
16,,,,,招商丰美混合C,002820,混合型,2017-07-28,至今,3年又76天,27.84%,55.85%,1604|2176
17,,,,,招商丰泰混合(LOF),161722,混合型,2017-07-28,2019-02-22,1年又209天,-13.36%,-1.21%,1875|2231
18,,,,,招商可转债分级债券A,150188,固定收益,2017-03-11,至今,3年又215天,17.07%,5.31%,2|4
19,,,,,招商可转债分级债券B,150189,分级杠杆,2017-03-11,至今,3年又215天,-17.68%,5.31%,4|4
20,,,,,招商可转债分级债券,161719,债券型,2017-03-11,至今,3年又215天,8.64%,17.49%,914|990
