,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,袁玮,2019-06-12,无,"袁玮先生:博士研究生、理学博士。历任安信基金管理有限责任公司研究部研究员、权益投资部基金经理助理。现任安信基金管理有限责任公司权益投资部基金经理。2010年7月加入安信证券股份有限公司任安信基金筹备组研究员,2011年12月加入安信基金管理有限责任公司任研究部研究员。现任安信基金管理有限责任公司权益投资部基金经理。2016年4月11日至今,任安信新常态沪港深精选股票型证券投资基金的基金经理。2017年3月16日至2018年3月28日,任安信新起点灵活配置混合型证券投资基金的基金经理。2018年3月21日至今,任安信比较优势灵活配置混合型证券投资基金的基金经理。2020年1月15日至今任安信价值驱动三年持有期混合型发起式证券投资基金基金经理。",安信价值驱动三年持有混合,008477,混合型,2020-01-15,至今,270天,34.69%,26.80%,1027|3131
1,,,,,安信鑫发优选混合,000433,混合型,2019-06-12,至今,1年又122天,26.85%,56.27%,2067|2888
2,,,,,安信动态策略混合A,001185,混合型,2019-06-12,至今,1年又122天,13.76%,56.27%,2635|2888
3,,,,,安信动态策略混合C,002029,混合型,2019-06-12,至今,1年又122天,13.48%,56.27%,2643|2888
4,,,,,安信盈利驱动股票A,006818,股票型,2019-03-05,至今,1年又221天,59.04%,46.07%,315|1076
5,,,,,安信盈利驱动股票C,006819,股票型,2019-03-05,至今,1年又221天,58.02%,46.07%,327|1076
6,,,,,安信比较优势混合,005587,混合型,2018-03-21,至今,2年又205天,42.21%,46.89%,1117|2417
7,,,,,安信量化精选沪深300增强A,003957,股票指数,2017-03-16,2018-03-29,1年又13天,6.25%,5.02%,350|711
8,,,,,安信量化精选沪深300增强C,003958,股票指数,2017-03-16,2018-03-29,1年又13天,5.63%,5.02%,358|711
9,,,,,安信新常态股票,001583,股票型,2016-04-11,至今,4年又184天,75.00%,64.12%,180|549
10,王博,2020-01-03,无,"王博先生:国籍中国,硕士研究生/工学硕士学历、学位。2012年9月加入中国中投证券有限责任公司任研究部研究员,2015年2月加入深圳望正资产管理有限公司任研究部研究员,2017年5月加入安信基金管理有限责任公司,历任研究部研究员、权益投资部分析师,现任权益投资部基金经理。2020/1/3起担任安信鑫发优选灵活配置混合型证券投资基金的基金经理。",安信鑫发优选混合,000433,混合型,2020-01-03,至今,282天,11.88%,29.31%,2526|3270
