,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,雷俊,2019-05-24,无,"雷俊先生:中国国籍,北京大学信息与计算科学学士、信号与信息处理硕士。曾就职于南方基金管理有限公司,2017年11月进入长城基金管理有限公司,现任量化与指数投资部基金经理兼部门总经理。自2018年11月至今任“长城久泰沪深300指数证券投资基金”基金经理,自2018年11月至今任“长城中证500指数增强型证券投资基金”基金经理。自2019年1月至今任“长城创业板指数增强型发起式证券投资基金”基金经理,自2019年5月至今任“长城核心优选灵活配置混合型证券投资基金”基金经理,自2019年5月至今任“长城量化精选股票型证券投资基金”基金经理,2020年01月10日担任长城量化小盘股票型证券投资基金基金经理。2020年1月20日起任长城中国智造灵活配置混合型证券投资基金基金经理。",长城中国智造灵活配置混合C,010000,混合型,2020-09-07,至今,34天,5.19%,1.36%,249|3677
1,,,,,长城中国智造灵活配置混合A,001880,混合型,2020-01-20,至今,265天,51.03%,25.16%,176|3141
2,,,,,长城量化小盘股票,007903,股票型,2020-01-10,至今,275天,26.34%,24.84%,575|1391
3,,,,,长城量化精选股票,006926,股票型,2019-05-29,至今,1年又136天,30.61%,51.35%,856|1142
4,,,,,长城核心优选混合,000030,混合型,2019-05-24,至今,1年又141天,42.67%,58.21%,1754|3000
5,,,,,长城中证500指数增强C,007413,股票指数,2019-05-09,至今,1年又156天,50.63%,54.22%,537|1124
6,,,,,长城创业板指数增强A,001879,股票指数,2019-01-29,至今,1年又256天,139.39%,74.89%,91|1048
7,,,,,长城创业板指数增强C,006928,股票指数,2019-01-29,至今,1年又256天,136.85%,74.89%,100|1048
8,,,,,长城久泰沪深300指数C,006912,股票指数,2019-01-18,至今,1年又267天,60.23%,74.86%,621|1056
9,,,,,长城中证500指数增强A,006048,股票指数,2018-11-30,至今,1年又316天,70.84%,73.92%,474|1027
10,,,,,长城久泰沪深300指数A,200002,股票指数,2018-11-30,至今,1年又316天,62.05%,73.92%,595|1027
11,,,,,南方量化混合,001771,混合型,2017-08-24,2017-11-09,77天,1.30%,6.16%,2010|2444
12,,,,,南方大数据100C,004344,股票指数,2017-02-23,2017-11-09,259天,-1.75%,12.75%,635|708
13,,,,,南方量化成长,001421,股票型,2015-06-29,2017-11-09,2年又134天,21.80%,-1.89%,38|438
14,,,,,南方中证500信息技术ETF,512330,ETF-场内,2015-06-29,2016-07-29,1年又31天,-15.18%,-18.85%,137|445
15,,,,,南方大数据300A,001420,股票指数,2015-06-24,2017-11-09,2年又139天,19.84%,-15.83%,13|429
16,,,,,南方大数据300C,001426,股票指数,2015-06-24,2017-11-09,2年又139天,18.97%,-15.83%,16|429
17,,,,,南方策略优化混合,202019,混合型,2015-06-16,2017-11-09,2年又147天,-12.09%,-10.38%,485|987
18,,,,,南方中证高铁产业指数分级A,150293,固定收益,2015-06-10,2016-07-29,1年又50天,7.20%,-32.43%,6|158
19,,,,,南方中证高铁产业指数分级B,150294,分级杠杆,2015-06-10,2016-07-29,1年又50天,-89.53%,-32.43%,145|158
20,,,,,南方中证高铁产业指数分级,160135,股票指数,2015-06-10,2016-07-29,1年又50天,-45.82%,-36.32%,359|413
21,,,,,南方中证国有企业改革分级A,150295,固定收益,2015-06-03,2016-07-29,1年又57天,6.70%,-31.75%,15|148
22,,,,,南方中证国有企业改革分级B,150296,分级杠杆,2015-06-03,2016-07-29,1年又57天,-77.78%,-31.75%,116|148
23,,,,,南方中证国有企业改革指数分级,160136,股票指数,2015-06-03,2016-07-29,1年又57天,-42.10%,-35.40%,304|406
24,,,,,南方大数据100A,001113,股票指数,2015-04-24,2017-11-09,2年又200天,-10.79%,-6.19%,217|377
25,,,,,南方中证500原材料ETF,512340,ETF-场内,2015-04-16,2016-04-21,1年又6天,-28.51%,-23.65%,260|363
26,,,,,南方中证500工业ETF,512310,ETF-场内,2015-04-08,2016-04-21,1年又14天,-37.95%,-21.57%,342|349
27,,,,,南方恒指ETF,513600,QDII-ETF,2014-12-23,2016-04-21,1年又120天,-4.63%,-2.83%,66|110
28,王卫林,2019-12-20,无,"王卫林先生:华中科技大学工学学士、北京大学工程硕士。曾就职于南方基金管理有限公司(2016年7月至2017年12月)。2018年1月进入长城基金管理有限公司,曾任量化与指数投资部研究员、基金经理助理。2019年12月20日担任长城核心优选灵活配置混合型证券投资基金基金经理。2019年12月20日长城创业板指数增强型发起式证券投资基金基金经理。",长城核心优选混合,000030,混合型,2019-12-20,至今,296天,25.29%,32.82%,1879|3235
29,,,,,长城创业板指数增强A,001879,股票指数,2019-12-20,至今,296天,61.96%,31.11%,105|1362
30,,,,,长城创业板指数增强C,006928,股票指数,2019-12-20,至今,296天,61.41%,31.11%,112|1362
