,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,王妍,2013-12-05,无,"王妍(WANGYan)女士:中银基金管理有限公司助理副总裁(AVP),管理学学士。曾任南京银行金融市场部债券交易员。2011年加入中银基金管理有限公司,曾担任基金经理助理。2012年9月至今任中银理财14天债券基金基金经理,2012年10月至2016年7月任中银理财60天债券基金基金经理,2013年1月至今任中银理财30天债券基金基金经理,2013年12月至今任中银中高等级债券基金基金经理,2016年2月至今任中银瑞利基金基金经理,2016年3月至今任中银珍利基金基金经理,2016年4月至今任中银裕利基金基金经理,2016年7月至今任中银季季红基金基金经理,2017年7月至今任中银丰实基金基金经理。2019年12月26日至2020年3月18日担任中银添瑞6个月定期开放债券型证券投资基金基金经理。具备银行、基金和银行间债券市场交易员从业资格。",中银添瑞6个月A,008146,定开债券,2019-12-26,2020-03-18,83天,0.44%,1.76%,743|773
1,,,,,中银添瑞6个月C,008147,定开债券,2019-12-26,2020-03-18,83天,0.36%,1.76%,756|773
2,,,,,中银智享债券,004767,债券型,2018-02-01,至今,2年又253天,14.70%,14.40%,434|1145
3,,,,,中银利享定期开放债券,004844,定开债券,2017-12-26,至今,2年又290天,13.28%,14.57%,82|140
4,,,,,中银丰进定期开放债券,005072,定开债券,2017-11-27,2019-04-24,1年又148天,12.17%,7.56%,6|119
5,,,,,中银丰实定开债,004723,定开债券,2017-07-19,至今,3年又85天,17.38%,15.07%,84|313
6,,,,,中银中高等级C,004548,债券型,2017-04-12,至今,3年又183天,20.12%,17.13%,239|1016
7,,,,,中银季季红定开债,002985,定开债券,2016-07-15,至今,4年又89天,20.23%,16.68%,40|179
8,,,,,中银裕利混合A,002618,混合型,2016-04-26,2018-02-09,1年又289天,8.60%,8.79%,677|1483
9,,,,,中银裕利混合C,002619,混合型,2016-04-26,2018-02-09,1年又289天,8.70%,8.79%,673|1483
10,,,,,中银珍利混合A,002461,混合型,2016-03-10,2018-02-09,1年又336天,10.83%,15.64%,755|1408
11,,,,,中银珍利混合C,002462,混合型,2016-03-10,2018-02-09,1年又336天,10.74%,15.64%,760|1408
12,,,,,中银瑞利混合A,002413,混合型,2016-02-04,2018-02-09,2年又6天,10.12%,12.22%,678|1386
13,,,,,中银瑞利混合C,002414,混合型,2016-02-04,2018-02-09,2年又6天,7.71%,12.22%,825|1386
14,,,,,中银中高等级A,000305,债券型,2013-12-05,至今,6年又312天,46.11%,57.62%,260|407
15,,,,,中银聚享债券A,380010,债券型,2013-01-31,2019-04-24,6年又84天,,28.47%,21|22
16,,,,,中银聚享债券B,380011,债券型,2013-01-31,2019-04-24,6年又84天,,28.47%,13|22
17,,,,,中银理财60天债券发起A,380003,理财型,2012-10-26,2016-07-19,3年又267天,16.26%,16.54%,13|18
18,,,,,中银理财60天债券发起B,380004,理财型,2012-10-26,2016-07-19,3年又267天,17.53%,16.54%,6|18
19,,,,,中银理财14天债券A,380001,理财型,2012-09-24,2019-12-25,7年又93天,30.46%,32.24%,7|9
20,,,,,中银理财14天债券B,380002,理财型,2012-09-24,2019-12-25,7年又93天,33.19%,32.24%,3|9
