,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,王琳,2017-08-11,无,"王琳女士:博士研究生,2009年2月加入国泰基金管理有限公司,历任研究员、基金经理助理。2017年1月起任国泰兴益灵活配置混合型证券投资基金的基金经理,2017年1月至2018年8月任国泰添益灵活配置混合型证券投资基金的基金经理,2017年1月至2018年4月任国泰福益灵活配置混合型证券投资基金的基金经理,2017年6月至2018年3月任国泰睿信平衡混合型证券投资基金的基金经理,2017年8月至2018年3月任国泰鑫益灵活配置混合型证券投资基金的基金经理,2017年8月起兼任国泰安康定期支付混合型证券投资基金(原国泰安康养老定期支付混合型证券投资基金)的基金经理,2017年8月至2018年5月任国泰泽益灵活配置混合型证券投资基金的基金经理,2019年5月起兼任国泰多策略收益灵活配置混合型证券投资基金和国泰鑫策略价值灵活配置混合型证券投资基金的基金经理。2019年8月16日起兼任国泰安益灵活配置混合型证券投资基金和国泰普益灵活配置混合型证券投资基金的基金经理。2020年3月13日担任国泰双利债券证券投资基金基金经理。",国泰双利债券A,020019,债券型,2020-03-13,至今,212天,3.65%,1.43%,338|2155
1,,,,,国泰双利债券C,020020,债券型,2020-03-13,至今,212天,3.43%,1.43%,348|2155
2,,,,,国泰招惠收益定期开放债券,005185,定开债券,2019-08-30,至今,1年又43天,8.00%,3.84%,26|633
3,,,,,国泰安益灵活配置混合A,001850,混合型,2019-08-16,至今,1年又57天,22.47%,45.88%,2204|3100
4,,,,,国泰普益混合A,003754,混合型,2019-08-16,至今,1年又57天,24.40%,45.88%,2137|3100
5,,,,,国泰普益混合C,003755,混合型,2019-08-16,至今,1年又57天,24.27%,45.88%,2139|3100
6,,,,,国泰安益灵活配置混合C,004252,混合型,2019-08-16,至今,1年又57天,22.32%,45.88%,2210|3100
7,,,,,国泰多策略收益混合,001922,混合型,2019-05-31,至今,1年又134天,33.07%,56.17%,1983|3011
8,,,,,国泰鑫策略价值混合,002197,混合型,2019-05-31,至今,1年又134天,37.50%,56.17%,1857|3011
9,,,,,国泰安康定期支付混合A,000367,混合型,2017-08-11,至今,3年又62天,32.17%,56.81%,1482|2193
10,,,,,国泰安康定期支付混合C,002061,混合型,2017-08-11,至今,3年又62天,31.69%,56.81%,1499|2193
11,,,,,国泰鑫益灵活配置混合A,003941,混合型,2017-08-10,2018-03-20,222天,16.69%,5.87%,188|2385
12,,,,,国泰鑫益灵活配置混合C,003942,混合型,2017-08-10,2018-03-20,222天,16.12%,5.87%,204|2385
13,,,,,国泰泽益灵活配置混合A,003943,混合型,2017-08-10,2018-05-11,274天,6.46%,4.26%,668|2367
14,,,,,国泰泽益灵活配置混合C,003944,混合型,2017-08-10,2018-05-11,274天,6.97%,4.26%,629|2367
15,,,,,国泰睿信平衡混合,002203,混合型,2017-06-14,2018-03-29,288天,15.85%,6.77%,246|2304
16,,,,,国泰兴益灵活配置混合A,001265,混合型,2017-01-25,至今,3年又260天,31.62%,66.03%,1410|1847
17,,,,,国泰福益灵活配置混合,001813,混合型,2017-01-25,2018-04-13,1年又78天,7.23%,9.86%,1059|2032
18,,,,,国泰添益灵活配置混合,001923,混合型,2017-01-25,2018-08-31,1年又218天,6.74%,1.46%,595|1971
19,,,,,国泰兴益灵活配置混合C,002055,混合型,2017-01-25,至今,3年又260天,30.83%,66.03%,1427|1847
