,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,王登峰,2013-05-29,无,"王登峰先生:经济学硕士。历任中信建投证券股份有限公司固定收益部高级经理。2012年5月加盟天弘基金管理有限公司,历任固定收益研究员,现任天弘现金管家货币市场基金基金经理、天弘余额宝货币市场基金基金经理、天弘季加利理财债券型证券投资基金基金经理、天弘增益宝货币市场基金基金经理、天弘云商宝货币市场基金基金经理、天弘弘运宝货币市场基金基金经理、公司投资决策委员会成员。",天弘现金管家货币E,002847,货币型,2016-07-14,至今,4年又90天,12.61%,13.17%,305|420
1,,,,,天弘弘运宝货币A,001386,货币型,2015-08-13,至今,5年又61天,15.85%,16.05%,204|338
2,,,,,天弘弘运宝货币B,001391,货币型,2015-08-13,至今,5年又61天,14.60%,16.05%,296|338
3,,,,,天弘云商宝,001529,货币型,2015-06-25,至今,5年又110天,15.96%,16.53%,224|328
4,,,,,天弘现金管家货币D,001251,货币型,2015-05-05,至今,5年又161天,15.82%,17.13%,256|313
5,,,,,天弘增益宝货币,001038,货币型,2015-03-06,2017-08-24,2年又172天,5.60%,7.48%,310|318
6,,,,,天弘现金管家货币C,000832,货币型,2014-10-15,至今,5年又363天,18.93%,19.94%,193|258
7,,,,,天弘季加利理财A,000670,理财型,2014-06-18,2015-09-28,1年又102天,2.71%,3.39%,36|42
8,,,,,天弘季加利理财B,000671,理财型,2014-06-18,2015-09-28,1年又102天,2.86%,3.39%,35|42
9,,,,,天弘余额宝货币,000198,货币型,2013-05-29,至今,7年又137天,27.87%,27.04%,53|129
10,,,,,天弘现金管家货币A,420006,货币型,2012-08-08,至今,8年又66天,28.78%,30.56%,69|84
11,,,,,天弘现金管家货币B,420106,货币型,2012-08-08,至今,8年又66天,31.33%,30.56%,38|84
