,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,王立,2014-09-03,无,"王立女士:中国国籍,经济学硕士。曾任职于申银万国证券股份有限公司、南京市商业银行资金营运中心。2005年4月加入大成基金管理有限公司,曾任大成货币市场基金基金经理助理。2007年1月12日至2014年12月23日担任大成货币市场证券投资基金基金经理。2009年5月23日起兼任大成债券投资基金基金经理。2012年11月20日至2014年4月4日任大成现金增利货币市场基金基金经理。2013年2月1日至2015年5月25日任大成月添利理财债券型证券投资基金基金经理。2013年7月23日至2015年5月25日任大成景旭纯债债券型证券投资基金基金经理。2014年9月3日起任大成景兴信用债债券型证券投资基金基金经理。2014年9月3日起任大成景丰债券型证券投资基金(LOF)基金经理。2016年2月3日起任大成慧成货币市场基金基金经理。现任固定收益总部总监、固定收益投资决策委员会委员兼公募投资部总监助理。具有基金从业资格。",大成景尚灵活配置混合A,003692,混合型,2018-11-12,至今,1年又334天,20.19%,69.67%,2356|2667
1,,,,,大成景尚灵活配置混合C,003693,混合型,2018-11-12,至今,1年又334天,19.95%,69.67%,2367|2667
2,,,,,大成慧成货币A,002200,货币型,2016-02-03,2018-04-02,2年又59天,7.32%,7.34%,215|390
3,,,,,大成慧成货币B,002201,货币型,2016-02-03,2018-04-02,2年又59天,7.86%,7.34%,68|390
4,,,,,大成慧成货币E,002202,货币型,2016-02-03,2018-04-02,2年又59天,6.05%,7.12%,377|392
5,,,,,大成景兴信用债债券A,000130,债券型,2014-09-03,至今,6年又40天,55.63%,45.53%,105|463
6,,,,,大成景兴信用债债券C,000131,债券型,2014-09-03,至今,6年又40天,52.36%,45.53%,130|463
7,,,,,大成景旭纯债债券A,000152,债券型,2013-07-23,2015-05-25,1年又306天,17.70%,33.60%,278|410
8,,,,,大成景旭纯债债券C,000153,债券型,2013-07-23,2015-05-25,1年又306天,17.10%,33.60%,286|410
9,,,,,大成月添利债券A,090021,债券型,2013-02-01,2015-05-25,2年又113天,,34.17%,295|341
10,,,,,大成月添利债券B,091021,债券型,2013-02-01,2015-05-25,2年又113天,,34.17%,291|341
11,,,,,大成现金增利货币A,090022,货币型,2012-11-20,2014-04-04,1年又135天,5.82%,5.56%,46|89
12,,,,,大成现金增利货币B,091022,货币型,2012-11-20,2014-04-04,1年又135天,6.17%,5.56%,18|89
13,,,,,大成债券A/B,090002,债券型,2009-05-23,至今,11年又144天,111.10%,84.82%,13|91
14,,,,,大成债券C,092002,债券型,2009-05-23,至今,11年又144天,103.34%,84.82%,15|91
15,,,,,大成货币A,090005,货币型,2007-01-12,2014-12-23,7年又347天,28.18%,29.24%,35|49
16,,,,,大成货币B,091005,货币型,2007-01-12,2014-12-23,7年又347天,30.65%,29.24%,14|49
