,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,王莉,2016-01-26,无,"王莉女士:中国,金融学硕士研究生,2016-01至2017-06任国海富兰克林基金管理有限公司基金经理,2011-09至2016-01任国海富兰克林基金管理有限公司债券交易员,2010-06至2011-08任武汉农村商业银行股份有限公司债券交易员。",国富恒丰定期债券A,000351,定开债券,2019-09-13,至今,1年又29天,2.18%,3.63%,573|652
1,,,,,国富恒丰定期债券C,000352,定开债券,2019-09-13,至今,1年又29天,1.79%,3.63%,604|652
2,,,,,国富新机遇混合A,002087,混合型,2019-09-13,至今,1年又29天,18.49%,38.48%,2191|3006
3,,,,,国富新机遇混合C,002088,混合型,2019-09-13,至今,1年又29天,18.15%,38.48%,2199|3006
4,,,,,国富天颐混合A,005652,混合型,2019-09-13,至今,1年又29天,16.68%,38.48%,2293|3006
5,,,,,国富天颐混合C,005653,混合型,2019-09-13,至今,1年又29天,15.97%,38.48%,2354|3006
6,,,,,国富日鑫月益30天理财债券A,004663,理财型,2017-06-21,至今,3年又113天,10.39%,11.13%,21|23
7,,,,,国富日鑫月益30天理财债券B,004664,理财型,2017-06-21,至今,3年又113天,11.32%,11.13%,9|23
8,,,,,国富安享货币,004120,货币型,2017-05-22,至今,3年又143天,11.12%,10.44%,146|573
9,,,,,国富恒丰定期债券A,000351,定开债券,2016-01-26,2016-05-25,120天,0.63%,0.62%,92|188
10,,,,,国富恒丰定期债券C,000352,定开债券,2016-01-26,2016-05-25,120天,0.45%,0.62%,129|188
11,,,,,国富日日收益货币A,000203,货币型,2016-01-22,至今,4年又264天,13.30%,14.63%,334|378
12,,,,,国富日日收益货币B,000204,货币型,2016-01-22,至今,4年又264天,14.59%,14.63%,206|378
