,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,余志勇,2015-03-17,无,"余志勇先生:武汉大学金融学硕士、工商管理学学士,具有证券从业资格,现任融通基金管理有限公司研究策划部副总监。历任湖北省农业厅研究员、闽发证券公司研究员、招商证券股份有限公司研究发展中心研究员。1992年7月至1997年9月就职于湖北省农业厅任研究员,2000年7月至2004年7月就职于闽发证券公司任研究员,2004年7月至2007年4月就职于招商证券股份有限公司任研究员。2007年4月加入融通基金管理有限公司,历任研究部行业研究员、行业研究组组长、研究部总监、融通领先成长混合型证券投资基金(LOF)基金经理、融通通泽灵活配置混合基金基金经理、融通增裕债券型证券投资基金基金经理、融通增丰债券型证券投资基金基金经理、融通通景灵活配置混合型证券投资基金基金经理、融通通尚灵活配置混合型证券投资基金基金经理、融通新优选灵活配置混合型证券投资基金基金经理、融通通润债券型证券投资基金基金经理、融通通颐定期开放债券型证券投资基金基金经理、融通新动力灵活配置混合型证券投资基金基金经理、融通通泰保本混合型证券投资基金基金经理,现任组合投资部总监、融通通鑫灵活配置混合型证券投资基金基金经理、融通新机遇灵活配置混合型证券投资基金基金经理、融通四季添利债券型证券投资基金(LOF)基金经理、融通通慧混合型证券投资基金基金经理、融通沪港深智慧生活灵活配置混合型证券投资基金基金经理、融通增强收益债券型证券投资基金基金经理。2020年2月5日任融通蓝筹成长证券投资基金基金经理。2020年4月8日任融通新消费灵活配置混合型证券投资基金基金经理。",融通四季添利债券(LOF)C,000673,债券型,2020-05-13,至今,151天,-0.65%,0.45%,1213|2215
1,,,,,融通新消费灵活配置混合,002605,混合型,2020-04-08,至今,186天,14.57%,28.13%,2368|3252
2,,,,,融通蓝筹成长混合,161605,混合型,2020-02-05,至今,249天,20.66%,29.93%,2046|3155
3,,,,,融通沪港深智慧生活灵活配置混合,003279,混合型,2019-06-11,至今,1年又123天,26.52%,55.45%,2065|2889
4,,,,,融通通慧混合A/B,002612,混合型,2019-05-16,至今,1年又149天,27.32%,53.51%,1998|2855
5,,,,,融通通慧混合C,007387,混合型,2019-05-16,至今,1年又149天,26.82%,53.51%,2015|2855
6,,,,,融通新动力灵活配置混合,004508,混合型,2017-08-03,2018-07-05,336天,0.30%,-1.54%,1050|2297
7,,,,,融通通颐定开债券A,003726,定开债券,2017-03-16,2018-09-29,1年又197天,5.96%,5.50%,66|144
8,,,,,融通通颐定开债券C,003727,定开债券,2017-03-16,2018-09-29,1年又197天,5.26%,5.50%,90|144
9,,,,,融通通润债券,003650,债券型,2017-03-13,2018-12-26,1年又288天,9.25%,5.62%,210|1019
10,,,,,融通新优选灵活配置混合,001627,混合型,2016-11-02,2017-08-18,289天,4.60%,3.18%,634|1805
11,,,,,融通四季添利债券(LOF)A,161614,债券型,2016-10-28,至今,3年又349天,16.30%,15.47%,280|796
12,,,,,融通通尚灵活配置混合A,003250,混合型,2016-10-19,2018-04-12,1年又175天,5.25%,7.80%,975|1755
13,,,,,融通通尚灵活配置混合C,003251,混合型,2016-10-19,2018-04-12,1年又175天,4.84%,7.80%,1005|1755
14,,,,,融通通景灵活配置混合,002791,混合型,2016-08-19,2017-12-13,1年又116天,4.00%,8.57%,1070|1726
15,,,,,融通增丰债券,002922,债券型,2016-08-02,2018-03-01,1年又211天,5.39%,1.84%,81|726
16,,,,,融通增裕债券,002607,债券型,2016-05-13,2018-07-25,2年又73天,4.00%,4.73%,429|670
17,,,,,融通新机遇灵活配置混合,002049,混合型,2015-11-17,至今,4年又330天,38.80%,58.18%,733|1167
18,,,,,融通通鑫灵活配置混合,001470,混合型,2015-06-15,至今,5年又120天,41.46%,28.85%,335|956
19,,,,,融通增强收益债券A,000142,债券型,2015-03-17,至今,5年又210天,27.01%,25.90%,254|497
20,,,,,融通增强收益债券C,001124,债券型,2015-03-17,至今,5年又210天,20.69%,25.90%,367|497
