,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,王霞,2014-12-25,无,"王霞女士:管理学硕士,注册会计师,国籍:中国。历任南方基金管理有限公司商业、贸易、旅游行业研究员、房地产行业首席研究员。现任前海开源基金管理有限公司执行投资总监、前海开源沪深300指数型证券投资基金基金经理、前海开源事件驱动灵活配置混合型发起式证券投资基金基金经理。2020年7月20日起担任前海开源沪港深非周期性行业股票型证券投资基金基金经理。2020年7月23日起担任前海开源港股通股息率50强股票型证券投资基金基金经理。",前海开源港股通股息率50强,004098,股票型,2020-07-23,至今,80天,-2.02%,-0.44%,1068|1584
1,,,,,前海开源沪港深非周期股票A,006923,股票型,2020-07-20,至今,83天,7.34%,1.19%,146|1582
2,,,,,前海开源沪港深非周期股票C,006924,股票型,2020-07-20,至今,83天,7.28%,1.19%,150|1582
3,,,,,前海开源中国成长混合,000788,混合型,2018-03-06,至今,2年又220天,80.16%,46.82%,372|2363
4,,,,,前海开源沪港深裕鑫A,004316,混合型,2017-03-23,至今,3年又203天,49.22%,60.05%,943|1928
5,,,,,前海开源沪港深裕鑫C,004317,混合型,2017-03-23,至今,3年又203天,48.50%,60.05%,959|1928
6,,,,,前海开源盈鑫A,004453,混合型,2017-03-21,2019-05-15,2年又55天,10.11%,5.43%,683|1929
7,,,,,前海开源盈鑫C,004454,混合型,2017-03-21,2019-05-15,2年又55天,10.92%,5.43%,634|1929
8,,,,,前海开源事件驱动混合C,001865,混合型,2015-10-26,至今,4年又352天,80.60%,66.18%,379|1123
9,,,,,前海开源事件驱动混合A,000423,混合型,2014-12-25,至今,5年又292天,96.63%,126.71%,447|744
10,,,,,前海开源沪深300指数,000656,股票指数,2014-06-17,2017-08-30,3年又75天,52.74%,79.57%,211|257
