,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,田元强,2019-03-21,无,"田元强先生:西安交通大学工商管理硕士,曾先后担任鹏元资信评估有限公司信用评级部分析师、生命保险资产管理有限公司信用评估部分析师、中国中投证券有限责任公司研究总部分析员。2016年11月加入平安基金管理有限公司,曾任固定收益投资中心固定收益高级研究员。现担任平安交易型货币市场基金、2018年11月26日-2020年1月17日任平安合颖定期开放纯债债券型发起式证券投资基金基金经理、平安鑫利灵活配置混合型证券投资基金、平安3-5年期政策性金融债债券型证券投资基金、平安日增利货币市场基金基金经理。2019年12月16日担任平安合信3个月定期开放债券型发起式证券投资基金基金经理。2018年11月26日至2020年1月17日担任平安鑫利灵活配置混合型证券投资基金基金经理。2019年4月10日至2020年5月25日担任平安鑫安混合型证券投资基金基金经理。2020年8月25日担任平安惠金定期开放债券型证券投资基金基金经理。2020年8月25日担任平安合锦定期开放债券型发起式证券投资基金基金经理。2020年9月7日起担任平安惠铭纯债债券型证券投资基金基金经理。",平安日增利货币B,010208,货币型,2020-09-14,至今,27天,0.12%,0.11%,262|661
1,,,,,平安惠铭纯债,009306,债券型,2020-09-07,至今,34天,0.14%,0.18%,1854|2467
2,,,,,平安惠金定开债A,003024,定开债券,2020-08-25,至今,47天,-0.03%,0.10%,363|423
3,,,,,平安合锦定开债,006412,定开债券,2020-08-25,至今,47天,0.12%,0.10%,221|423
4,,,,,平安惠金定开债C,006717,定开债券,2020-08-25,至今,47天,-0.04%,0.10%,368|423
5,,,,,平安合信定开债,004630,定开债券,2019-12-16,至今,300天,3.56%,2.57%,40|312
6,,,,,平安如意中短债A,007017,债券型,2019-04-19,至今,1年又176天,6.10%,7.16%,622|1663
7,,,,,平安如意中短债C,007018,债券型,2019-04-19,至今,1年又176天,5.94%,7.16%,660|1663
8,,,,,平安如意中短债E,007019,债券型,2019-04-19,至今,1年又176天,5.57%,7.16%,761|1663
9,,,,,平安鑫安混合A,001664,混合型,2019-04-10,2020-05-25,1年又46天,5.06%,15.97%,2207|2859
10,,,,,平安鑫安混合C,001665,混合型,2019-04-10,2020-05-25,1年又46天,4.59%,15.97%,2253|2859
11,,,,,平安鑫安混合E,007049,混合型,2019-04-10,2020-05-25,1年又46天,4.93%,15.97%,2217|2859
12,,,,,平安日增利货币A,000379,货币型,2019-03-21,至今,1年又205天,3.44%,3.48%,381|638
13,,,,,平安3-5年政策性金融债A,006934,债券型,2019-02-22,至今,1年又232天,2.65%,8.39%,1489|1574
14,,,,,平安3-5年政策性金融债C,006935,债券型,2019-02-22,至今,1年又232天,2.61%,8.39%,1491|1574
15,,,,,平安交易型货币A,003034,货币型,2018-11-26,至今,1年又320天,5.00%,4.41%,49|637
16,,,,,平安鑫利混合A,003626,混合型,2018-11-26,2020-01-17,1年又52天,4.58%,35.02%,2642|2715
17,,,,,平安合颖定开债,005897,定开债券,2018-11-26,2020-01-17,1年又52天,5.51%,5.72%,114|224
18,,,,,平安鑫利混合C,006433,混合型,2018-11-26,2020-01-17,1年又52天,4.32%,35.02%,2650|2715
19,,,,,平安交易型货币E,511700,货币型,2018-11-26,至今,1年又320天,4.99%,4.41%,49|637
