,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,田汉卿,2013-08-02,无,"田汉卿女士:华泰柏瑞基金管理有限公司副总经理。曾在美国巴克莱全球投资管理有限公司(BGI)担任投资经理,2012年8月加入华泰柏瑞基金管理有限公司,2013年8月起任华泰柏瑞量化增强混合型证券投资基金的基金经理,2013年10月起任公司副总经理,2014年12月17日至2020年7月13日任华泰柏瑞量化优选灵活配置混合型证券投资基金的基金经理,2015年3月起任华泰柏瑞量化先行混合型证券投资基金的基金经理,2015年3月24日至2020年7月13日担任华泰柏瑞量化驱动灵活配置混合型证券投资基金的基金经理,2015年6月起任华泰柏瑞量化智慧灵活配置混合型证券投资基金的基金经理和华泰柏瑞量化绝对收益策略定期开放混合型发起式证券投资基金的基金经理。2016年5月起任华泰柏瑞量化对冲稳健收益定期开放混合型发起式证券投资基金的基金经理。2017年3月至2018年11月任华泰柏瑞惠利灵活配置混合型证券投资基金的基金经理。2017年5月起任华泰柏瑞量化创优灵活配置混合型证券投资基金的基金经理。2017年9月起任华泰柏瑞量化阿尔法灵活配置混合型证券投资基金的基金经理。本科与研究生毕业于清华大学,MBA毕业于美国加州大学伯克利分校哈斯商学院。2017年12月20日至2020年7月13日担任华泰柏瑞港股通量化灵活配置混合型证券投资基金基金经理。",华泰柏瑞量化创盈混合A,010303,混合型,2020-10-09,至今,2天,,,-|-
1,,,,,华泰柏瑞量化创盈混合C,010304,混合型,2020-10-09,至今,2天,,,-|-
2,,,,,华泰柏瑞量化增强混合C,010234,混合型,2020-09-28,至今,13天,2.75%,2.73%,1762|3738
3,,,,,华泰柏瑞量化先行混合C,010246,混合型,2020-09-28,至今,13天,3.40%,2.73%,1399|3738
4,,,,,华泰柏瑞量化驱动混合C,006531,混合型,2018-10-16,2020-07-13,1年又271天,63.35%,74.29%,1442|2653
5,,,,,华泰柏瑞量化阿尔法C,006532,混合型,2018-10-16,至今,1年又361天,66.72%,75.49%,1387|2644
6,,,,,华泰柏瑞量化智慧混合C,006104,混合型,2018-06-19,至今,2年又115天,45.64%,55.74%,1345|2528
7,,,,,华泰柏瑞港股通量化混合,005269,混合型,2017-12-20,2020-07-13,2年又206天,-3.76%,46.75%,2218|2241
8,,,,,华泰柏瑞量化阿尔法A,005055,混合型,2017-09-26,至今,3年又16天,34.98%,52.08%,1266|2155
9,,,,,华泰柏瑞量化创优混合,004394,混合型,2017-05-12,至今,3年又153天,76.83%,63.28%,678|2102
10,,,,,华泰柏瑞惠利灵活混合A,001340,混合型,2017-03-23,2018-11-07,1年又229天,-15.83%,-5.17%,1516|2005
11,,,,,华泰柏瑞惠利灵活混合C,001341,混合型,2017-03-23,2018-11-07,1年又229天,-16.14%,-5.17%,1529|2005
12,,,,,华泰柏瑞量化对冲,002804,混合型,2016-05-26,至今,4年又139天,25.12%,76.62%,1264|1427
13,,,,,华泰柏瑞量化绝对收益混合,001073,混合型,2015-06-29,至今,5年又106天,25.59%,55.97%,750|993
14,,,,,华泰柏瑞量化智慧混合A,001244,混合型,2015-06-03,至今,5年又132天,52.20%,27.34%,217|917
15,,,,,华泰柏瑞量化驱动混合A,001074,混合型,2015-03-24,2020-07-13,5年又113天,42.89%,75.13%,564|793
16,,,,,华泰柏瑞量化先行混合A,460009,混合型,2015-03-18,至今,5年又209天,95.72%,84.78%,302|788
17,,,,,华泰柏瑞量化优选混合,000877,混合型,2014-12-17,2020-07-13,5年又210天,124.20%,119.01%,312|740
18,,,,,华泰柏瑞量化增强混合A,000172,混合型,2013-08-02,至今,7年又72天,232.05%,182.23%,164|594
