,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,石大怿,2013-03-04,无,"石大怿先生:经济学硕士。曾任南方基金管理有限公司交易管理部交易员,易方达基金管理有限公司集中交易室债券交易员、固定收益部基金经理助理。现任易方达基金管理有限公司易方达月月利理财债券型证券投资基金基金经理(自2012年11月26日起任职)、易方达双月利理财债券型证券投资基金基金经理(自2013年1月15日起任职)、易方达天天理财货币市场基金基金经理(自2013年3月4日起任职)、易方达货币市场基金基金经理(自2013年4月22日起任职)、易方达保证金收益货币市场基金基金经理(自2013年4月22日起任职)、易方达易理财货币市场基金基金经理(自2013年10月24日起任职)、易方达财富快线货币市场基金基金经理(自2014年6月17日起任职)、易方达天天增利货币市场基金基金经理(自2014年6月25日起任职)、易方达龙宝货币市场基金基金经理(自2014年9月12日起任职)、易方达现金增利货币市场基金基金经理(自2015年2月5日起任职)、易方达天天发货币市场基金基金经理(自2017年2月16日起任职)、易方达新鑫灵活配置混合型证券投资基金的基金经理助理,2019年11月22日担任易方达恒安定期开放债券型发起式证券投资基金代理基金经理。",易方达易理财货币B,008733,货币型,2019-12-23,至今,293天,1.85%,1.59%,48|646
1,,,,,易方达恒安定开债发起式,005439,定开债券,2019-11-22,至今,324天,2.16%,3.16%,529|688
2,,,,,易方达安源中短债债券A,110053,债券型,2019-05-28,2019-05-28,0天,0.00%,0.00%,1|1734
3,,,,,易方达安瑞短债A,006319,债券型,2018-11-14,至今,1年又332天,6.06%,11.69%,1022|1342
4,,,,,易方达安瑞短债C,006320,债券型,2018-11-14,至今,1年又332天,5.71%,11.69%,1099|1342
5,,,,,易方达现金增利货币C,005097,货币型,2018-03-08,至今,2年又218天,8.50%,6.97%,5|637
6,,,,,易方达天天理财货币C,005122,货币型,2017-10-23,至今,2年又354天,8.87%,8.65%,279|633
7,,,,,易方达掌柜季季盈理财债券B,005099,理财型,2017-09-05,至今,3年又37天,11.19%,10.21%,1|27
8,,,,,易方达掌柜季季盈理财债券C,005100,理财型,2017-09-05,至今,3年又37天,11.16%,10.28%,2|26
9,,,,,易方达龙宝货币C,005098,货币型,2017-08-29,至今,3年又44天,10.21%,9.30%,77|613
10,,,,,易方达月月利理财债券C,005101,理财型,2017-08-29,至今,3年又44天,10.59%,10.33%,11|25
11,,,,,易方达掌柜季季盈理财债券A,000833,理财型,2017-06-15,至今,3年又119天,11.94%,11.24%,4|21
12,,,,,易方达天天发货币A,000829,货币型,2017-02-16,至今,3年又238天,11.71%,11.50%,234|535
13,,,,,易方达天天发货币B,000830,货币型,2017-02-16,至今,3年又238天,12.70%,11.50%,46|535
14,,,,,易方达现金增利货币A,000620,货币型,2015-02-05,至今,5年又250天,20.43%,17.93%,27|306
15,,,,,易方达现金增利货币B,000621,货币型,2015-02-05,至今,5年又250天,22.08%,17.93%,2|306
16,,,,,易方达财富快线货币Y,000920,货币型,2014-12-03,至今,5年又314天,20.83%,19.26%,47|283
17,,,,,易方达货币E,511800,货币型,2014-11-24,至今,5年又323天,17.17%,19.34%,255|279
18,,,,,易方达龙宝货币A,000789,货币型,2014-09-12,至今,6年又31天,21.16%,20.30%,91|245
19,,,,,易方达龙宝货币B,000790,货币型,2014-09-12,至今,6年又31天,22.94%,20.30%,14|245
20,,,,,易方达天天增利货币A,000704,货币型,2014-06-25,至今,6年又110天,22.27%,21.15%,83|219
21,,,,,易方达天天增利货币B,000705,货币型,2014-06-25,至今,6年又110天,24.12%,21.15%,12|219
22,,,,,易方达财富快线货币A,000647,货币型,2014-06-17,至今,6年又118天,23.17%,21.28%,42|213
23,,,,,易方达财富快线货币B,000648,货币型,2014-06-17,至今,6年又118天,25.04%,21.28%,2|213
24,,,,,易方达易理财货币A,000359,货币型,2013-10-24,至今,6年又354天,28.42%,24.74%,6|147
25,,,,,易方达货币A,110006,货币型,2013-04-22,至今,7年又174天,26.03%,27.46%,97|128
26,,,,,易方达货币B,110016,货币型,2013-04-22,至今,7年又174天,28.31%,27.46%,52|128
27,,,,,易方达保证金货币A,159001,货币型,2013-04-22,至今,7年又174天,24.33%,27.46%,115|128
28,,,,,易方达保证金货币B,159002,货币型,2013-04-22,至今,7年又174天,27.35%,27.46%,71|128
29,,,,,易方达天天理财货币A,000009,货币型,2013-03-04,至今,7年又223天,30.13%,27.85%,25|124
30,,,,,易方达天天理财货币B,000010,货币型,2013-03-04,至今,7年又223天,32.51%,27.85%,2|124
31,,,,,易方达天天理财货币R,000013,货币型,2013-03-04,至今,7年又223天,32.61%,27.85%,1|124
32,,,,,易方达安源中短债债券C,110052,债券型,2013-01-15,2019-05-28,6年又134天,0.03%,0.00%,1|1734
33,,,,,易方达安源中短债债券A,110053,债券型,2013-01-15,2019-05-28,6年又134天,0.03%,0.00%,1|1734
34,,,,,易方达月月利理财债券A,110050,理财型,2012-11-26,至今,7年又321天,35.00%,34.03%,3|10
35,,,,,易方达月月利理财债券B,110051,理财型,2012-11-26,至今,7年又321天,37.81%,34.03%,1|10
