,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,程洲,2013-12-17,无,"程洲先生:硕士研究生,CFA。曾任职于申银万国证券研究所。2004年4月加盟国泰基金管理有限公司,历任高级策略分析师、基金经理助理,2008年4月至2014年3月任国泰金马稳健回报证券投资基金的基金经理,2009年12月至2012年12月任金泰证券投资基金的基金经理,2010年2月至2011年12月任国泰估值优势可分离交易股票型证券投资基金的基金经理,2012年12月至2017年1月任国泰金泰平衡混合型证券投资基金(由金泰证券投资基金转型而来)的基金经理,2013年12月起兼任国泰聚信价值优势灵活配置混合型证券投资基金的基金经理,2015年1月起兼任国泰金牛创新成长混合型证券投资基金(原国泰金牛创新成长股票型证券投资基金)的基金经理,2017年3月31日至2020年7月24日担任国泰民丰回报定期开放灵活配置混合型证券投资基金的基金经理,2017年6月起兼任国泰大农业股票型证券投资基金的基金经理,2017年11月起兼任国泰聚优价值灵活配置混合型证券投资基金的基金经理,2018年3月起兼任国泰聚利价值定期开放灵活配置混合型证券投资基金的基金经理,2019年5月31日至2020年7月24日担任国泰鑫策略价值灵活配置混合型证券投资基金的基金经理,2019年11月起兼任国泰鑫睿混合型证券投资基金的基金经理,2020年1月起兼任国泰鑫利一年持有期混合型证券投资基金基金经理。2020年5月29日担任国泰大制造两年持有期混合型证券投资基金基金经理。",国泰大制造两年持有期混合,008415,混合型,2020-05-29,至今,135天,9.89%,20.89%,2711|3608
1,,,,,国泰鑫利一年持有期混合A,008666,混合型,2020-01-21,至今,264天,6.07%,26.31%,2875|3145
2,,,,,国泰鑫利一年持有期混合C,008667,混合型,2020-01-21,至今,264天,5.62%,26.31%,2898|3145
3,,,,,国泰鑫睿混合,007835,混合型,2019-11-13,至今,333天,74.46%,37.27%,148|3062
4,,,,,国泰鑫策略价值混合,002197,混合型,2019-05-31,2020-07-24,1年又55天,31.96%,47.89%,1865|3086
5,,,,,国泰聚利价值定开混合,005746,混合型,2018-03-27,至今,2年又199天,27.20%,48.79%,1669|2423
6,,,,,国泰聚优价值灵活配置混合A,005244,混合型,2017-11-15,至今,2年又331天,71.89%,45.72%,415|2189
7,,,,,国泰聚优价值灵活配置混合C,005245,混合型,2017-11-15,至今,2年又331天,69.39%,45.72%,457|2189
8,,,,,国泰大农业股票,001579,股票型,2017-06-15,至今,3年又119天,141.70%,53.30%,32|696
9,,,,,国泰民丰回报定开混合,003955,混合型,2017-03-31,2020-07-24,3年又116天,125.05%,52.59%,103|2063
10,,,,,国泰金泰灵活配置混合C,519022,混合型,2015-11-17,2017-01-24,1年又69天,-2.01%,-7.03%,536|1226
11,,,,,国泰金牛创新成长混合,020010,混合型,2015-01-26,至今,5年又260天,153.05%,108.10%,177|757
12,,,,,国泰聚信价值优势混合A,000362,混合型,2013-12-17,至今,6年又300天,364.45%,179.95%,26|619
13,,,,,国泰聚信价值优势混合C,000363,混合型,2013-12-17,至今,6年又300天,366.53%,179.95%,25|619
14,,,,,国泰金泰灵活配置混合A,519020,混合型,2012-12-24,2017-01-24,4年又32天,18.05%,65.58%,479|543
15,,,,,国泰优先,150010,股票型,2010-02-10,2011-12-23,1年又316天,10.60%,-21.86%,1|59
16,,,,,国泰进取,150011,股票型,2010-02-10,2011-12-23,1年又316天,-37.00%,-21.86%,59|59
17,,,,,国泰估值优势混合(LOF),160212,混合型,2010-02-10,2011-12-23,1年又316天,-13.20%,-13.07%,161|335
18,,,,,基金金泰,500001,封闭式,2009-12-15,2012-12-24,3年又10天,-7.99%,-15.15%,4|25
19,,,,,国泰金马稳健混合,020005,混合型,2008-04-03,2014-03-17,5年又349天,-21.08%,1.88%,178|220
