,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,陈威霖,2018-05-30,无,"陈威霖女士:硕士研究生,曾担任格兰达技术(深圳)有限公司研发部行政专员,平安利顺货币经纪公司债券市场部债券经纪人。2013年6月加入景顺长城基金管理有限公司,历任交易管理部交易员、固定收益部信用研究员,自2016年4月起担任固定收益部基金经理。2017年12月26日至2020年5月11日担任景顺长城景泰稳利定期开放债券型证券投资基金基金经理。",景顺长城景泰稳利定开债C,006065,定开债券,2018-06-11,2020-05-11,1年又335天,10.90%,12.50%,97|144
1,,,,,景顺长城景益货币A,000380,货币型,2018-05-30,至今,2年又135天,5.91%,6.06%,402|637
2,,,,,景顺长城景益货币B,000381,货币型,2018-05-30,至今,2年又135天,5.88%,6.06%,409|637
3,,,,,景顺长城景泰稳利定开债A,005327,定开债券,2017-12-26,2020-05-11,2年又137天,13.82%,14.69%,67|114
4,,,,,景顺长城景丰货币A,000701,货币型,2016-04-20,至今,4年又175天,13.31%,13.87%,275|389
5,,,,,景顺长城景丰货币B,000707,货币型,2016-04-20,至今,4年又175天,14.53%,13.87%,109|389
6,,,,,景顺货币A,260102,货币型,2016-04-20,至今,4年又175天,12.82%,13.87%,329|389
7,,,,,景顺货币B,260202,货币型,2016-04-20,至今,4年又175天,14.04%,13.87%,185|389
8,米良,2018-11-03,无,"米良先生:经济学硕士。曾担任汇丰银行(中国)有限公司零售银行部管理培训生、零售银行部高级客户经理,汇丰银行深圳分行贸易融资部产品经理,招商银行资产负债部资产管理岗,2018年9月加入我公司,自2018年11月起担任固定收益部基金经理。2020年8月11日担任景顺长城景泰添利一年定期开放债券型发起式证券投资基金基金经理。",景顺长城景泰添利一年定开债,008495,定开债券,2020-08-11,至今,61天,0.34%,0.13%,83|412
9,,,,,景顺长城中短债A,007603,债券型,2020-05-12,至今,152天,-0.56%,0.45%,1145|2209
10,,,,,景顺长城中短债C,007604,债券型,2020-05-12,至今,152天,-0.70%,0.45%,1236|2209
11,,,,,景顺长城景丰货币A,000701,货币型,2018-12-12,至今,1年又304天,4.20%,4.28%,381|637
12,,,,,景顺长城景丰货币B,000707,货币型,2018-12-12,至今,1年又304天,4.66%,4.28%,118|637
13,,,,,景顺长城景益货币A,000380,货币型,2018-11-03,至今,1年又343天,4.45%,4.56%,411|638
14,,,,,景顺长城景益货币B,000381,货币型,2018-11-03,至今,1年又343天,4.31%,4.56%,480|638
15,,,,,景顺货币A,260102,货币型,2018-11-03,至今,1年又343天,4.29%,4.56%,486|638
16,,,,,景顺货币B,260202,货币型,2018-11-03,至今,1年又343天,4.77%,4.56%,239|638
