,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,罗远航,2017-03-16,无,"罗远航先生:清华大学应用经济学硕士,曾任华夏基金管理有限公司,曾任固定收益部研究员、交易管理部交易员、现金管理部研究员等。2017年1月加入华泰柏瑞基金管理有限公司。2017年3月至2018年4月任华泰柏瑞精选回报灵活配置混合型证券投资基金、华泰柏瑞泰利灵活配置混合型证券投资基金、华泰柏瑞锦利灵活配置混合型证券投资基金和华泰柏瑞裕利灵活配置混合型证券投资基金的基金经理。2017年3月至2018年11月任华泰柏瑞爱利灵活配置混合型证券投资基金的基金经理。2017年3月起任华泰柏瑞季季红债券型证券投资基金和华泰柏瑞兴利灵活配置混合型证券投资基金的基金经理,2019年2月起任华泰柏瑞丰汇债券型证券投资基金的基金经理。2019年11月15日至今任华泰柏瑞益通三个月定期开放债券型发起式证券投资基金基金经理。2020年01月20日担任华泰柏瑞益商一年定期开放债券型发起式证券投资基金基金经理。2017年3月24日至2020年7月21日担任华泰柏瑞新利灵活配置混合型证券投资基金基金经理。2020年7月21日担任华泰柏瑞稳健收益债券型证券投资基金基金经理。2017年3月24日至2020年7月21日担任华泰柏瑞享利灵活配置混合型证券投资基金基金经理。2017年3月24日至2020年7月21日担任华泰柏瑞鼎利灵活配置混合型证券投资基金基金经理。",华泰柏瑞锦乾债券,009953,债券型,2020-07-27,至今,76天,,,-|-
1,,,,,华泰柏瑞稳本增利债券B,460003,债券型,2020-07-27,至今,76天,-0.01%,0.39%,1665|2399
2,,,,,华泰柏瑞稳本增利债券A,519519,债券型,2020-07-27,至今,76天,0.05%,0.39%,1519|2399
3,,,,,华泰柏瑞稳健收益债券A,460008,债券型,2020-07-21,至今,82天,0.36%,0.26%,961|2387
4,,,,,华泰柏瑞稳健收益债券C,460108,债券型,2020-07-21,至今,82天,0.27%,0.26%,1152|2387
5,,,,,华泰柏瑞益商一年定开债券,008650,定开债券,2020-01-20,至今,265天,0.70%,1.88%,316|344
6,,,,,华泰柏瑞益通三个月定开债,007958,定开债券,2019-11-15,至今,331天,2.03%,3.38%,594|683
7,,,,,华泰柏瑞丰汇债券A,000421,债券型,2019-02-25,至今,1年又229天,4.59%,8.01%,1019|1527
8,,,,,华泰柏瑞丰汇债券C,000422,债券型,2019-02-25,至今,1年又229天,4.09%,8.01%,1185|1527
9,,,,,华泰柏瑞新利混合A,001247,混合型,2017-03-24,2020-07-21,3年又120天,28.88%,55.18%,1478|2025
10,,,,,华泰柏瑞精选回报混合,001524,混合型,2017-03-24,2018-04-09,1年又16天,4.44%,5.98%,1283|2285
11,,,,,华泰柏瑞爱利混合,001533,混合型,2017-03-24,2018-11-02,1年又223天,6.67%,-6.35%,336|2109
12,,,,,华泰柏瑞新利混合C,002091,混合型,2017-03-24,2020-07-21,3年又120天,28.06%,55.18%,1507|2025
13,,,,,华泰柏瑞享利混合A,003591,混合型,2017-03-24,2020-07-21,3年又120天,32.56%,55.18%,1336|2025
14,,,,,华泰柏瑞享利混合C,003592,混合型,2017-03-24,2020-07-21,3年又120天,31.89%,55.18%,1359|2025
15,,,,,华泰柏瑞兴利混合A,003970,混合型,2017-03-24,2019-03-07,1年又348天,-3.43%,5.75%,1566|2039
16,,,,,华泰柏瑞兴利混合C,003971,混合型,2017-03-24,2019-03-07,1年又348天,-2.86%,5.75%,1536|2039
17,,,,,华泰柏瑞鼎利灵活配置混合A,004010,混合型,2017-03-24,2020-07-21,3年又120天,33.51%,55.18%,1315|2025
18,,,,,华泰柏瑞鼎利灵活配置混合C,004011,混合型,2017-03-24,2020-07-21,3年又120天,36.27%,55.18%,1218|2025
19,,,,,华泰柏瑞裕利混合A,004012,混合型,2017-03-24,2018-04-23,1年又30天,0.78%,4.03%,1564|2274
20,,,,,华泰柏瑞裕利混合C,004013,混合型,2017-03-24,2018-04-23,1年又30天,0.50%,4.03%,1583|2274
21,,,,,华泰柏瑞锦利混合A,004014,混合型,2017-03-24,2018-04-23,1年又30天,0.46%,4.03%,1587|2274
22,,,,,华泰柏瑞锦利混合C,004015,混合型,2017-03-24,2018-04-23,1年又30天,0.01%,4.03%,1625|2274
23,,,,,华泰柏瑞泰利混合A,004113,混合型,2017-03-24,2018-04-23,1年又30天,-0.12%,4.03%,1639|2274
24,,,,,华泰柏瑞泰利混合C,004114,混合型,2017-03-24,2018-04-23,1年又30天,-0.42%,4.03%,1669|2274
25,,,,,华泰柏瑞季季红债券,000186,债券型,2017-03-16,至今,3年又210天,21.05%,17.41%,215|992
26,,,,,华夏收益宝货币A,001929,货币型,2015-10-30,2016-11-25,1年又27天,2.84%,2.57%,191|374
27,,,,,华夏收益宝货币B,001930,货币型,2015-10-30,2016-11-25,1年又27天,3.11%,2.57%,60|374
28,,,,,华夏货币A,288101,货币型,2015-09-01,2016-11-25,1年又86天,3.13%,3.25%,241|343
29,,,,,华夏货币B,288201,货币型,2015-09-01,2016-11-25,1年又86天,3.44%,3.25%,134|343
30,,,,,华夏理财30天债券A,001057,理财型,2014-08-20,2016-11-25,2年又98天,8.42%,8.39%,18|27
31,,,,,华夏理财30天债券B,001058,理财型,2014-08-20,2016-11-25,2年又98天,5.92%,7.20%,27|32
32,,,,,华夏现金宝货币A,001077,货币型,2014-08-20,2016-10-28,2年又70天,6.21%,7.37%,217|234
33,,,,,华夏现金宝货币B,001078,货币型,2014-08-20,2016-10-28,2年又70天,3.07%,7.37%,228|234
