,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,聂曙光,2014-10-29,无,"聂曙光先生:硕士,自2004年8月至2006年3月在南京银行任债券分析师;2006年3月至2009年9月在兴业银行任债券投资经理;2009年9月至2014年5月在中欧基金管理有限公司先后担任研究员、基金经理助理、基金经理、固定收益部总监、固定收益事业部临时负责人等职务,自2014年5月起加入上投摩根基金管理有限公司,先后担任基金经理、债券投资部总监兼资深基金经理,自2014年8月起担任上投摩根纯债债券型证券投资基金基金经理,自2014年10月起担任上投摩根红利回报混合型证券投资基金基金经理,自2014年11月起担任上投摩根纯债丰利债券型证券投资基金基金经理,自2015年1月起同时担任上投摩根稳进回报混合型证券投资基金基金经理,自2015年4月至2018年11月同时担任上投摩根天颐年丰混合型证券投资基金基金经理,自2016年6月3日-2020年1月14日担任上投摩根优信增利债券型证券投资基金基金经理,自2016年8月5日至2020年7月24日担任上投摩根安鑫回报混合型证券投资基金基金经理,自2017年1月至2018年12月同时担任上投摩根安瑞回报混合型证券投资基金基金经理,自2017年4月起同时担任上投摩根安通回报混合型证券投资基金基金经理,自2018年9月-2020年5月13日期间担任上投摩根安裕回报混合型证券投资基金基金经理。2020年8月3日起担任上投摩根瑞盛87个月定期开放债券型证券投资基金基金经理。",上投摩根瑞盛87个月定开债,009895,定开债券,2020-08-03,至今,69天,0.52%,0.23%,55|407
1,,,,,上投摩根岁岁益定开A,004627,定开债券,2019-08-29,至今,1年又44天,1.88%,3.84%,585|633
2,,,,,上投摩根岁岁益定开C,004628,定开债券,2019-08-29,至今,1年又44天,1.41%,3.84%,608|633
3,,,,,上投摩根丰瑞债券A,005366,债券型,2019-08-29,至今,1年又44天,2.39%,5.54%,1448|1803
4,,,,,上投摩根丰瑞债券C,005367,债券型,2019-08-29,至今,1年又44天,2.27%,5.54%,1494|1803
5,,,,,上投安裕回报A,004823,混合型,2018-09-13,2020-05-13,1年又243天,22.95%,37.21%,1639|2642
6,,,,,上投安裕回报C,004824,混合型,2018-09-13,2020-05-13,1年又243天,21.53%,37.21%,1703|2642
7,,,,,上投摩根安通回报混合A,004361,混合型,2017-04-26,至今,3年又169天,21.97%,61.83%,1723|1964
8,,,,,上投摩根安通回报混合C,004362,混合型,2017-04-26,至今,3年又169天,19.44%,61.83%,1767|1964
9,,,,,上投安瑞回报A,003778,混合型,2017-01-25,2018-12-20,1年又329天,0.04%,-4.65%,786|1887
10,,,,,上投安瑞回报C,003779,混合型,2017-01-25,2018-12-20,1年又329天,-1.33%,-4.65%,853|1887
11,,,,,上投摩根岁岁丰定开债券A,003087,定开债券,2016-08-26,2018-09-19,2年又24天,0.40%,3.31%,85|114
12,,,,,上投摩根岁岁丰定开债券C,003088,定开债券,2016-08-26,2018-09-19,2年又24天,-0.40%,3.31%,90|114
13,,,,,上投摩根安鑫回报A,001947,混合型,2016-08-05,2020-07-24,3年又354天,13.85%,58.32%,1459|1591
14,,,,,上投摩根安鑫回报C,002845,混合型,2016-08-05,2020-07-24,3年又354天,11.47%,58.32%,1486|1591
15,,,,,上投摩根优信增利债券A,000616,债券型,2016-06-03,2020-01-14,3年又225天,9.13%,14.32%,539|663
16,,,,,上投摩根优信增利债券C,000617,债券型,2016-06-03,2020-01-14,3年又225天,7.55%,14.32%,577|663
17,,,,,上投摩根红利回报混合C,002436,混合型,2016-02-15,至今,4年又240天,13.20%,81.22%,1244|1295
18,,,,,上投摩根天颐年丰混合C,002437,混合型,2016-02-15,2018-11-23,2年又282天,-0.70%,6.49%,1175|1385
19,,,,,上投摩根天颐年丰混合A,000125,混合型,2015-04-22,2018-11-23,3年又216天,10.81%,-14.93%,144|825
20,,,,,上投摩根稳进回报混合,000887,混合型,2015-01-27,至今,5年又259天,32.59%,107.87%,677|758
21,,,,,上投摩根纯债丰利债券A,000839,债券型,2014-11-18,至今,5年又329天,17.97%,38.24%,437|476
22,,,,,上投摩根纯债丰利债券C,000840,债券型,2014-11-18,至今,5年又329天,16.64%,38.24%,446|476
23,,,,,上投摩根红利回报混合A,000256,混合型,2014-10-29,至今,5年又349天,34.04%,144.45%,688|727
24,,,,,上投摩根纯债债券A,371020,债券型,2014-08-29,至今,6年又45天,35.21%,46.25%,313|472
25,,,,,上投摩根纯债债券B,371120,债券型,2014-08-29,至今,6年又45天,32.15%,46.25%,344|472
26,,,,,中欧信用增利分级债券B,150087,分级杠杆,2012-04-16,2014-01-17,1年又276天,8.30%,5.74%,13|31
27,,,,,中欧信用增利债券(LOF)C,166012,债券型,2012-04-16,2014-01-17,1年又276天,9.11%,4.13%,34|236
28,,,,,中欧信用增利分级债券A,166013,固定收益,2012-04-16,2014-01-17,1年又276天,7.95%,5.74%,14|31
29,,,,,中欧鼎利分级债券A,150039,固定收益,2011-06-16,2014-05-07,2年又326天,12.30%,2.78%,4|8
30,,,,,中欧鼎利分级债券B,150040,分级杠杆,2011-06-16,2014-05-07,2年又326天,1.60%,2.78%,6|8
31,,,,,中欧鼎利债券A,166010,债券型,2011-06-16,2014-05-07,2年又326天,9.10%,9.25%,101|177
32,,,,,中欧增强回报债券(LOF)A,166008,债券型,2010-12-02,2014-05-07,3年又157天,11.11%,8.31%,39|145
33,,,,,中欧稳健收益债券A,166003,债券型,2010-05-11,2011-07-28,1年又78天,3.12%,3.18%,60|124
34,,,,,中欧稳健收益债券C,166004,债券型,2010-05-11,2011-07-28,1年又78天,2.54%,3.18%,67|124
