,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,胡剑,2013-12-17,无,"胡剑先生:中国国籍,经济学硕士。2006年7月加入易方达基金管理有限公司,曾任固定收益部债券研究员、基金经理助理、固定收益研究部负责人、固定收益总部总经理助理。现任易方达基金管理有限公司固定收益投资部总经理、固定收益研究部总经理、基金经理。易方达中债新综合债券指数发起式证券投资基金(LOF)基金经理、易方达纯债债券型证券投资基金基金经理、易方达永旭添利定期开放债券型证券投资基金基金经理、易方达纯债1年定期开放债券型证券投资基金基金经理、易方达裕景添利6个月定期开放债券型证券投资基金基金经理、易方达瑞智灵活配置混合型证券投资基金基金经理、易方达瑞兴灵活配置混合型证券投资基金基金经理、易方达瑞祥灵活配置混合型证券投资基金基金经理、易方达高等级信用债债券型证券投资基金基金经理、易方达瑞祺灵活配置混合型证券投资基金基金经理。现任易方达基金管理有限公司固定收益投资部总经理、固定收益研究部总经理、易方达稳健收益债券型证券投资基金基金经理、易方达信用债债券型证券投资基金基金经理、易方达裕惠回报定期开放式混合型发起式证券投资基金基金经理、易方达瑞财灵活配置混合型证券投资基金基金经理、易方达高等级信用债债券型证券投资基金基金经理、易方达丰惠混合型证券投资基金基金经理(2017年03月24日至2020年06月09日)、易方达瑞富灵活配置混合型证券投资基金基金经理、易方达瑞祺灵活配置混合型证券投资基金基金经理、易方达3年封闭运作战略配售灵活配置混合型证券投资基金(LOF)基金经理、易方达恒利3个月定期开放债券型发起式证券投资基金基金经理(自2019年4月4日起任职)、易方达恒益定期开放债券型发起式证券投资基金基金经理(自2019年7月12日起任职)、易方达岁丰添利债券型证券投资基金基金经理、易方达恒盛3个月定期开放混合型发起式证券投资基金基金经理。2019年11月2日担任易方达富惠纯债债券型证券投资基金基金经理。自2016年2月4日至2019年11月8日任易方达瑞财灵活配置混合型证券投资基金基金经理。2020年3月10日担任易方达中债7-10年期国开行债券指数证券投资基金基金经理。2020年7月9日任职易方达恒惠定期开放债券型发起式证券投资基金基金经理。",易方达恒惠定开债,006112,定开债券,2020-07-09,至今,94天,0.34%,0.50%,286|397
1,,,,,易方达中债7-10年国开债C,009803,债券指数,2020-07-07,至今,96天,-0.37%,0.33%,2030|2352
2,,,,,易方达中债3-5年期国债指数,001512,债券指数,2020-03-10,至今,215天,-1.09%,1.07%,1925|2103
3,,,,,易方达中债7-10年国开债A,003358,债券指数,2020-03-10,至今,215天,-2.21%,1.07%,2045|2103
4,,,,,易方达富惠纯债债券,003214,债券型,2019-11-02,至今,344天,3.53%,4.98%,772|1895
5,,,,,易方达稳健收益债券C,008008,债券型,2019-10-23,至今,354天,7.14%,5.02%,364|1881
6,,,,,易方达恒盛3个月定开混合,007884,混合型,2019-09-06,至今,1年又36天,5.66%,38.56%,2971|3124
7,,,,,易方达恒益定开债券发起式,005124,定开债券,2019-07-12,至今,1年又92天,4.12%,4.76%,327|605
8,,,,,易方达恒利定期开放债券,007104,定开债券,2019-04-04,至今,1年又191天,5.46%,5.88%,274|561
9,,,,,易方达岁丰添利债券(LOF),161115,债券型,2019-01-04,至今,1年又281天,23.24%,10.57%,134|1503
10,,,,,易方达战略配售(LOF),161131,混合型,2018-07-05,至今,2年又99天,10.84%,59.99%,2443|2555
11,,,,,易方达瑞祺灵活配置混合I,001747,混合型,2018-01-29,2019-10-17,1年又261天,12.70%,4.59%,473|2326
12,,,,,易方达瑞祺灵活配置混合E,001748,混合型,2018-01-29,2019-10-17,1年又261天,12.30%,4.59%,496|2326
13,,,,,易方达瑞祥灵活配置混合I,001835,混合型,2018-01-19,2019-07-03,1年又165天,9.40%,-1.05%,311|2396
14,,,,,易方达瑞祥灵活配置混合E,001836,混合型,2018-01-19,2019-07-03,1年又165天,9.50%,-1.05%,307|2396
15,,,,,易方达瑞兴灵活配置混合I,001817,混合型,2017-06-23,2019-07-03,2年又10天,5.50%,7.88%,1263|2130
16,,,,,易方达瑞兴灵活配置混合E,001818,混合型,2017-06-23,2019-07-03,2年又10天,5.10%,7.88%,1283|2130
17,,,,,易方达瑞智灵活配置混合I,001806,混合型,2017-06-21,2019-07-03,2年又12天,2.20%,7.80%,1409|2065
18,,,,,易方达瑞智灵活配置混合E,001807,混合型,2017-06-21,2019-07-03,2年又12天,0.90%,7.80%,1467|2065
19,,,,,易方达瑞富灵活配置混合I,001745,混合型,2017-05-12,至今,3年又153天,30.01%,63.28%,1619|2102
20,,,,,易方达瑞富灵活配置混合E,001746,混合型,2017-05-12,至今,3年又153天,29.88%,63.28%,1622|2102
21,,,,,易方达丰惠混合,002602,混合型,2017-03-24,2020-06-09,3年又78天,5.80%,34.17%,1812|2027
22,,,,,易方达高等级信用债债券A,000147,债券型,2017-03-07,2019-09-18,2年又195天,15.05%,10.82%,128|998
23,,,,,易方达高等级信用债债券C,000148,债券型,2017-03-07,2019-09-18,2年又195天,16.25%,10.82%,88|998
24,,,,,易方达裕景添利6个月定开债,002600,定开债券,2016-04-12,2018-02-10,1年又304天,4.60%,3.01%,27|91
25,,,,,易方达瑞财混合I,001802,混合型,2016-02-04,2019-11-08,3年又278天,24.63%,28.42%,633|1309
26,,,,,易方达瑞财混合E,001803,混合型,2016-02-04,2019-11-08,3年又278天,23.69%,28.42%,653|1309
27,,,,,易方达裕惠定开混合发起式,000436,混合型,2013-12-17,至今,6年又300天,112.95%,179.95%,467|619
