,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,胡振仓,2017-08-08,无,"胡振仓先生:新疆财经学院金融学硕士。自2003年7月至2005年4月在乌鲁木齐商业银行从事债券交易与研究,2006年3月至6月在国联证券公司投资银行部(北京)从事债券交易,2006年7月至2008年3月,在益民基金管理有限公司担任基金经理,2008年4月至2015年6月,在泰达宏利基金管理有限公司担任固定收益部副总经理、基金经理,2015年6月至2017年5月,在泰康资产管理有限公司第三方投资部担任执行总监。2017年6月加入民生加银基金管理有限公司,担任基金经理一职。自2017年8月至今担任民生加银岁岁增利定期开放债券型证券投资基金基金经理;自2017年8月至今担任民生加银鑫升纯债债券型证券投资基金基金经理;自2018年6月至今担任民生加银恒益纯债债券型证券投资基金基金经理;自2018年9月至今担任民生加银平稳增利定期开放债券型证券投资基金基金经理:自2017年11月至2018年7月担任民生加银鑫泰纯债债券型证券投资基金基金经理。自2020年03月02日担任民生加银丰鑫债券型证券投资基金基金经理。2020年4月23日起担任民生加银瑞夏一年定期开放债券型发起式证券投资基金基金经理。2020年4月29日任民生加银睿智一年定期开放债券型发起式证券投资基金基金经理。2020年8月21日起任民生加银瑞盈纯债一年定期开放债券型发起式证券投资基金基金经理。",民生瑞盈一年定开债发起式,008825,定开债券,2020-08-21,至今,51天,0.26%,0.07%,245|955
1,,,,,民生睿智一年定开债,009295,定开债券,2020-04-29,至今,165天,-3.62%,-1.02%,351|355
2,,,,,民生加银瑞夏一年定开债券发起式,008756,定开债券,2020-04-23,至今,171天,-1.33%,-0.91%,227|371
3,,,,,民生加银丰鑫债券,690012,债券型,2020-03-03,至今,222天,0.50%,1.24%,1145|2092
4,,,,,民生加银聚鑫三年定开债,007736,定开债券,2019-09-04,至今,1年又38天,3.12%,3.52%,191|309
5,,,,,民生加银恒裕债券,007088,债券型,2019-05-23,至今,1年又142天,2.83%,7.72%,1563|1683
6,,,,,民生加银平稳增利A,166902,定开债券,2018-09-10,至今,2年又32天,6.62%,9.90%,173|195
7,,,,,民生加银平稳增利C,166903,定开债券,2018-09-10,至今,2年又32天,5.74%,9.90%,183|195
8,,,,,民生加银恒益纯债A,005951,债券型,2018-06-14,至今,2年又120天,8.76%,13.72%,933|1208
9,,,,,民生加银恒益纯债C,005952,债券型,2018-06-14,至今,2年又120天,14.50%,13.72%,365|1208
10,,,,,民生加银鑫泰纯债债券A,004541,债券型,2017-11-16,2018-06-05,201天,1.46%,0.66%,151|1282
11,,,,,民生加银鑫泰纯债债券C,004542,债券型,2017-11-16,2018-06-05,201天,5.89%,1.08%,19|1230
12,,,,,民生加银鑫升纯债,004124,债券型,2017-08-31,至今,3年又42天,14.12%,15.41%,563|1095
13,,,,,民生加银岁岁增利债券A,000137,定开债券,2017-08-08,至今,3年又65天,17.83%,15.01%,74|315
14,,,,,民生加银岁岁增利债券C,000138,定开债券,2017-08-08,至今,3年又65天,16.34%,15.01%,107|315
15,,,,,民生加银岁岁增利债券D,001785,定开债券,2017-08-08,至今,3年又65天,0.10%,0.31%,347|420
16,,,,,泰达宏利创益混合A,001418,混合型,2015-06-16,2015-06-30,14天,0.10%,-12.05%,113|995
17,,,,,泰达宏利新思路混合A,001419,混合型,2015-06-16,2015-06-30,14天,0.00%,-12.05%,136|995
18,,,,,泰达宏利新起点混合A,001254,混合型,2015-05-14,2015-06-16,33天,0.50%,12.06%,856|891
19,,,,,泰达宏利创盈混合A,001141,混合型,2015-03-30,2015-06-11,73天,2.60%,42.35%,777|809
20,,,,,泰达宏利创盈混合B,001142,混合型,2015-03-30,2015-06-11,73天,2.50%,42.35%,780|809
21,,,,,泰达宏利风险预算混合,162205,混合型,2015-03-13,2015-06-16,95天,3.26%,50.60%,792|811
22,,,,,泰达淘利债券A,000319,债券型,2014-08-06,2015-06-16,314天,12.40%,27.32%,342|519
23,,,,,泰达淘利债券C,000320,债券型,2014-08-06,2015-06-16,314天,12.30%,27.32%,343|519
24,,,,,泰达宏利货币B,000700,货币型,2014-08-06,2015-06-11,309天,3.95%,3.65%,59|235
25,,,,,泰达宏利宏达混合A,000507,混合型,2014-03-05,2015-06-16,1年又103天,15.20%,113.06%,631|647
26,,,,,泰达宏利宏达混合B,000508,混合型,2014-03-05,2015-06-16,1年又103天,14.50%,113.06%,632|647
27,,,,,泰达信用合利债券A,000026,定开债券,2013-03-19,2015-06-11,2年又84天,31.93%,19.61%,2|17
28,,,,,泰达信用合利债券B,000027,定开债券,2013-03-19,2015-06-11,2年又84天,31.19%,19.61%,3|17
29,,,,,泰达宏利聚利A,150034,固定收益,2011-05-13,2015-06-11,4年又30天,18.80%,42.98%,6|8
30,,,,,泰达宏利聚利B,150035,分级杠杆,2011-05-13,2015-06-11,4年又30天,130.80%,42.98%,1|8
31,,,,,泰达宏利聚利债券(LOF),162215,债券型,2011-05-13,2015-06-11,4年又30天,52.40%,45.15%,54|176
32,,,,,泰达宏利货币A,162206,货币型,2008-08-09,2015-06-11,6年又307天,24.69%,25.36%,35|50
33,,,,,益民货币,560001,货币型,2006-11-17,2008-04-07,1年又142天,4.58%,4.42%,18|48
