,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,胡昕炜,2016-04-08,无,"胡昕炜先生:国籍:中国。学历:清华大学工学硕士。相关业务资格:证券投资基金从业资格。从业经历:2011年加入汇添富基金任行业分析师。2016年4月8日至今任汇添富消费行业混合基金的基金经理,2017年7月28日至2019年8月28日任添富添福吉祥混合基金的基金经理,2017年9月20日至2019年8月28日任添富盈润混合基金的基金经理,2018年1月19日至今任添富价值创造定开混合基金的基金经理,2018年9月21日至2020年6月30日任添富全球消费混合(QDII)的基金经理,2018年12月21日至今任添富消费升级混合基金的基金经理,2019年9月17日至今任添富民安增益定开混合基金的基金经理。2019年11月5日任汇添富稳健增长混合型证券投资基金的基金经理。2020年7月8日担任汇添富中盘价值精选混合型证券投资基金基金经理。",汇添富中盘价值精选混合A,009548,混合型,2020-07-08,至今,95天,3.45%,4.33%,1954|3506
1,,,,,汇添富中盘价值精选混合C,009549,混合型,2020-07-08,至今,95天,3.30%,4.33%,2002|3506
2,,,,,汇添富稳健增长混合A,008025,混合型,2019-11-05,至今,341天,16.61%,35.63%,2283|3057
3,,,,,汇添富稳健增长混合C,008026,混合型,2019-11-05,至今,341天,16.17%,35.63%,2310|3057
4,,,,,添富民安增益定开混合A,005329,混合型,2019-09-17,至今,1年又25天,19.83%,39.99%,2168|3010
5,,,,,添富民安增益定开混合C,005330,混合型,2019-09-17,至今,1年又25天,19.32%,39.99%,2195|3010
6,,,,,汇添富消费升级混合,006408,混合型,2018-12-21,至今,1年又295天,121.24%,74.91%,543|2823
7,,,,,汇添富全球消费混合人民币A,006308,QDII,2018-09-21,2020-06-30,1年又283天,106.90%,10.40%,2|211
8,,,,,汇添富全球消费混合人民币C,006309,QDII,2018-09-21,2020-06-30,1年又283天,102.98%,10.40%,3|211
9,,,,,汇添富全球消费混合美元现汇,006310,QDII,2018-09-21,2020-06-30,1年又283天,99.56%,10.40%,4|211
10,,,,,添富价值创造定开混合,005379,混合型,2018-01-19,至今,2年又266天,99.45%,44.55%,158|2410
11,,,,,汇添富盈润混合A,004946,混合型,2017-09-20,2019-08-28,1年又342天,17.76%,6.58%,383|2225
12,,,,,汇添富盈润混合C,004947,混合型,2017-09-20,2019-08-28,1年又342天,16.30%,6.58%,442|2225
13,,,,,添富添福吉祥混合,004774,混合型,2017-07-28,2019-08-28,2年又31天,12.93%,9.80%,768|2159
14,,,,,汇添富消费行业混合,000083,混合型,2016-04-08,至今,4年又187天,235.20%,72.66%,10|1428
