,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,艾小军,2016-04-13,无,"艾小军先生:硕士研究生,2001年5月至2006年9月在华安基金管理有限公司任量化分析师;2006年9月至2007年8月在汇丰晋信基金管理有限公司任应用分析师;2007年9月至2007年10月在平安资产管理有限公司任量化分析师;2007年10月加入国泰基金管理有限公司,历任金融工程分析师、高级产品经理和基金经理助理。2014年1月起任国泰黄金交易型开放式证券投资基金、上证180金融交易型开放式指数证券投资基金、国泰上证180金融交易型开放式指数证券投资基金联接基金的基金经理,2015年3月起兼任国泰深证TMT50指数分级证券投资基金的基金经理,2015年4月起兼任国泰沪深300指数证券投资基金的基金经理,2016年4月起兼任国泰黄金交易型开放式证券投资基金联接基金的基金经理,2016年7月起兼任国泰中证军工交易型开放式指数证券投资基金和国泰中证全指证券公司交易型开放式指数证券投资基金的基金经理,2017年3月至2017年5月任国泰保本混合型证券投资基金的基金经理,2017年3月至2018年12月任国泰策略收益灵活配置混合型证券投资基金的基金经理,2017年3月起兼任国泰国证航天军工指数证券投资基金(LOF)的基金经理,2017年4月起兼任国泰中证申万证券行业指数证券投资基金(LOF)的基金经理,2017年5月起兼任国泰策略价值灵活配置混合型证券投资基金(由国泰保本混合型证券投资基金变更而来)的基金经理,2017年5月至2018年7月任国泰量化收益灵活配置混合型证券投资基金的基金经理,2017年8月起至2019年5月任国泰宁益定期开放灵活配置混合型证券投资基金的基金经理,2018年5月起兼任国泰量化成长优选混合型证券投资基金的基金经理,2018年5月至2019年7月任国泰量化价值精选混合型证券投资基金的基金经理,2018年8月至2019年4月任国泰结构转型灵活配置混合型证券投资基金的基金经理,2018年12月至2019年3月任国泰量化策略收益混合型证券投资基金(由国泰策略收益灵活配置混合型证券投资基金变更而来)的基金经理,2019年4月至2019年11月22日兼任国泰沪深300指数增强型证券投资基金(由国泰结构转型灵活配置混合型证券投资基金转型而来)的基金经理,2019年5月起兼任国泰CES半导体行业交易型开放式指数证券投资基金基金经理,2019年7月起兼任上证5年期国债交易型开放式指数证券投资基金、上证10年期国债交易型开放式指数证券投资基金和国泰中证计算机主题交易型开放式指数证券投资基金的基金经理。2017年7月起任投资总监(量化)、金融工程总监,2019年5月至2019年11月22日担任国泰中证500指数增强型证券投资基金(由国泰宁益定期开放灵活配置混合型证券投资基金变更注册而来)的基金经理。",国泰中证全指通信设备ETF联接A,007817,联接基金,2019-09-03,至今,1年又39天,12.95%,38.88%,1078|1220
1,,,,,国泰中证全指通信设备ETF联接C,007818,联接基金,2019-09-03,至今,1年又39天,12.47%,38.88%,1086|1220
2,,,,,国泰中证全指通信设备ETF,515880,ETF-场内,2019-08-16,至今,1年又57天,16.04%,46.11%,1076|1224
3,,,,,国泰中证计算机ETF,512720,ETF-场内,2019-07-11,至今,1年又93天,46.50%,47.26%,525|1173
4,,,,,国泰上证5年期国债ETF,511010,ETF-场内,2019-07-09,至今,1年又95天,2.77%,6.79%,1486|1727
5,,,,,国泰上证10年期国债ETF,511260,ETF-场内,2019-07-09,至今,1年又95天,2.67%,6.79%,1517|1727
6,,,,,国泰CES半导体芯片ETF,512760,ETF-场内,2019-05-16,至今,1年又149天,128.32%,48.08%,16|1130
7,,,,,国泰沪深300指数增强A,000512,股票指数,2018-08-09,2019-11-22,1年又105天,5.11%,14.06%,725|971
8,,,,,国泰沪深300指数增强C,002063,股票指数,2018-08-09,2019-11-22,1年又105天,5.21%,14.06%,723|971
9,,,,,国泰量化价值精选混合A,005115,混合型,2018-05-14,2019-07-31,1年又78天,7.53%,2.27%,628|2519
