,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,苏卿云,2017-10-11,无,"苏卿云先生:厦门大学会计学硕士,伦敦商学院金融硕士。注册金融分析师(CFA)。曾任职于上海证券交易所,从事基金研究发展工作。2016年7月加入华安基金,任职于指数与量化投资事业总部。2016年12月起担任华安日日鑫货币市场基金基金经理。2017年6月至2018年11月,同时担任华安中证定向增发事件指数证券投资基金(LOF)的基金经理。2017年10月起担任华安沪深300指数分级证券投资基金、华安中证细分医药交易型开放式指数证券投资基金及其联接基金的基金经理。2017年12月起担任上证龙头企业交易型开放式指数证券投资基金及其联接基金的基金经理。2018年9月起任华安MSCI中国A股国际交易型开放式指数证券投资基金基金经理。2018年10月起任华安MSCI中国A股国际交易型开放式指数证券投资基金联接基金基金经理。2018年11月起,同时担任华安中证500行业中性低波动交易型开放式指数证券投资基金的基金经理。2019年1月起任华安中证500行业中性低波动交易型开放式指数证券投资基金联接基金基金经理。2019年3月起任华安沪深300行业中性低波动交易型开放式指数证券投资基金基金经理。2019年5月起任华安中债1-3年政策性金融债指数证券投资基金基金经理。2019年7月起任华安中证民企成长交易型开放式指数证券投资基金基金经理。2019年11月13日起担任华安中债7-10年国开行债券指数证券投资基金的基金经理。",华安中债7-10年国开债A,007228,债券指数,2019-11-13,至今,333天,-1.79%,4.89%,1886|1905
1,,,,,华安中债7-10年国开债C,007229,债券指数,2019-11-13,至今,333天,71.14%,4.89%,2|1905
2,,,,,华安中债1-3年政策金融债A,007180,债券指数,2019-05-21,至今,1年又144天,3.74%,7.59%,1324|1679
3,,,,,华安中债1-3年政策金融债C,007181,债券指数,2019-05-21,至今,1年又144天,3.58%,7.59%,1392|1679
4,,,,,华安行业中性低波动ETF,512270,ETF-场内,2019-03-07,至今,1年又219天,6.17%,45.20%,963|1075
5,,,,,华安中证500低波ETF联接A,006129,联接基金,2019-01-15,至今,1年又270天,27.88%,76.66%,921|1031
6,,,,,华安中证500低波ETF联接C,006130,联接基金,2019-01-15,至今,1年又270天,26.50%,76.66%,930|1031
7,,,,,华安中证低波动ETF,512260,ETF-场内,2018-11-30,至今,1年又316天,39.44%,73.92%,852|1027
8,,,,,华安MSCI中国A股联接A,005747,联接基金,2018-10-24,至今,1年又353天,41.98%,77.72%,804|971
9,,,,,华安MSCI中国A股联接C,005748,联接基金,2018-10-24,至今,1年又353天,40.52%,77.72%,811|971
10,,,,,华安MSCI中国ETF,512860,ETF-场内,2018-09-27,至今,2年又15天,54.87%,64.21%,526|956
11,,,,,华安上证龙头ETF联接,040190,联接基金,2017-12-25,至今,2年又291天,5.73%,39.31%,689|781
12,,,,,华安上证龙头ETF,510190,ETF-场内,2017-12-25,至今,2年又291天,6.64%,39.31%,679|781
13,,,,,华安中证细分医药ETF联接A,000373,联接基金,2017-10-11,至今,3年又1天,49.44%,38.29%,214|766
14,,,,,华安中证细分医药ETF联接C,000376,联接基金,2017-10-11,至今,3年又1天,47.78%,38.29%,228|766
15,,,,,华安沪深300指数分级A,150104,固定收益,2017-10-11,2020-06-17,2年又250天,13.99%,-4.75%,53|200
16,,,,,华安沪深300指数分级B,150105,分级杠杆,2017-10-11,2020-06-17,2年又250天,5.24%,-4.75%,121|200
17,,,,,华安沪深300指数分级,160417,股票指数,2017-10-11,2020-06-17,2年又250天,8.80%,15.20%,417|777
18,,,,,华安中证细分医药ETF,512120,ETF-场内,2017-10-11,至今,3年又1天,52.06%,38.29%,194|766
19,,,,,华安创业板50ETF联接A,160422,联接基金,2017-06-26,2018-11-08,1年又135天,-33.77%,-14.84%,700|731
20,,,,,华安日日鑫货币A,040038,货币型,2016-12-19,至今,3年又297天,12.13%,12.07%,241|495
21,,,,,华安日日鑫货币B,040039,货币型,2016-12-19,至今,3年又297天,13.15%,12.07%,58|495
22,,,,,华安日日鑫货币H,511600,货币型,2016-12-19,至今,3年又297天,11.93%,12.07%,288|495
