,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,何旻,2013-11-22,无,"何旻先生:国籍:中国,英国伦敦政治经济学院金融经济学硕士,特许金融分析师(CFA),财务风险经理人(FRM)。曾任国泰基金管理有限公司行业研究员、综合研究小组负责人、基金经理助理,固定收益部负责人;金元比联基金管理有限公司基金经理。2004年10月28日至2006年11月11日担任国泰金龙债券基金的基金经理,2005年10月27日至2006年11月11日担任国泰金象保本基金的基金经理,2006年4月28日至2006年11月11日担任国泰金鹿保本基金的基金经理。2007年8月15日至2010年12月29日担任金元比联宝石动力双利债券基金的基金经理,2008年9月3日至2009年3月10日担任金元比联成长动力混合基金的基金经理,2009年3月29日至2010年12月29日担任金元比联丰利债券基金的基金经理。2011年1月加入汇添富资产管理(香港)有限公司,2012年2月17日至今任汇添富人民币债券基金的基金经理。2012年8月加入汇添富基金管理股份有限公司,2013年11月22日至今任汇添富安心中国债券基金的基金经理,2014年1月21日至2019年8月28日任汇添富6月红定期开放债券基金(原汇添富信用债债券基金)的基金经理,2016年3月11日至2019年8月28日任汇添富盈鑫混合(原汇添富盈鑫保本混合)基金的基金经理,2017年4月20日至今任汇添富美元债债券(QDII)基金的基金经理,2017年7月24日至2019年8月28日任添富添福吉祥混合基金的基金经理,2017年9月6日至2019年8月28日任添富盈润混合基金的基金经理,2017年9月29日至2019年8月28日任汇添富弘安混合基金的基金经理,2018年7月5日至今任添富3年封闭配售混合(LOF)基金的基金经理,2019年4月15日至今任添富中债1-3年国开债基金的基金经理,2019年6月19日至2020年7月8日任汇添富中债1-3年农发债基金的基金经理。2020年1月14日起担任汇添富中债7-10年国开行债券指数证券投资基金的基金经理。",汇添富中债7-10年国开债A,008054,债券指数,2020-01-14,至今,271天,-2.19%,2.62%,2004|2027
1,,,,,汇添富中债7-10年国开债C,008055,债券指数,2020-01-14,至今,271天,-2.27%,2.62%,2005|2027
2,,,,,汇添富中债1-3年农发债A,007289,债券指数,2019-06-19,2020-07-08,1年又20天,3.69%,7.31%,1153|1715
3,,,,,汇添富中债1-3年农发债C,007290,债券指数,2019-06-19,2020-07-08,1年又20天,3.58%,7.31%,1216|1715
4,,,,,汇添富中债1-3年国开债A,007097,债券指数,2019-04-15,至今,1年又180天,4.28%,7.41%,1208|1607
5,,,,,汇添富中债1-3年国开债C,007098,债券指数,2019-04-15,至今,1年又180天,4.10%,7.41%,1290|1607
6,,,,,汇添富战略配售(LOF),501188,混合型,2018-07-05,至今,2年又99天,16.78%,59.99%,2324|2555
7,,,,,汇添富弘安(LOF)A,501041,混合型,2017-09-29,2019-08-28,1年又333天,7.53%,6.00%,1032|2246
8,,,,,汇添富弘安(LOF)C,501042,混合型,2017-09-29,2019-08-28,1年又333天,5.89%,6.00%,1158|2246
9,,,,,汇添富盈润混合A,004946,混合型,2017-09-06,2019-08-28,1年又356天,18.43%,6.60%,351|2139
10,,,,,汇添富盈润混合C,004947,混合型,2017-09-06,2019-08-28,1年又356天,16.95%,6.60%,404|2139
