,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,夏晨曦,2014-07-25,无,"夏晨曦先生:香港科技大学理学硕士,具有基金从业资格。2005年5月加入南方基金,曾担任金融工程研究员、固定收益研究员、风险控制员等职务,现任现金投资部总经理、固定收益投资决策委员会副主席。2008年6月17日至2012年7月20日,任固定收益部投资经理;2013年1月22日至2014年12月15日,任南方理财30天基金经理;2012年7月20日至2015年1月13日,任南方润元基金经理;2014年7月25日至2016年11月17日,任南方薪金宝基金经理;2014年12月5日至2016年11月17日,任南方理财金基金经理;2012年10月19日至2019年10月15日,任南方理财60天基金经理;2014年12月15日至2019年10月15日,任南方收益宝基金经理;2016年2月3日至2019年10月15日,任南方日添益货币基金经理;2017年8月9日至2019年10月15日,任南方天天宝基金经理;2012年8月14日至今,任南方理财14天基金经理;2014年7月25日至今,任南方现金增利、南方现金通基金经理;2016年10月20日至今,任南方天天利基金经理;2018年11月8日至今,任南方1-3年国开债基金经理;2018年12月5日至今,任南方3-5年农发债基金经理;2019年3月15日至今,任南方7-10年国开债基金经理;2020年3月5日至今,任南方0-5年江苏城投债基金经理。2020年04月17日至今任南方中债1-5年国开行债券指数证券投资基金基金经理。2020年08月06日担任南方中债0-2年国开行债券指数证券投资基金基金经理。",南方0-2年国开债A,009615,债券指数,2020-08-06,至今,66天,0.42%,-0.22%,319|2412
1,,,,,南方0-2年国开债C,009616,债券指数,2020-08-06,至今,66天,0.36%,-0.22%,428|2412
2,,,,,南方1-5年国开债A,008256,债券指数,2020-04-17,至今,177天,-0.31%,0.53%,1018|2212
3,,,,,南方1-5年国开债C,008257,债券指数,2020-04-17,至今,177天,-0.39%,0.53%,1051|2212
4,,,,,南方0-5年江苏城投债A,008626,债券指数,2020-03-05,至今,220天,-0.20%,1.01%,1642|2104
5,,,,,南方0-5年江苏城投债C,008627,债券指数,2020-03-05,至今,220天,0.00%,0.00%,1|2135
6,,,,,南方日添益F,007521,货币型,2019-06-05,2019-10-15,132天,0.94%,0.86%,149|644
7,,,,,南方7-10年国开债A,006961,债券指数,2019-03-15,至今,1年又211天,5.81%,7.86%,711|1612
8,,,,,南方7-10年国开债C,006962,债券指数,2019-03-15,至今,1年又211天,5.63%,7.86%,760|1612
9,,,,,南方3-5年农发债A,006493,债券指数,2018-12-05,至今,1年又311天,5.90%,10.98%,974|1376
10,,,,,南方3-5年农发债C,006494,债券指数,2018-12-05,至今,1年又311天,5.72%,10.98%,1024|1376
11,,,,,南方1-3年国开债A,006491,债券指数,2018-11-08,至今,1年又338天,6.12%,11.96%,1038|1338
12,,,,,南方1-3年国开债C,006492,债券指数,2018-11-08,至今,1年又338天,5.88%,11.96%,1092|1338
13,,,,,南方天天利货币E,005194,货币型,2017-09-13,至今,3年又29天,10.46%,9.12%,22|621
14,,,,,南方天天宝货币A,004970,货币型,2017-08-09,2019-10-15,2年又67天,7.06%,7.30%,426|612
15,,,,,南方天天宝货币B,004971,货币型,2017-08-09,2019-10-15,2年又67天,7.61%,7.30%,212|612
16,,,,,南方天天利货币A,003473,货币型,2016-10-20,至今,3年又357天,13.63%,12.50%,53|461
17,,,,,南方天天利货币B,003474,货币型,2016-10-20,至今,3年又357天,14.70%,12.50%,6|461
18,,,,,南方现金增利货币F,002829,货币型,2016-09-21,至今,4年又21天,12.35%,12.67%,286|444
19,,,,,南方现金增利货币E,002828,货币型,2016-05-30,至今,4年又135天,13.22%,13.46%,249|401
20,,,,,南方日添益A,002324,货币型,2016-02-03,2019-10-15,3年又255天,12.53%,12.20%,150|386
21,,,,,南方日添益E,002325,货币型,2016-02-03,2019-10-15,3年又255天,12.08%,11.10%,49|415
22,,,,,南方理财60天债券E,001041,理财型,2015-03-09,2019-10-15,4年又221天,18.06%,17.52%,8|24
23,,,,,南方理财金交易型货币A,000816,货币型,2014-12-05,2016-11-17,1年又348天,5.94%,6.16%,215|293
24,,,,,南方理财金交易型货币H,511810,货币型,2014-12-05,2016-11-17,1年又348天,5.85%,6.16%,223|293
25,,,,,南方现金通A,000493,货币型,2014-07-25,至今,6年又80天,23.58%,21.12%,14|223
26,,,,,南方现金通B,000494,货币型,2014-07-25,至今,6年又80天,23.97%,21.12%,8|223
27,,,,,南方现金通C,000495,货币型,2014-07-25,至今,6年又80天,24.48%,21.12%,1|223
28,,,,,南方薪金宝货币,000687,货币型,2014-07-25,2016-11-17,2年又116天,8.18%,7.82%,100|230
29,,,,,南方现金通E,000719,货币型,2014-07-25,至今,6年又80天,23.11%,21.12%,24|223
30,,,,,南方现金增利货币A,202301,货币型,2014-07-25,至今,6年又80天,21.07%,21.12%,124|223
31,,,,,南方现金增利货币B,202302,货币型,2014-07-25,至今,6年又80天,22.88%,21.12%,32|223
32,,,,,南方收益宝货币A,202307,货币型,2013-01-22,2019-10-15,6年又267天,26.83%,26.02%,44|110
33,,,,,南方收益宝货币B,202308,货币型,2013-01-22,2019-10-15,6年又267天,25.13%,26.02%,77|110
34,,,,,南方理财60天债券A,202305,理财型,2012-10-19,2019-10-15,6年又362天,31.55%,31.54%,6|11
35,,,,,南方理财60天债券B,202306,理财型,2012-10-19,2019-10-15,6年又362天,34.23%,31.54%,1|11
36,,,,,南方理财14天债券A,202303,理财型,2012-08-14,2020-06-16,7年又308天,33.83%,35.74%,3|3
37,,,,,南方理财14天债券B,202304,理财型,2012-08-14,2020-06-16,7年又308天,36.91%,35.74%,1|3
38,,,,,南方润元纯债债券A/B,202108,债券型,2012-07-20,2015-01-13,2年又177天,11.38%,28.02%,231|266
39,,,,,南方润元纯债债券C,202110,债券型,2012-07-20,2015-01-13,2年又177天,10.37%,28.02%,241|266
40,董浩,2015-09-11,无,"董浩先生:南开大学金融学硕士,具有基金从业资格。2010年7月加入南方基金,历任交易管理部债券交易员、固定收益部货币理财类研究员;2014年3月31日至2015年9月11日,任南方现金通基金经理助理;2015年9月11日至2016年8月17日,任南方50债基金经理;2015年9月11日至2018年7月4日,任南方中票基金经理;2017年8月9日至2019年10月15日,任南方天天宝基金经理;2015年9月11日至今,任南方现金通基金经理;2016年2月3日至今,任南方日添益货币基金经理;2016年8月17日至今,任南方10年国债基金经理;2016年11月17日至今,任南方理财60天基金经理;2018年11月8日至今,任南方1-3年国开债基金经理;2018年12月5日至2020年5月22日,任南方3-5年农发债基金经理;2019年3月15日至2020年5月22日任南方7-10年国开债基金经理;2019年5月24日至今,任南方收益宝基金经理;2020年3月5日至今,任南方0-5年江苏城投债基金经理。2020年04月17日至今任南方中债1-5年国开行债券指数证券投资基金基金经理。",南方1-5年国开债A,008256,债券指数,2020-04-17,至今,177天,-0.31%,0.53%,1018|2212
41,,,,,南方1-5年国开债C,008257,债券指数,2020-04-17,至今,177天,-0.39%,0.53%,1051|2212
42,,,,,南方0-5年江苏城投债A,008626,债券指数,2020-03-05,至今,220天,-0.20%,1.01%,1642|2104
43,,,,,南方0-5年江苏城投债C,008627,债券指数,2020-03-05,至今,220天,0.00%,0.00%,1|2135
44,,,,,南方日添益F,007521,货币型,2019-06-05,至今,1年又129天,3.01%,2.94%,303|640
45,,,,,南方收益宝货币A,202307,货币型,2019-05-24,至今,1年又141天,3.17%,3.03%,235|638
46,,,,,南方收益宝货币B,202308,货币型,2019-05-24,至今,1年又141天,3.52%,3.03%,36|638
47,,,,,南方7-10年国开债A,006961,债券指数,2019-03-15,2020-05-22,1年又69天,9.26%,6.55%,146|1632
48,,,,,南方7-10年国开债C,006962,债券指数,2019-03-15,2020-05-22,1年又69天,9.12%,6.55%,154|1632
49,,,,,南方3-5年农发债A,006493,债券指数,2018-12-05,2020-05-22,1年又169天,8.49%,9.30%,566|1394
50,,,,,南方3-5年农发债C,006494,债券指数,2018-12-05,2020-05-22,1年又169天,8.34%,9.30%,600|1394
51,,,,,南方1-3年国开债A,006491,债券指数,2018-11-08,至今,1年又338天,6.12%,11.96%,1038|1338
52,,,,,南方1-3年国开债C,006492,债券指数,2018-11-08,至今,1年又338天,5.88%,11.96%,1092|1338
53,,,,,南方天天宝货币A,004970,货币型,2017-08-09,2019-10-15,2年又67天,7.06%,7.30%,426|612
54,,,,,南方天天宝货币B,004971,货币型,2017-08-09,2019-10-15,2年又67天,7.61%,7.30%,212|612
55,,,,,南方理财60天债券E,001041,理财型,2016-11-17,至今,3年又329天,13.55%,13.32%,7|17
56,,,,,南方理财60天债券A,202305,理财型,2016-11-17,至今,3年又329天,13.33%,13.32%,9|17
57,,,,,南方理财60天债券B,202306,理财型,2016-11-17,至今,3年又329天,14.62%,13.32%,1|17
58,,,,,南方日添益A,002324,货币型,2016-02-03,至今,4年又252天,14.85%,14.49%,160|384
59,,,,,南方日添益E,002325,货币型,2016-02-03,至今,4年又252天,14.51%,13.37%,55|413
60,,,,,南方中债中期票据指数债券A,000022,债券指数,2015-09-11,2018-04-26,2年又228天,2.69%,6.33%,461|565
61,,,,,南方中债中期票据指数债券C,000023,债券指数,2015-09-11,2018-04-26,2年又228天,2.03%,6.33%,475|565
62,,,,,南方现金通A,000493,货币型,2015-09-11,至今,5年又32天,17.36%,15.81%,33|339
63,,,,,南方现金通B,000494,货币型,2015-09-11,至今,5年又32天,17.67%,15.81%,25|339
64,,,,,南方现金通C,000495,货币型,2015-09-11,至今,5年又32天,18.06%,15.81%,13|339
65,,,,,南方现金通E,000719,货币型,2015-09-11,至今,5年又32天,17.00%,15.81%,64|339
66,,,,,南方中债10年期国债A,160123,债券指数,2015-09-11,至今,5年又32天,13.05%,21.25%,449|534
67,,,,,南方中债10年期国债C,160124,债券指数,2015-09-11,至今,5年又32天,10.90%,21.25%,478|534
