,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,董阳阳,2015-01-07,无,"董阳阳先生:美国波士顿学院金融学硕士、工商管理学硕士。曾任中国国际金融有限公司投行业务部经理。2009年8月加入华夏基金管理有限公司,曾任研究员、基金经理助理、投资经理、华夏蓝筹核心混合型证券投资基金(LOF)基金经理(2013年3月11日至2017年2月24日期间)等,现任股票投资部执行总经理,华夏成长证券投资基金基金经理(2015年1月7日起任职)、华夏圆和灵活配置混合型证券投资基金基金经理(2016年12月29日-2020年5月7日)、华夏新机遇灵活配置混合型证券投资基金基金经理(2017年9月8日任职)、华夏磐晟定期开放灵活配置混合型证券投资基金(LOF)基金经理(2018年1月17日起任职)、华夏鼎沛债券型证券投资基金基金经理(2018年6月26日起至2020年5月7日任职)。华夏产业升级混合型证券投资基金基金经理(2018年8月24日至2020年6月18日)。华夏鼎利债券型发起式证券投资基金基金经理(2020年6月23日起任职)。",华夏鼎利债券发起式A,002459,债券型,2020-06-23,至今,110天,7.78%,1.27%,83|2322
1,,,,,华夏鼎利债券发起式C,002460,债券型,2020-06-23,至今,110天,7.72%,1.27%,84|2322
2,,,,,华夏新机遇混合C,008212,混合型,2019-11-15,至今,331天,11.87%,37.00%,2763|3201
3,,,,,华夏产业升级混合,005774,混合型,2018-08-24,2020-06-18,1年又299天,39.27%,39.04%,1165|2678
4,,,,,华夏鼎沛债券A,005886,债券型,2018-06-26,2020-05-07,1年又316天,31.29%,13.41%,25|1242
5,,,,,华夏鼎沛债券C,005887,债券型,2018-06-26,2020-05-07,1年又316天,30.32%,13.41%,34|1242
6,,,,,华夏磐晟混合(LOF),160324,混合型,2018-01-17,至今,2年又268天,84.02%,45.34%,295|2288
7,,,,,华夏新机遇混合A,002411,混合型,2017-09-08,至今,3年又34天,38.85%,51.68%,1184|2229
8,,,,,华夏圆和混合,003300,混合型,2016-12-29,2020-05-07,3年又130天,21.15%,34.85%,1186|1783
9,,,,,华夏成长混合,000001,混合型,2015-01-07,至今,5年又279天,46.57%,118.80%,636|746
10,,,,,华夏蓝筹混合(LOF),160311,混合型,2013-03-11,2017-02-24,3年又351天,65.83%,71.06%,281|549
