,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,蒋文玲,2015-03-10,无,"蒋文玲女士:国籍:中国。学历:上海财经大学经济学硕士。从业经历:曾任汇添富基金债券交易员、债券风控研究员。2012年11月30日至2014年1月7日任浦银安盛基金货币市场基金的基金经理。2014年1月加入汇添富基金,历任金融工程部高级经理、固定收益基金经理助理。2014年4月8日至今任汇添富多元收益债券基金的基金经理助理,2015年3月10日至今任汇添富现金宝货币基金、汇添富优选回报混合基金(原理财21天债券基金)的基金经理,2015年3月10日至2018年5月4日任汇添富理财14天债券基金的基金经理,2016年6月7日至2019年1月25日任汇添富货币基金的基金经理,2016年6月7日至2020年6月4日任实业债债券基金的基金经理,2016年6月7日至2019年1月25日任添富通货币基金的基金经理,2016年6月7日至2018年5月4日任理财30天债券基金、理财60天债券基金的基金经理,2017年4月20日至今任汇添富鑫益定开债基金的基金经理,2017年5月15日至2020年3月23日任添富年年益定开混合基金的基金经理,2017年6月23日至今任添富鑫汇定开债券基金的基金经理,2018年8月2日至今任汇添富睿丰混合(LOF)基金、汇添富新睿精选混合基金的基金经理,2018年12月13日至今任添富短债债券基金的基金经理,2018年12月24日至今任添富丰润中短债基金的基金经理,2019年1月18日至今任汇添富丰利短债基金的基金经理,2019年6月12日至今任汇添富90天短债基金的基金经理。2019年8月28日至今任汇添富稳添利定期开放债券基金的基金经理,2019年9月10日至今任汇添富汇鑫货币基金的基金经理。",汇添富理财7天债券B,472007,债券型,2020-10-30,至今,,,,-|-
1,,,,,汇添富现金宝货币B,009588,货币型,2020-07-02,至今,101天,0.54%,0.48%,176|654
2,,,,,汇添富现金宝货币C,009589,货币型,2020-07-02,至今,101天,0.52%,0.45%,113|657
3,,,,,汇添富汇鑫货币A,007868,货币型,2019-09-10,至今,1年又32天,2.59%,2.41%,3|10
4,,,,,汇添富汇鑫货币B,007869,货币型,2019-09-10,至今,1年又32天,2.74%,2.41%,1|10
5,,,,,汇添富稳添利定开债A,002487,定开债券,2019-08-28,至今,1年又45天,1.96%,3.51%,244|263
6,,,,,汇添富稳添利定开债C,002488,定开债券,2019-08-28,至今,1年又45天,1.52%,3.51%,254|263
7,,,,,汇添富90天短债A,007456,债券型,2019-06-12,至今,1年又122天,4.92%,7.57%,793|1703
8,,,,,汇添富90天短债B,007457,债券型,2019-06-12,至今,1年又122天,4.66%,7.57%,892|1703
9,,,,,汇添富90天短债C,007458,债券型,2019-06-12,至今,1年又122天,4.91%,7.57%,798|1703
10,,,,,汇添富丰利短债债券,006893,债券型,2019-01-18,至今,1年又267天,2.48%,9.90%,1464|1521
