,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,袁媛,2014-04-04,无,"袁媛女士:经济学硕士。曾任职于齐鲁证券北四环营业部,也曾担任中航证券证券投资部投资经理、安信证券资产管理部投资主办等职务。2013年7月加入景顺长城基金管理有限公司,担任固定收益部资深研究员,自2014年4月起担任固定收益部基金经理,现任固定收益部投资副总监兼基金经理。曾于2015年7月至2017年3月管理景顺长城交易型货币市场基金;2016年9月至2018年10月管理景顺长城景盈金利债券型证券投资基金;2015年11月至2018年12月管理景顺长城景颐增利债券型证券投资基金;2014年4月至2019年2月管理景顺长城景益货币市场基金。兼任景顺长城四季金利债券型证券投资基金、景顺长城鑫月薪定期支付债券型证券投资基金、景顺长城景盈双利债券型证券投资基金、景顺长城景颐丰利债券型证券投资基金、景顺长城景泰聚利纯债债券型证券投资基金、景顺长城景泰汇利定期开放债券型证券投资基金、景顺长城中短债债券型证券投资基金和景顺长城景泰纯利债券型证券投资基金基金经理。2020年5月13日不在担任景顺长城景泰鑫利纯债债券型证券投资基金基金经理。2019年5月18日至2020年5月29日任景顺长城景泰丰利纯债债券型证券投资基金基金经理。2019年6月26日至2020年9月11日任景顺长城景泰盈利纯债债券型证券投资基金基金经理。",景顺长城景泰汇利定开债C,008554,定开债券,2019-12-19,至今,297天,2.97%,2.50%,75|311
1,,,,,景顺长城景泰纯利债券,007562,债券型,2019-10-21,至今,356天,1.85%,5.03%,1624|1873
2,,,,,景顺长城中短债A,007603,债券型,2019-08-20,至今,1年又53天,2.63%,5.62%,1311|1789
3,,,,,景顺长城中短债C,007604,债券型,2019-08-20,至今,1年又53天,2.29%,5.62%,1467|1789
4,,,,,景顺长城景泰盈利纯债,007537,债券型,2019-06-26,2020-09-11,1年又78天,4.14%,6.70%,880|1714
5,,,,,景顺长城景泰丰利纯债A,003407,债券型,2019-05-18,2020-05-29,1年又12天,5.59%,6.29%,738|1690
6,,,,,景顺长城景泰丰利纯债C,003408,债券型,2019-05-18,2020-05-29,1年又12天,5.18%,6.29%,925|1690
7,,,,,景顺长城景泰汇利定开债A,003605,定开债券,2019-03-13,至今,1年又213天,6.32%,5.87%,77|222
8,,,,,景顺长城景泰鑫利纯债,006764,债券型,2019-01-21,2020-05-13,1年又113天,2.55%,9.04%,1440|1481
9,,,,,景顺长城景泰聚利纯债,006681,债券型,2018-12-07,至今,1年又309天,5.75%,10.83%,1053|1446
10,,,,,景顺货币A,260102,货币型,2018-01-31,2018-06-04,124天,1.17%,1.37%,618|653
11,,,,,景顺货币B,260202,货币型,2018-01-31,2018-06-04,124天,1.25%,1.37%,556|653
12,,,,,景顺长城景颐丰利债券A,003504,债券型,2017-03-30,至今,3年又196天,13.69%,17.42%,687|1006
13,,,,,景顺长城景颐丰利债券C,003505,债券型,2017-03-30,至今,3年又196天,12.91%,17.42%,744|1006
14,,,,,景顺长城景盈金利债券A,002842,债券型,2016-09-20,2018-08-03,1年又317天,4.48%,2.43%,269|747
15,,,,,景顺长城景盈金利债券C,002843,债券型,2016-09-20,2018-08-03,1年又317天,3.73%,2.43%,335|747
16,,,,,景顺长城景盈双利债券A,002796,债券型,2016-07-19,至今,4年又85天,17.56%,16.48%,249|650
17,,,,,景顺长城景盈双利债券C,002797,债券型,2016-07-19,至今,4年又85天,15.62%,16.48%,331|650
18,,,,,景顺长城景颐增利债券A,001854,债券型,2015-11-03,2018-10-17,2年又349天,-2.90%,4.15%,453|539
19,,,,,景顺长城景颐增利债券C,001855,债券型,2015-11-03,2018-10-17,2年又349天,-4.10%,4.15%,462|539
20,,,,,景顺长城交易型货币,511890,货币型,2015-07-16,2017-03-23,1年又251天,3.90%,4.63%,315|343
21,,,,,景顺长城鑫月薪定期支付债券,000465,定开债券,2014-06-10,至今,6年又125天,34.33%,44.65%,35|43
22,,,,,景顺长城四季金利债券A,000181,债券型,2014-04-04,至今,6年又192天,39.73%,56.70%,329|444
23,,,,,景顺长城四季金利债券C,000182,债券型,2014-04-04,至今,6年又192天,36.52%,56.70%,353|444
24,,,,,景顺长城景益货币A,000380,货币型,2014-04-04,2019-02-21,4年又324天,17.19%,18.34%,149|186
25,,,,,景顺长城景益货币B,000381,货币型,2014-04-04,2019-02-21,4年又324天,18.57%,18.34%,90|186
