,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,裴禹翔,2016-03-29,无,"裴禹翔先生:硕士,具有基金从业资格,曾先后任职于华融湘江银行股份有限公司、浙江浙商证券资产管理有限公司,任投资经理。2015年12月加入诺安基金管理有限公司,任基金经理助理,从事债券投资工作。2016年2月至2017年4月任诺安裕鑫收益两年定期开放债券型证券投资基金基金经理,2016年2月至2018年5月担任诺安天天宝货币市场基金基金经理,2017年8月至2019年9月任诺安永鑫收益一年定期开放债券型证券投资基金基金经理。2016年2月起任诺安增利债券型证券投资基金基金经理,2016年3月起任诺安稳固收益一年定期开放债券型证券投资基金基金经理,2016年8月起任诺安优势行业灵活配置混合型证券投资基金基金经理,2016年9月起任诺安进取回报灵活配置混合型证券投资基金基金经理,2017年8月起任诺安双利债券型发起式证券投资基金基金经理,2018年1月起任诺安圆鼎定期开放债券型发起式证券投资基金基金经理,2018年2月起任诺安鑫享定期开放债券型发起式证券投资基金基金经理,2018年11月起任诺安浙享定期开放债券型发起式证券投资基金基金经理。现拟任诺安瑞康三年定期开放债券型证券投资基金基金经理。2020年9月18日担任诺安精选回报灵活配置混合型证券投资基金基金经理。",诺安精选回报混合,002067,混合型,2020-09-18,至今,23天,0.23%,0.58%,1976|4044
1,,,,,诺安浙享定开债券,005655,定开债券,2018-11-06,至今,1年又340天,8.48%,8.60%,217|515
2,,,,,诺安鑫享定开债发起式,005548,定开债券,2018-02-07,至今,2年又247天,11.09%,13.81%,106|148
3,,,,,诺安圆鼎定开债,005547,定开债券,2018-01-23,至今,2年又262天,15.10%,13.91%,51|142
4,,,,,诺安永鑫收益一年定开债,000510,定开债券,2017-08-30,2019-09-24,2年又25天,9.26%,10.53%,226|339
5,,,,,诺安双利债券发起,320021,债券型,2017-08-30,至今,3年又43天,70.59%,15.41%,5|1094
6,,,,,诺安进取回报混合,001744,混合型,2016-09-27,至今,4年又15天,13.21%,65.17%,1509|1612
7,,,,,诺安优势行业混合A,000538,混合型,2016-08-26,至今,4年又47天,13.06%,64.02%,1529|1631
8,,,,,诺安优势行业混合C,002053,混合型,2016-08-26,至今,4年又47天,13.06%,64.02%,1529|1631
9,,,,,诺安稳固收益一年定开债,000235,定开债券,2016-03-29,至今,4年又197天,15.54%,18.02%,107|155
10,,,,,诺安天天宝A,000559,货币型,2016-02-20,2018-05-30,2年又100天,7.48%,7.87%,305|389
11,,,,,诺安天天宝E,000560,货币型,2016-02-20,2018-05-30,2年又100天,7.94%,7.87%,194|389
12,,,,,诺安天天宝B,000625,货币型,2016-02-20,2018-05-30,2年又100天,8.31%,7.87%,87|389
13,,,,,诺安天天宝C,000818,货币型,2016-02-20,2018-05-30,2年又100天,7.60%,7.87%,274|389
14,,,,,诺安增利债券A,320008,债券型,2016-02-20,至今,4年又235天,18.91%,18.13%,232|576
15,,,,,诺安增利债券B,320009,债券型,2016-02-20,至今,4年又235天,15.97%,18.13%,334|576
16,,,,,诺安裕鑫收益定开债,001020,定开债券,2016-02-06,2017-04-24,1年又78天,-0.31%,1.80%,84|96
