,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,许之彦,2017-12-25,无,"许之彦先生:理学博士,中欧国际工商学院EMBA,CQF(国际数量金融工程师)。曾在广发证券和中山大学经济管理学院博士后流动站从事金融工程工作,2005年加入华安基金管理有限公司,历任研究发展部数量策略分析师、风险管理与金融工程部总经理,2013年6月起担任指数投资部高级总监。2006年11月至2009年9月起任华安国际配置基金基金经理。2008年4月至2012年12月担任华安MSCI中国A股指数增强型证券投资基金的基金经理。2009年9月起同时担任上证180交易型开放式指数证券投资基金、华安上证180交易型开放式指数证券投资基金联接基金的基金经理。2010年11月至2012年12月担任上证龙头企业交易型开放式指数证券投资基金和华安上证龙头企业交易型开放式指数证券投资基金联接基金的基金经理。2011年9月起至2019年3月担任华安深证300指数证券投资基金(LOF)(2019年1月为华安量化多因子混合型证券投资基金(LOF))的基金经理。2013年6月起担任指数投资部高级总监。2013年7月起担任华安易富黄金交易型开放式证券投资基金的基金经理。2013年8月起担任华安易富黄金交易型开放式证券投资基金联接基金的基金经理。2014年11月至2015年12月担任华安中证高分红指数增强型证券投资基金的基金经理。2015年6月起担任华安中证全指证券公司指数分级证券投资基金、华安中证银行指数分级证券投资基金的基金经理。2015年7月起担任华安创业板50指数分级证券投资基金的基金经理。2016年6月起担任华安创业板50交易型开放式指数证券投资基金的基金经理。2017年12月起担任华安MSCI中国A股指数增强型证券投资基金、华安沪深300量化增强证券投资基金的基金经理。2018年11月起担任华安创业板50交易型开放式指数证券投资基金联接基金的基金经理。2019年12月13日任华安沪深300交易型开放式指数证券投资基金基金经理。2020年8月3日担任华安沪深300交易型开放式指数证券投资基金发起式联接基金基金经理。",华安沪深300ETF联接A,008776,联接基金,2020-08-03,至今,69天,-0.77%,-2.10%,609|1591
1,,,,,华安沪深300ETF联接C,008777,联接基金,2020-08-03,至今,69天,-0.80%,-2.10%,615|1591
2,,,,,华安沪深300ETF,515390,ETF-场内,2019-12-13,至今,303天,15.45%,32.61%,1108|1344
3,,,,,华安创业板50ETF联接C,160424,联接基金,2019-05-21,至今,1年又144天,94.52%,51.03%,125|1135
4,,,,,华安创业板50ETF联接A,160422,联接基金,2018-11-08,至今,1年又338天,110.56%,75.14%,182|1001
5,,,,,华安沪深300增强A,000312,股票指数,2017-12-25,至今,2年又291天,43.36%,39.31%,275|781
6,,,,,华安沪深300增强C,000313,股票指数,2017-12-25,至今,2年又291天,41.47%,39.31%,292|781
7,,,,,华安中国A股增强指数,040002,股票指数,2017-12-25,至今,2年又291天,23.83%,39.31%,512|781
8,,,,,华安创业板50ETF,159949,ETF-场内,2016-06-30,至今,4年又104天,7.90%,63.13%,513|562
9,,,,,华安创业板50指数分级A,150303,固定收益,2015-07-06,至今,5年又99天,33.78%,11.47%,20|158
10,,,,,华安创业板50指数分级B,150304,分级杠杆,2015-07-06,至今,5年又99天,-95.65%,11.47%,157|158
11,,,,,华安创业板50指数分级,160420,股票指数,2015-07-06,至今,5年又99天,-50.49%,43.52%,430|431
12,,,,,华安中证银行指数分级A,150299,固定收益,2015-06-09,至今,5年又126天,33.70%,-6.03%,17|126
13,,,,,华安中证银行指数分级B,150300,分级杠杆,2015-06-09,至今,5年又126天,-31.55%,-6.03%,78|126
14,,,,,华安中证全指证券公司分级A,150301,固定收益,2015-06-09,至今,5年又126天,33.79%,-6.03%,16|126
15,,,,,华安中证全指证券公司分级B,150302,分级杠杆,2015-06-09,至今,5年又126天,-87.76%,-6.03%,103|126
16,,,,,华安中证银行指数分级,160418,股票指数,2015-06-09,至今,5年又126天,0.59%,5.16%,187|389
17,,,,,华安中证全指证券公司指数分级,160419,股票指数,2015-06-09,至今,5年又126天,-18.99%,5.16%,279|389
18,,,,,华安中证高分红指数增强A,000820,股票指数,2014-11-14,2015-12-08,1年又24天,-3.92%,44.67%,304|307
19,,,,,华安中证高分红指数增强C,000821,股票指数,2014-11-14,2015-12-08,1年又24天,-6.57%,44.67%,305|307
20,,,,,华安黄金易ETF联接A,000216,联接基金,2013-08-22,至今,7年又52天,47.44%,179.03%,553|587
21,,,,,华安黄金易ETF联接C,000217,联接基金,2013-08-22,至今,7年又52天,46.32%,179.03%,556|587
22,,,,,华安黄金易ETF,518880,ETF-场内,2013-07-18,至今,7年又87天,50.15%,186.81%,544|577
23,,,,,华安量化多因子混合(LOF),160415,混合型,2011-09-02,2019-03-29,7年又210天,6.39%,72.80%,400|444
24,,,,,华安上证龙头ETF联接,040190,联接基金,2010-11-18,2012-12-22,2年又35天,-15.70%,-20.00%,25|88
25,,,,,华安上证龙头ETF,510190,ETF-场内,2010-11-18,2012-12-22,2年又35天,-17.04%,-20.00%,34|88
26,,,,,华安上证180ETF联接,040180,联接基金,2009-09-29,至今,11年又15天,66.74%,110.34%,31|35
27,,,,,华安上证180ETF,510180,ETF-场内,2009-09-05,至今,11年又39天,68.77%,109.19%,25|31
28,,,,,华安中国A股增强指数,040002,股票指数,2008-04-25,2012-12-22,4年又242天,-32.61%,-25.93%,13|25
29,,,,,华安国际配置混合(QDII),040006,QDII,2006-11-02,2011-11-01,5年又0天,-4.60%,-4.60%,1|1
