,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,许娅,2013-12-18,无,"许娅女士:金融学硕士。曾任中国国际金融有限公司助理、国信证券经济研究所销售、中海基金管理有限公司交易员、农银汇理基金管理有限公司债券交易员,农银汇理7天理财债券型基金基金经理助理。2013年12月18日起任农银汇理14天理财债券型证券投资基金基金经理。2014年12月19日起任农银汇理红利日结货币市场基金基金经理。2016年8月起任农银汇理货币市场证券投资基金基金经理。2016年12月起任农银汇理日日鑫货币市场基金基金经理。2017年11月起任农银汇理永益定期开放混合型基金基金经理。2019年11月14日农银汇理金益债券型证券投资基金基金经理。",农银汇理金益债券,008030,债券型,2019-11-14,至今,332天,3.45%,4.82%,722|1910
1,,,,,农银永益定开混合,005061,混合型,2017-11-02,至今,2年又344天,8.13%,47.67%,2066|2184
2,,,,,农银汇理日日鑫交易型货币C,005153,货币型,2017-10-23,至今,2年又354天,9.02%,8.62%,220|634
3,,,,,农银汇理金鸿一年定开债,004906,定开债券,2017-09-06,2018-09-25,1年又19天,4.99%,4.09%,69|168
4,,,,,农银汇理日日鑫交易型货币A,004097,货币型,2016-12-27,至今,3年又289天,12.57%,11.98%,150|515
5,,,,,农银天天利货币A,001991,货币型,2016-11-29,2017-05-15,167天,1.36%,1.51%,413|498
6,,,,,农银天天利货币B,001992,货币型,2016-11-29,2017-05-15,167天,1.47%,1.51%,327|498
7,,,,,农银货币A,660007,货币型,2016-08-12,2017-09-18,1年又37天,3.18%,3.61%,410|447
8,,,,,农银货币B,660107,货币型,2016-08-12,2017-09-18,1年又37天,3.45%,3.61%,334|447
9,,,,,农银红利日结货币A,000907,货币型,2014-12-19,至今,5年又298天,18.98%,19.09%,166|291
10,,,,,农银红利日结货币B,000908,货币型,2014-12-19,至今,5年又298天,20.64%,19.09%,49|291
11,,,,,农银汇理金汇债券,000322,债券型,2013-12-18,至今,6年又299天,0.40%,0.97%,954|2404
12,,,,,农银14天理财债券B,000323,理财型,2013-12-18,2020-06-28,6年又194天,23.41%,23.95%,15|23
