,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,谢东旭,2019-11-01,无,"谢东旭先生:中国,硕士研究生。曾在中信证券股份有限公司从事研究工作。2012年2月加入华安基金管理有限公司后从事量化分析与投资工作。2013年11月起担任华安沪深300量化增强证券投资基金的基金经理助理;2015年1月起担任华安沪深300量化增强证券投资基金基金经理。2018年7月加入国泰基金管理有限公司,任基金经理助理。2019年11月1日任国泰国证新能源汽车指数证券投资基金(LOF)基金经理。2019年11月1日担任国泰中证500指数增强型证券投资基金基金经理。2019年11月1日担任国泰沪深300指数增强型证券投资基金基金经理。2019年11月1日担任国泰国证有色金属行业指数分级证券投资基金基金经理。2020年8月21日担任国泰上证综合交易型开放式指数证券投资基金基金经理。",国泰上证综合交易ETF,510760,ETF-场内,2020-08-21,至今,51天,-3.87%,-0.63%,1391|1644
1,,,,,国泰沪深300指数增强A,000512,股票指数,2019-11-01,至今,345天,32.27%,36.02%,712|1289
2,,,,,国泰沪深300指数增强C,002063,股票指数,2019-11-01,至今,345天,32.16%,36.02%,714|1289
3,,,,,国泰中证500指数增强A,003760,股票指数,2019-11-01,至今,345天,27.58%,36.02%,844|1289
4,,,,,国泰中证500指数增强C,003761,股票指数,2019-11-01,至今,345天,27.55%,36.02%,848|1289
5,,,,,国泰国证有色金属行业分级A,150196,固定收益,2019-11-01,至今,345天,5.16%,35.80%,97|184
6,,,,,国泰国证有色金属行业分级B,150197,分级杠杆,2019-11-01,至今,345天,75.83%,35.80%,35|184
7,,,,,国泰国证有色金属行业指数分级,160221,股票指数,2019-11-01,至今,345天,24.45%,36.02%,926|1289
8,,,,,国泰国证新能源汽车指数,160225,股票指数,2019-11-01,至今,345天,67.28%,36.02%,100|1289
9,,,,,创金合信春来回报A,005799,混合型,2018-06-07,2018-07-09,32天,-0.62%,-6.08%,460|2790
10,,,,,创金合信春来回报C,005800,混合型,2018-06-07,2018-07-09,32天,-0.68%,-6.08%,471|2790
11,,,,,创金合信量化核心混合A,004359,混合型,2017-09-11,2018-07-09,301天,-1.81%,-3.35%,1178|2349
12,,,,,创金合信量化核心混合C,004360,混合型,2017-09-11,2018-07-09,301天,-2.59%,-3.35%,1239|2349
13,,,,,华安沪深300增强A,000312,股票指数,2015-01-21,2017-01-26,2年又6天,7.09%,6.44%,128|313
14,,,,,华安沪深300增强C,000313,股票指数,2015-01-21,2017-01-26,2年又6天,5.92%,6.44%,140|313
