,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,谭昌杰,2015-01-29,无,"谭昌杰先生:中国籍,经济学硕士,持有基金业执业资格证书,2008年7月至2012年7月在广发基金管理有限公司固定收益部任研究员,2014年9月29日至2015年4月30日任广发季季利理财债券型证券投资基金基金经理,2012年9月20日至2015年5月26日任广发双债添利债券基金的基金经理,2013年10月22日起任广发天天红发起式货币市场基金的基金经理,2014年1月10日至2015年7月23日任广发钱袋子货币市场基金的基金经理,2014年1月27日至2015年5月26日任广发集鑫债券型证券投资基金,2014年1月27日至2015年7月23日任广发天天利货币市场基金的基金经理,2015年6月1日至2016年10月24日任广发聚康混合型证券投资基金基金经理、2016年6月17日至2016年11月17日任广发安泽回报灵活配置混合型证券投资基金基金经理,2014年9月29日至2015年4月29日任广发季季利债券基金的基金经理,2015年1月29日起任广发趋势优选灵活配置混合基金的基金经理,2015年3月25日起任广发聚安混合基金的基金经理,2015年4月9日起任广发聚宝混合基金的基金经理,2015年6月1日起任广发聚康混合基金的基金经理。2018年10月至2019年12月23日担任广发景祥纯债债券型证券投资基金基金经理。2016年11月起至2019年12月23日任广发鑫源灵活配置混合型证券投资基金基金经理。2018年10月16日至2019年12月23日任广发汇瑞3个月定期开放债券型发起式证券投资基金基金经理。2018年10月18日至2019年12月23日任广发景源纯债债券型证券投资基金基金经理。2017年10月31日至2019年12月23日任广发聚宝混合型证券投资基金基金经理。2016年2月4日至2020年1月7日担任广发稳安灵活配置混合型证券投资基金基金经理。2015年3月25日起任广发聚安混合型证券投资基金基金经理、2015年4月9日起任广发聚宝混合型证券投资基金基金经理、2018年10月18日至2020年4月20日任广发集瑞债券型证券投资基金基金经理、2018年10月18日至2020年5月28日担任广发景华纯债债券型证券投资基金基金经理、2019年5月21日起任广发汇立定期开放债券型发起式证券投资基金基金经理、2019年5月21日至2020年7月1日任广发聚泰混合型证券投资基金基金经理。2020年03月20日担任广发恒隆一年持有期混合型证券投资基金基金经理。2019年5月21日至2020年5月28日担任广发汇立定期开放债券型发起式证券投资基金基金经理。2012年7月19日至2020年6月12日担任广发理财年年红债券型证券投资基金基金经理。",广发恒隆一年持有混合A,009135,混合型,2020-03-20,至今,205天,5.84%,31.12%,3169|3428
1,,,,,广发恒隆一年持有混合C,009136,混合型,2020-03-20,至今,205天,5.78%,31.12%,3174|3428
2,,,,,广发稳安灵活配置C,008604,混合型,2019-12-17,2020-01-07,21天,2.11%,2.74%,1668|3207
3,,,,,广发趋势优选灵活配置混合C,008127,混合型,2019-10-31,至今,346天,8.55%,38.66%,2843|3058
4,,,,,广发聚宝混合C,007848,混合型,2019-08-29,至今,1年又44天,18.25%,42.66%,2284|2989
5,,,,,广发聚泰混合A,001355,混合型,2019-05-21,2020-07-01,1年又42天,7.66%,39.61%,2725|2918
6,,,,,广发聚泰混合C,001356,混合型,2019-05-21,2020-07-01,1年又42天,7.16%,39.61%,2748|2918
7,,,,,广发汇立定期开放债券,006137,定开债券,2019-05-21,2020-05-28,1年又8天,6.50%,6.09%,209|580
8,,,,,广发集瑞债券A,003037,债券型,2018-10-18,2020-04-20,1年又185天,8.65%,11.64%,880|1335
9,,,,,广发集瑞债券C,003038,债券型,2018-10-18,2020-04-20,1年又185天,8.04%,11.64%,988|1335
10,,,,,广发景华纯债,003819,债券型,2018-10-18,2020-05-28,1年又223天,10.81%,10.82%,396|1335
11,,,,,广发景祥纯债,004020,债券型,2018-10-18,2019-12-23,1年又66天,4.16%,8.02%,1164|1341
12,,,,,广发景源纯债A,004027,债券型,2018-10-18,2019-12-23,1年又66天,6.11%,8.02%,646|1341
13,,,,,广发景源纯债C,004028,债券型,2018-10-18,2019-12-23,1年又66天,5.61%,8.02%,751|1341
14,,,,,广发汇瑞3个月定开债券,003746,定开债券,2018-10-16,2019-12-23,1年又68天,6.55%,6.08%,179|521
15,,,,,广发鑫源混合A,002135,混合型,2016-11-02,2019-12-23,3年又51天,13.90%,19.22%,972|1659
16,,,,,广发鑫源混合C,002136,混合型,2016-11-02,2019-12-23,3年又51天,17.10%,19.22%,843|1659
17,,,,,广发安泽短债债券A,002864,债券型,2016-06-17,2017-12-22,1年又188天,4.33%,2.52%,175|749
18,,,,,广发安泽短债债券C,002865,债券型,2016-06-17,2017-12-22,1年又188天,4.30%,2.52%,177|749
19,,,,,广发稳安灵活配置A,002295,混合型,2016-02-04,2020-01-07,3年又338天,18.85%,36.46%,939|1306
20,,,,,广发天天红货币B,002183,货币型,2015-12-15,2017-10-31,1年又321天,6.22%,5.92%,107|376
21,,,,,广发聚康混合A,001353,混合型,2015-06-01,2016-05-24,358天,24.20%,-26.43%,5|941
22,,,,,广发聚康混合C,001354,混合型,2015-06-01,2016-05-24,358天,4.70%,-26.43%,54|941
23,,,,,广发聚宝混合A,001189,混合型,2015-04-09,至今,5年又187天,43.96%,65.99%,505|804
24,,,,,广发聚安混合A,001115,混合型,2015-03-25,至今,5年又202天,85.58%,74.97%,296|792
25,,,,,广发聚安混合C,001116,混合型,2015-03-25,至今,5年又202天,59.95%,74.97%,443|792
26,,,,,广发天天利货币E,001134,货币型,2015-03-23,2015-07-24,123天,1.25%,1.26%,206|322
27,,,,,广发趋势优选灵活配置混合A,000215,混合型,2015-01-29,至今,5年又257天,69.19%,111.20%,520|759
28,,,,,广发季季利债券A,000702,理财型,2014-09-29,2014-12-30,92天,0.16%,1.02%,49|50
29,,,,,广发季季利债券B,000703,理财型,2014-09-29,2014-12-30,92天,0.16%,1.02%,49|50
30,,,,,广发集鑫债券A,000473,债券型,2014-01-27,2015-05-27,1年又120天,13.64%,37.65%,403|478
31,,,,,广发集鑫债券C,000474,债券型,2014-01-27,2015-05-27,1年又120天,16.21%,37.65%,361|478
32,,,,,广发天天利货币A,000475,货币型,2014-01-27,2015-07-24,1年又178天,6.08%,6.55%,145|173
33,,,,,广发天天利货币B,000476,货币型,2014-01-27,2015-07-24,1年又178天,6.43%,6.55%,113|173
34,,,,,广发钱袋子货币A,000509,货币型,2014-01-10,2015-07-24,1年又195天,7.41%,6.86%,39|163
35,,,,,广发天天红货币A,000389,货币型,2013-10-22,2017-10-31,4年又10天,16.62%,15.37%,28|144
36,,,,,广发双债添利债券A,270044,债券型,2012-09-20,2015-05-27,2年又249天,11.70%,48.44%,254|267
37,,,,,广发双债添利债券C,270045,债券型,2012-09-20,2015-05-27,2年又249天,10.70%,48.44%,259|267
38,,,,,广发理财年年红债券,270043,定开债券,2012-07-19,2020-06-12,7年又330天,32.69%,52.66%,7|7
