,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,张略钊,2017-10-17,无,"张略钊先生:硕士,2014年加入工银瑞信基金管理有限公司,现任固定收益部利率及衍生品策略高级研究员、基金经理。2017年10月17日至今,担任工银瑞信纯债债券型证券投资基金基金经理;2017年10月17日至今,担任工银瑞信国债纯债债券型证券投资基金基金经理;2017年12月22日至2018年6月28日,担任工银瑞信政府债纯债债券型证券投资基金(LOF)基金经理;2018年8月28日至今,担任工银瑞信增强收益债券型证券投资基金基金经理;2020年3月5日至今,担任工银瑞信开元利率债债券型证券投资基金基金经理。",工银瑞益债券A,009792,债券型,2020-09-27,至今,14天,0.05%,0.19%,1609|2551
1,,,,,工银瑞益债券C,009793,债券型,2020-09-27,至今,14天,0.03%,0.19%,1927|2551
2,,,,,工银开元利率债债券A,008539,债券型,2020-03-05,至今,220天,-0.46%,1.01%,1766|2104
3,,,,,工银开元利率债债券C,008540,债券型,2020-03-05,至今,220天,-0.70%,1.01%,1851|2104
4,,,,,工银增强收益债券B,485005,债券型,2018-08-28,至今,2年又45天,8.10%,12.63%,823|1258
5,,,,,工银增强收益债券A,485105,债券型,2018-08-28,至今,2年又45天,9.03%,12.63%,687|1258
6,,,,,工银政府债纯债债券(LOF)C,164822,债券型,2017-12-22,2018-06-28,188天,3.48%,1.16%,143|1244
7,,,,,工银纯债债券A,000402,债券型,2017-10-17,至今,2年又360天,11.76%,14.80%,753|1115
8,,,,,工银纯债债券B,000403,债券型,2017-10-17,至今,2年又360天,10.43%,14.80%,879|1115
9,,,,,工银国债纯债债券A,003342,债券型,2017-10-17,至今,2年又360天,10.56%,14.80%,867|1115
10,,,,,工银国债纯债债券C,003643,债券型,2017-10-17,至今,2年又360天,10.21%,14.80%,897|1115
11,谷衡,2017-12-26,无,"谷衡先生:硕士。先后在华夏银行总行担任交易员,在中信银行总行担任交易员;2012年加入工银瑞信,现任固定收益部副总监;2012年11月13日至今,担任工银瑞信14天理财债券型发起式证券投资基金;2013年1月28日至今,担任工银瑞信60天理财债券型基金基金经理;2013年3月28日至2015年1月19日,担任工银安心场内实时申赎货币基金基金经理;2014年9月30日至今,担任工银瑞信货币市场基金基金经理;2015年7月10日至今,担任工银瑞信财富快线货币市场基金基金经理;2015年12月14日至今,担任工银瑞信添福债券基金基金经理;2016年4月26日至今,担任工银瑞信安盈货币市场基金基金经理;2016年12月7日至今,担任工银瑞信丰益一年定期开放债券型证券投资基金基金经理;2017年2月28日至今,担任工银瑞信丰淳半年定期开放债券型证券投资基金基金经理。2018年11月7日至2020年01月09日担任工银瑞信恒享纯债债券型证券投资基金基金经理。",工银尊益中短债A,009655,债券型,2020-07-20,至今,83天,0.10%,0.43%,1778|2380
12,,,,,工银恒享纯债债券,002832,债券型,2018-11-07,2020-01-09,1年又63天,3.58%,8.41%,1262|1364
13,,,,,工银瑞祥定开发起式债券,005525,定开债券,2018-06-15,2019-08-14,1年又60天,8.07%,7.55%,87|208
14,,,,,工银7天理财债券B,485018,债券型,2018-06-15,至今,2年又119天,1.67%,1.15%,583|2100
15,,,,,工银7天理财债券A,485118,债券型,2018-06-15,至今,2年又119天,1.50%,1.15%,643|2100
16,,,,,工银添利债券B,485007,债券型,2018-02-28,至今,2年又226天,13.32%,14.30%,515|1155
17,,,,,工银添利债券A,485107,债券型,2018-02-28,至今,2年又226天,14.37%,14.30%,429|1155
18,,,,,工银纯债债券A,000402,债券型,2017-12-26,至今,2年又290天,14.32%,15.21%,509|1137
19,,,,,工银纯债债券B,000403,债券型,2017-12-26,至今,2年又290天,13.09%,15.21%,642|1137
20,,,,,工银丰实三年定开债券,003931,定开债券,2017-06-12,2018-11-30,1年又171天,6.35%,7.17%,97|147
21,,,,,工银丰淳半年定开债券,004032,定开债券,2017-02-28,2019-01-24,1年又330天,7.49%,8.61%,87|132
22,,,,,工银丰益一年定开债券,003789,定开债券,2016-12-07,2018-03-29,1年又112天,3.68%,2.03%,34|118
23,,,,,工银安盈货币A,002679,货币型,2016-04-26,2018-04-09,1年又348天,7.10%,6.79%,104|397
24,,,,,工银安盈货币B,002680,货币型,2016-04-26,2018-04-09,1年又348天,7.60%,6.79%,17|397
25,,,,,工银财富货币B,002722,货币型,2016-04-26,2018-02-28,1年又308天,6.48%,6.26%,133|404
