,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,张弘弢,2009-07-10,无,"张弘弢先生:硕士。2000年4月加入华夏基金管理有限公司,曾任研究发展部总经理、数量投资部副总经理、上证能源交易型开放式指数发起式证券投资基金基金经理(2013年3月28日至2016年3月28日期间)、恒生交易型开放式指数证券投资基金基金经理(2012年8月9日至2017年11月10日期间)、恒生交易型开放式指数证券投资基金联接基金基金经理(2012年8月21日至2017年11月10日期间)、华夏沪港通恒生交易型开放式指数证券投资基金基金经理(2014年12月23日至2017年11月10日期间)、华夏沪港通恒生交易型开放式指数证券投资基金联接基金基金经理(2015年1月13日至2017年11月10日期间)、MSCI中国A股交易型开放式指数证券投资基金基金经理(2015年2月12日至2017年11月10日期间)、MSCI中国A股交易型开放式指数证券投资基金联接基金基金经理(2015年2月12日至2017年11月10日期间)、华夏睿磐泰利六个月定期开放混合型证券投资基金基金经理(2017年12月27日至2019年2月26日期间)等,现任数量投资部董事总经理,华夏沪深300交易型开放式指数证券投资基金联接基金基金经理(2009年7月10日起任职)、华夏沪深300交易型开放式指数证券投资基金基金经理(2012年12月25日起任职)、上证医药卫生交易型开放式指数发起式证券投资基金基金经理(2013年3月28日起任职)、华夏网购精选灵活配置混合型证券投资基金基金经理(2016年11月2日起任职)、上证50交易型开放式指数证券投资基金基金经理(2016年11月18日起任职)、华夏鼎融债券型证券投资基金基金经理(2016年12月29日起任职)、华夏睿磐泰盛六个月定期开放混合型证券投资基金基金经理(2017年3月15日起任职)、华夏睿磐泰兴混合型证券投资基金基金经理(2017年7月14日起任职)、华夏睿磐泰茂混合型证券投资基金基金经理(2017年12月6日起任职)、华夏睿磐泰荣混合型证券投资基金基金经理(2017年12月27日起任职)、华夏睿磐泰利混合型证券投资基金基金经理(2019年2月27日起任职)。2020年3月25日任职华夏中证500指数增强型证券投资基金基金经理。",华夏上证科创板50成份ETF,588000,ETF-场内,2020-09-28,至今,13天,0.81%,3.11%,1487|1643
1,,,,,华夏中证500指数增强A,007994,股票指数,2020-03-25,至今,200天,37.53%,31.60%,414|1445
2,,,,,华夏中证500指数增强C,007995,股票指数,2020-03-25,至今,200天,37.24%,31.60%,430|1445
3,,,,,华夏网购精选混合C,007939,混合型,2019-09-11,至今,1年又31天,22.76%,39.11%,2005|2987
4,,,,,华夏沪深300ETF联接C,005658,联接基金,2018-02-02,至今,2年又252天,13.92%,37.98%,631|829
5,,,,,华夏睿磐泰荣混合A,005140,混合型,2017-12-27,至今,2年又289天,24.21%,48.95%,1686|2246
6,,,,,华夏睿磐泰荣混合C,005141,混合型,2017-12-27,至今,2年又289天,23.16%,48.95%,1724|2246
7,,,,,华夏睿磐泰利混合A,005177,混合型,2017-12-27,至今,2年又289天,20.09%,48.95%,1852|2246
8,,,,,华夏睿磐泰利混合C,005178,混合型,2017-12-27,至今,2年又289天,19.09%,48.95%,1893|2246
9,,,,,华夏睿磐泰茂混合A,004720,混合型,2017-12-06,至今,2年又310天,15.69%,49.40%,1984|2225
