,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,赵慧,2016-03-02,无,"赵慧女士:中国国籍,研究生、硕士。2010年7月任职于北京汇致资本管理有限公司,担任交易员。2011年4月起在南京银行金融市场部资产管理部和南京银行金融市场部投资交易中心担任债券交易员,有丰富的银行间市场交易经验。2014年6月加入鑫元基金,担任基金经理助理。2016年1月13日起担任鑫元兴利定期开放债券型发起式证券投资基金的基金经理,2016年3月2日起担任鑫元货币市场基金的基金经理,2016年3月9日起担任鑫元汇利债券型证券投资基金的基金经理,2016年6月3日起担任鑫元双债增强债券型证券投资基金的基金经理,2016年7月13日起担任鑫元裕利债券型证券投资基金的基金经理,2016年8月17日起担任鑫元得利债券型证券投资基金的基金经理,2016年10月27日起担任鑫元聚利债券型证券投资基金的基金经理,2016年12月22日起担任鑫元招利债券型证券投资基金的基金经理,2017年3月13日起担任鑫元瑞利定期开放债券型发起式证券投资基金的基金经理,2017年3月17日至2020年6月1日担任鑫元添利债券型证券投资基金的基金经理,2017年12月13日起担任鑫元广利定期开放债券型发起式证券投资基金的基金经理,2018年3月22日起担任鑫元常利定期开放债券型发起式证券投资基金的基金经理,2018年4月19日起担任鑫元合利定期开放债券型发起式证券投资基金的基金经理,2018年5月25日起担任鑫元增利定期开放债券型发起式证券投资基金的基金经理,2018年7月11日起担任鑫元淳利定期开放债券型发起式证券投资基金的基金经理,2018年11月13日起担任鑫元鑫趋势灵活配置混合型证券投资基金、鑫元价值精选灵活配置混合型证券投资基金和鑫元行业轮动灵活配置混合型发起式证券投资基金的基金经理,2019年1月24日至2020年4月20日担任鑫元荣利三个月定期开放债券型发起式证券投资基金的基金经理,2019年1月25日起至2020年4月20日担任鑫元臻利债券型证券投资基金的基金经理,2019年3月1日至2020年4月20日担任鑫元承利三个月定期开放债券型发起式证券投资基金的基金经理,2019年4月30日起担任鑫元悦利定期开放债券型发起式证券投资基金的基金经理,2019年5月9日起至2020年6月1日担任鑫元永利债券型证券投资基金的基金经理,2019年7月5日至2020年8月12日担任鑫元恒利三个月定期开放债券型发起式证券投资基金的基金经理。2019年11月13日担任鑫元富利三个月定期开放债券型发起式证券投资基金基金经理。2020年5月27日起担任鑫元中短债债券型证券投资基金基金经理。",鑫元中短债A,008864,债券型,2020-05-27,至今,137天,0.48%,0.96%,731|2329
1,,,,,鑫元中短债C,008865,债券型,2020-05-27,至今,137天,0.39%,0.96%,775|2329
2,,,,,鑫元富利三个月定期开放债,007559,定开债券,2019-11-13,至今,333天,3.90%,3.22%,62|302
3,,,,,鑫元恒利三个月定开债,007050,定开债券,2019-07-05,2020-08-12,1年又39天,3.65%,4.42%,221|316
4,,,,,鑫元永利债券,005497,债券型,2019-05-09,2020-06-01,1年又24天,3.85%,6.76%,1461|1670
5,,,,,鑫元悦利定开债发起式,006754,定开债券,2019-04-30,至今,1年又165天,7.06%,6.11%,136|569
6,,,,,鑫元承利三个月定开债,006993,定开债券,2019-03-01,2020-04-20,1年又51天,7.37%,6.74%,181|553
7,,,,,鑫元臻利A,006631,债券型,2019-01-25,2020-04-20,1年又86天,5.95%,8.69%,1128|1562
8,,,,,鑫元臻利C,006632,债券型,2019-01-25,2020-04-20,1年又86天,5.42%,8.69%,1270|1562
9,,,,,鑫元荣利三个月定开债,006838,定开债券,2019-01-24,2020-04-20,1年又87天,6.74%,7.14%,132|233
10,,,,,鑫元鑫趋势灵活配置混合A,004944,混合型,2018-11-13,至今,1年又333天,37.45%,68.70%,1821|2673
11,,,,,鑫元鑫趋势灵活配置混合C,004948,混合型,2018-11-13,至今,1年又333天,36.39%,68.70%,1847|2673
12,,,,,鑫元价值精选混合A,005493,混合型,2018-11-13,至今,1年又333天,30.75%,68.70%,1980|2673
13,,,,,鑫元价值精选混合C,005494,混合型,2018-11-13,至今,1年又333天,29.56%,68.70%,2026|2673
14,,,,,鑫元行业轮动混合A,005949,混合型,2018-11-13,至今,1年又333天,9.12%,68.70%,2596|2673
15,,,,,鑫元行业轮动混合C,005950,混合型,2018-11-13,至今,1年又333天,,,-|-
16,,,,,鑫元淳利定期开放债券,006142,定开债券,2018-07-11,至今,2年又93天,7.19%,10.84%,169|186
17,,,,,鑫元增利定开债发起式,005780,定开债券,2018-05-25,至今,2年又140天,15.82%,11.84%,62|447
18,,,,,鑫元合利定开债发起式,005849,定开债券,2018-04-19,2019-10-11,1年又175天,8.27%,7.64%,71|171
19,,,,,鑫元常利定开债,005779,定开债券,2018-03-22,至今,2年又204天,12.30%,12.88%,80|161
20,,,,,鑫元广利定开债发起式,005446,定开债券,2017-12-13,至今,2年又303天,16.33%,14.72%,41|138
21,,,,,鑫元添利三个月定开债,004031,定开债券,2017-03-17,2020-06-01,3年又77天,7.03%,16.83%,142|144
22,,,,,鑫元瑞利定期开放债券,004459,定开债券,2017-03-13,2019-10-15,2年又216天,10.96%,12.40%,84|127
23,,,,,鑫元招利债券,004059,债券型,2016-12-22,2019-10-22,2年又304天,12.63%,11.25%,361|860
24,,,,,鑫元聚利债券,003500,债券型,2016-10-27,2019-10-11,2年又349天,12.59%,8.85%,158|756
25,,,,,鑫元得利债券,003041,债券型,2016-08-17,至今,4年又56天,13.56%,15.66%,389|667
26,,,,,鑫元裕利债券,002915,债券型,2016-07-13,2019-10-22,3年又101天,12.76%,9.47%,212|656
27,,,,,鑫元双债增强债券A,002632,债券型,2016-06-03,至今,4年又131天,10.52%,18.44%,563|654
28,,,,,鑫元双债增强债券C,002633,债券型,2016-06-03,至今,4年又131天,8.99%,18.44%,590|654
29,,,,,鑫元汇利债券,002442,债券型,2016-03-09,至今,4年又217天,17.93%,18.61%,283|586
30,,,,,鑫元货币A,000483,货币型,2016-03-02,至今,4年又224天,13.36%,14.28%,309|381
31,,,,,鑫元货币B,000484,货币型,2016-03-02,至今,4年又224天,14.62%,14.28%,160|381
32,,,,,鑫元兴利定期开放债,002265,定开债券,2016-01-13,2019-10-15,3年又276天,14.06%,14.40%,40|76
