,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,轩璇,2019-11-05,无,"轩璇女士:中国,工学硕士。曾任易方达基金管理有限公司研究员。现任易方达基金管理有限公司易方达稳健收益债券型证券投资基金、易方达信用债债券型证券投资基金、易方达裕惠回报定期开放式混合型发起式证券投资基金、易方达高等级信用债债券型证券投资基金、易方达裕景添利6个月定期开放债券型证券投资基金、易方达新益灵活配置混合型证券投资基金、易方达瑞通灵活配置混合型证券投资基金、易方达瑞选灵活配置混合型证券投资基金、易方达裕祥回报债券型证券投资基金、易方达瑞弘灵活配置混合型证券投资基金、易方达瑞程灵活配置混合型证券投资基金、易方达安心回馈混合型证券投资基金的基金经理助理。2019年9月加入嘉实基金管理有限公司。2019年11月5日担任嘉实丰益纯债定期债券基金基金经理。2019年11月5日担任嘉实债券证券投资基金基金经理。2019年11月5日担任嘉实丰益策略定期开放债券型证券投资基金基金经理。2019年11月5号担任嘉实纯债债券型发起式证券投资基金基金经理。2019年11月5日起担任嘉实策略优选灵活配置混合型证券投资基金基金经理。2019年12月5号担任嘉实民企精选一年定期债券基金基金经理。2020年5月9日起担任嘉实稳福混合型证券投资基金基金经理。2020年06月22日担任嘉实致信一年定期开放纯债债券型发起式证券投资基金基金经理。",嘉实致信一年定期纯债债券,009643,定开债券,2020-06-22,至今,111天,0.27%,0.23%,153|407
1,,,,,嘉实稳福混合A,009387,混合型,2020-05-09,至今,155天,4.11%,20.91%,3224|3566
2,,,,,嘉实稳福混合C,009388,混合型,2020-05-09,至今,155天,3.94%,20.91%,3243|3566
3,,,,,嘉实民企精选一年定开债,008118,定开债券,2019-12-05,至今,311天,3.85%,2.88%,38|303
4,,,,,嘉实丰益纯债定期债券,000116,定开债券,2019-11-05,至今,341天,4.89%,3.43%,34|299
5,,,,,嘉实丰益策略定期债券,000183,定开债券,2019-11-05,至今,341天,6.01%,3.43%,14|299
6,,,,,嘉实策略优选混合,001756,混合型,2019-11-05,至今,341天,14.80%,35.63%,2413|3057
7,,,,,嘉实债券,070005,债券型,2019-11-05,至今,341天,3.80%,4.84%,663|1900
8,,,,,嘉实纯债债券A,070037,债券型,2019-11-05,至今,341天,3.73%,4.84%,684|1900
9,,,,,嘉实纯债债券C,070038,债券型,2019-11-05,至今,341天,3.42%,4.84%,784|1900
