,姓名,上任日期,经理代号,简介,基金名称,基金代码,基金类型,起始时间,截止时间,任职天数,任职回报,同类平均,同类排名
0,过蓓蓓,2015-08-03,无,"过蓓蓓女士:国籍:中国,中国科学技术大学金融工程博士研究生。曾任国泰基金管理有限公司金融工程部助理分析师、量化投资部基金经理助理。2015年6月加入汇添富基金管理股份有限公司任基金经理助理,2015年8月3日至今任中证主要消费ETF基金、中证医药卫生ETF基金、中证能源ETF基金、中证金融地产ETF基金、汇添富中证主要消费ETF联接基金的基金经理,2015年8月18日至今任汇添富深证300ETF基金、汇添富深证300ETF基金联接基金的基金经理,2016年12月22日至今任汇添富中证生物科技指数(LOF)基金的基金经理,2016年12月29日至今任汇添富中证中药指数(LOF)基金的基金经理,2018年5月23日至今任汇添富中证新能源汽车产业指数(LOF)基金的基金经理,2018年10月23日至今任中证银行ETF基金的基金经理,2019年3月26日至今任添富中证医药ETF联接基金的基金经理,2019年4月15日至今任添富中证银行ETF联接基金的基金经理。",添富中证800ETF,515800,ETF-场内,2019-10-08,至今,1年又4天,19.77%,40.14%,1031|1250
1,,,,,添富中证银行ETF联接A,007153,联接基金,2019-04-15,至今,1年又180天,-2.87%,39.96%,1030|1100
2,,,,,添富中证银行ETF联接C,007154,联接基金,2019-04-15,至今,1年又180天,-2.95%,39.96%,1031|1100
3,,,,,汇添富中证医药ETF联接A,007076,联接基金,2019-03-26,至今,1年又200天,55.18%,47.21%,367|1094
4,,,,,汇添富中证医药ETF联接C,007077,联接基金,2019-03-26,至今,1年又200天,54.24%,47.21%,377|1094
5,,,,,汇添富中证银行ETF,512820,ETF-场内,2018-10-23,至今,1年又354天,6.07%,77.21%,939|970
6,,,,,汇添富中证新能源汽车A,501057,股票指数,2018-05-23,至今,2年又142天,52.17%,41.28%,244|900
7,,,,,汇添富中证新能源汽车C,501058,股票指数,2018-05-23,至今,2年又142天,51.09%,41.28%,253|900
8,,,,,汇添富中证中药指数(LOF)A,501011,股票指数,2016-12-29,至今,3年又287天,-0.94%,58.60%,594|628
9,,,,,汇添富中证中药指数(LOF)C,501012,股票指数,2016-12-29,至今,3年又287天,-1.92%,58.60%,597|628
10,,,,,汇添富中证生物科技指数A,501009,股票指数,2016-12-22,至今,3年又294天,136.86%,57.63%,43|626
11,,,,,汇添富中证生物科技指数C,501010,股票指数,2016-12-22,至今,3年又294天,136.80%,57.63%,44|626
12,,,,,汇添富深证300ETF,159912,ETF-场内,2015-08-18,至今,5年又56天,14.22%,41.40%,326|478
13,,,,,汇添富深证300ETF联接,470068,联接基金,2015-08-18,至今,5年又56天,13.61%,41.40%,329|478
14,,,,,汇添富中证主要消费ETF联接,000248,联接基金,2015-08-03,至今,5年又71天,188.39%,45.84%,11|472
15,,,,,汇添富中证主要消费ETF,159928,ETF-场内,2015-08-03,至今,5年又71天,201.12%,45.84%,10|472
16,,,,,汇添富中证医药卫生ETF,159929,ETF-场内,2015-08-03,至今,5年又71天,44.65%,45.84%,190|472
17,,,,,汇添富中证能源ETF,159930,ETF-场内,2015-08-03,至今,5年又71天,-46.27%,45.84%,471|472
18,,,,,汇添富中证金融地产ETF,159931,ETF-场内,2015-08-03,至今,5年又71天,13.93%,45.84%,346|472
